Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-12-12,2.9544098360911195,2.963499900828737,2.9241080659260623,2.9392588138580322,25180017.0,0.0,0.0
2012-12-13,2.924107970627316,2.9665302828951523,2.921078040580564,2.9362285137176514,21384704.0,0.0,0.0
2012-12-14,2.9453182243727816,2.9483487020932717,2.902895650801291,2.924107074737549,29771905.0,0.0,0.0
2012-12-17,2.924107174405041,2.9362277141950033,2.902895749745797,2.90592622756958,21255612.0,0.0,0.0
2012-12-18,2.9059261285217812,2.9362276141143857,2.8938055891449443,2.924107074737549,25400613.0,0.0,0.0
2012-12-19,2.930167573490167,3.027132997827777,2.915017103101371,3.0210728645324707,28499017.0,0.0,0.0
2012-12-20,3.0241034624557477,3.045314895655431,2.9877418284454382,3.0119829177856445,17776955.0,0.0,0.0
2012-12-21,2.984709793034899,3.0574335650527793,2.9756194586831524,2.993800401687622,23736272.0,0.0,0.0
2012-12-26,3.0919130555597865,3.0919130555597865,3.0176329865532905,3.0331082344055176,21692437.0,0.109038,0.0
2012-12-27,3.023822966639118,3.0423927029885593,2.965017307287022,2.986682653427124,19742195.0,0.0,0.0
2012-12-28,3.0021571102323454,3.023822452690061,2.9712074615200064,2.9990620613098145,18454689.0,0.0,0.0
2013-01-02,3.0392977180255363,3.1104827296071798,3.0392977180255363,3.104292631149292,22369792.0,0.0,0.0
2013-01-03,3.1011995790817335,3.2126194417486267,3.082628994933099,3.2033345699310303,25794154.0,0.0,0.0
2013-01-04,3.1940476840818257,3.206427599842009,3.1476227898528912,3.1878578662872314,20586230.0,0.0,0.0
2013-01-07,3.1661920778194523,3.194047234573465,3.129052335765695,3.1476223468780518,29921120.0,0.0,0.0
2013-01-08,3.147621672884789,3.1909517829257585,3.122861289808925,3.1692867279052734,31151294.0,0.0,0.0
2013-01-09,3.175479674307094,3.2064293404227975,3.166194242147203,3.2033345699310303,13767311.0,0.0,0.0
2013-01-10,3.206428353411822,3.2188088324236364,3.166193267521494,3.17547869682312,18326926.0,0.0,0.0
2013-01-11,3.169288742631145,3.194048581105117,3.1538134933710706,3.1847634315490723,12705906.0,0.0,0.0
2013-01-14,3.20023805325351,3.2373783640235287,3.1878581364441834,3.2095232009887695,29961936.0,0.0,0.0
2013-01-15,3.200238680809147,3.237378998862252,3.175478842335175,3.1847634315490723,15428045.0,0.0,0.0
2013-01-16,3.1692895729812647,3.2157144924115415,3.1476244985120103,3.2033345699310303,16419587.0,0.0,0.0
2013-01-17,3.200239661742256,3.271424989645008,3.1940495601408445,3.2559497356414795,25529515.0,0.0,0.0
2013-01-18,3.262139419962633,3.2683292406011066,3.2249996556184186,3.2652344703674316,28069975.0,0.0,0.0
2013-01-21,3.2559500312196716,3.2652351844647036,3.2342849538191154,3.259045362472534,8433712.0,0.0,0.0
2013-01-22,3.2559500312196716,3.2930903640286147,3.221905029663591,3.259045362472534,14566164.0,0.0,0.0
2013-01-23,3.2714239931100693,3.2776138126547902,3.2404734945310945,3.262138843536377,19314292.0,0.0,0.0
2013-01-24,3.246663808822632,3.271424209322255,3.1816688781954916,3.246663808822632,19352640.0,0.0,0.0
2013-01-28,3.234283594193284,3.234283594193284,3.1321483522893976,3.1569087505340576,19928809.0,0.0,0.0
2013-01-29,3.1445272620853477,3.1816675673620427,3.1135776147252194,3.1538124084472656,19622025.0,0.0,0.0
