,^BVSP,TAEE11.SA,PETR4.SA,BBDC4.SA,BBAS3.SA,GGBR4.SA,ITSA4.SA,VALE3.SA,USIM5.SA,B3SA3.SA
2013-01-15,61728.0,22.799999237060547,19.81999969482422,13.292220115661621,26.700000762939453,17.920000076293945,5.4203081130981445,41.15999984741211,12.319999694824219,4.516665935516357
2013-01-16,61787.0,22.600000381469727,19.84000015258789,13.359929084777832,26.860000610351562,17.889999389648438,5.451913833618164,40.900001525878906,12.199999809265137,4.466666221618652
2013-01-17,62194.0,22.799999237060547,19.709999084472656,13.58087158203125,26.809999465942383,18.100000381469727,5.541461944580078,40.97999954223633,12.460000038146973,4.599999904632568
2013-01-18,61956.0,23.5,19.579999923706055,13.630762100219727,26.200000762939453,17.899999618530273,5.557264804840088,40.61000061035156,12.300000190734863,4.639999866485596
2013-01-21,61900.0,23.200000762939453,19.389999389648438,13.57374382019043,25.93000030517578,17.899999618530273,5.546730041503906,40.58000183105469,12.029999732971191,4.663332939147949
2013-01-22,61692.0,23.56999969482422,19.579999923706055,13.57374382019043,25.93000030517578,17.899999618530273,5.546730041503906,41.06999969482422,11.319999694824219,4.663332939147949
2013-01-23,61966.0,23.780000686645508,19.549999237060547,13.484654426574707,25.5,18.0,5.551997184753418,40.849998474121094,11.0,4.6366658210754395
2013-01-24,61170.0,23.149999618530273,19.610000610351562,13.452582359313965,25.399999618530273,17.690000534057617,5.525659084320068,40.0,10.569999694824219,4.546666145324707
2013-01-28,60027.0,22.700000762939453,19.3700008392334,13.039204597473145,24.709999084472656,17.100000381469727,5.37290096282959,38.790000915527344,10.350000381469727,4.519999980926514
2013-01-29,60406.0,22.299999237060547,19.110000610351562,12.889533996582031,25.020000457763672,17.389999389648438,5.367632865905762,39.2400016784668,10.619999885559082,4.639999866485596
2013-01-30,59337.0,22.790000915527344,18.200000762939453,12.75767993927002,24.799999237060547,17.229999542236328,5.2886199951171875,38.75,10.25,4.573332786560059
2013-01-31,59761.0,23.5,18.079999923706055,13.042767524719238,24.399999618530273,17.469999313354492,5.309689998626709,40.2599983215332,10.34000015258789,4.646666049957275
2013-02-01,60351.0,23.489999771118164,18.459999084472656,12.96793270111084,24.299999237060547,17.5,5.293887138366699,40.849998474121094,10.289999961853027,4.776666164398193
2013-02-04,59576.0,23.010000228881836,18.0,12.793315887451172,23.850000381469727,17.34000015258789,5.162199020385742,40.45000076293945,9.9399995803833,4.683332920074463
2013-02-05,59445.0,23.5,18.079999923706055,12.754117012023926,24.059999465942383,17.540000915527344,5.278085231781006,39.70000076293945,10.029999732971191,4.783332824707031
2013-02-06,58951.0,23.399999618530273,17.600000381469727,12.543865203857422,23.93000030517578,17.540000915527344,5.183269023895264,40.150001525878906,10.270000457763672,4.626666069030762
2013-02-07,58372.0,23.399999618530273,17.5,12.436957359313965,23.649999618530273,17.3799991607666,5.151662826538086,39.029998779296875,10.260000228881836,4.550000190734863
2013-02-08,58498.0,22.899999618530273,17.739999771118164,12.686408996582031,23.81999969482422,17.31999969482422,5.241211891174316,39.34000015258789,10.359999656677246,4.480000019073486
2013-02-13,58406.0,23.0,17.799999237060547,12.575937271118164,23.860000610351562,17.6299991607666,5.214873790740967,39.11000061035156,10.359999656677246,4.550000190734863
2013-02-14,58077.0,23.149999618530273,17.670000076293945,12.408448219299316,23.799999237060547,17.540000915527344,5.188536167144775,38.58000183105469,10.399999618530273,4.493332862854004
2013-02-15,57903.0,22.950000762939453,17.6299991607666,12.957242012023926,24.399999618530273,17.209999084472656,5.430843830108643,38.29999923706055,10.140000343322754,4.633333206176758
2013-02-18,57614.0,22.959999084472656,17.899999618530273,13.16749382019043,24.079999923706055,16.700000762939453,5.4887871742248535,38.040000915527344,9.800000190734863,4.5833330154418945
2013-02-19,57314.0,22.899999618530273,18.100000381469727,12.885970115661621,24.530000686645508,16.3799991607666,5.404506206512451,37.650001525878906,9.770000457763672,4.510000228881836
2013-02-20,56178.0,22.770000457763672,17.6200008392334,12.593754768371582,24.299999237060547,15.699999809265137,5.314957141876221,36.439998626708984,9.470000267028809,4.383333206176758
2013-02-21,56155.0,22.899999618530273,17.31999969482422,12.454774856567383,25.290000915527344,16.139999389648438,5.267549991607666,36.70000076293945,9.380000114440918,4.316666126251221
2013-02-22,56697.0,22.899999618530273,17.149999618530273,12.71135425567627,25.719999313354492,16.209999084472656,5.436110973358154,35.720001220703125,9.239999771118164,4.396666049957275
2013-02-25,56618.0,22.799999237060547,16.950000762939453,12.679281234741211,25.40999984741211,16.260000228881836,5.446646213531494,35.880001068115234,9.869999885559082,4.409999847412109
2013-02-26,56949.0,23.25,16.739999771118164,12.401321411132812,25.389999389648438,16.799999237060547,5.341294765472412,36.599998474121094,9.979999542236328,4.423333168029785
2013-02-27,57274.0,23.399999618530273,16.809999465942383,12.472593307495117,26.149999618530273,16.399999618530273,5.362364768981934,37.0,9.670000076293945,4.433332920074463
2013-02-28,57424.0,23.25,16.610000610351562,12.586627960205078,26.34000015258789,16.450000762939453,5.441379070281982,37.79999923706055,9.800000190734863,4.46999979019165
2013-03-01,56884.0,23.200000762939453,16.899999618530273,12.729171752929688,26.549999237060547,15.930000305175781,5.457180976867676,36.75,9.6899995803833,4.3866658210754395
2013-03-04,56499.0,23.0,16.5,12.875279426574707,26.520000457763672,15.739999771118164,5.436110973358154,35.63999938964844,9.850000381469727,4.3933329582214355
2013-03-05,55951.0,23.079999923706055,16.559999465942383,12.907352447509766,26.3799991607666,15.199999809265137,5.393970966339111,35.45000076293945,9.640000343322754,4.453332901000977
