ITUB4.SA,ABEV3.SA,BBDC4.SA,BRFS3.SA,CIEL3.SA,PETR4.SA,JBSS3.SA,VALE5.SA,VALE3.SA,ITSA4.SA,PETR3.SA,UGPA3.SA,B3SA3.SA,VIVT4.SA,EMBR3.SA,BBSE3.SA,BBAS3.SA,COGN3.SA,FIBR3.SA,LREN3.SA,KLBN11.SA,BBDC3.SA,CCRO3.SA,SUZB5.SA,CRUZ3.SA,CTIP3.SA,PCAR4.SA,LAME4.SA,RADL3.SA,EGIE3.SA,EQTL3.SA,TIMS3.SA,HYPE3.SA,SBSP3.SA,CMIG4.SA,SANB11.SA,BRML3.SA,GGBR4.SA,BRKM5.SA,CPFE3.SA,YDUQ3.SA,RENT3.SA,NATU3.SA,MULT3.SA,CPLE6.SA,QUAL3.SA,BRPR3.SA,CSAN3.SA,CESP6.SA,ENBR3.SA,MRFG3.SA,CSNA3.SA,CYRE3.SA,BRAP4.SA,HGTX3.SA,MRVE3.SA,SMLS3.SA,USIM5.SA,ELET3.SA,ECOR3.SA,RUMO3.SA,OIBR4.SA,GOAU4.SA,GOLL4.SA
18.159778594970703,15.600000381469727,13.159297943115234,58.75,22.407407760620117,17.09000015258789,9.180000305175781,,26.829999923706055,5.796065807342529,16.399999618530273,25.125,3.630000114440918,,24.399999618530273,31.709999084472656,25.700000762939453,15.050000190734863,,11.436080932617188,11.9399995803833,13.197774887084961,16.030000686645508,,,,,,4.179999828338623,26.775999069213867,4.800000190734863,12.510000228881836,17.010000228881836,19.649999618530273,9.455554962158203,15.989999771118164,12.702341079711914,11.710000038146973,16.459999084472656,17.290241241455078,24.700000762939453,10.560846328735352,,15.966666221618652,3.375,23.700000762939453,502.0,8.35417366027832,,9.672666549682617,6.199999809265137,8.510000228881836,12.09000015258789,15.75033187866211,,7.145537853240967,,6.510000228881836,6.297605991363525,11.630000114440918,,167.0,14.069999694824219,11.100000381469727
18.765840530395508,15.970000267028809,13.566973686218262,59.27000045776367,22.13541603088379,17.299999237060547,9.5,,27.610000610351562,5.944352149963379,16.59000015258789,24.895000457763672,3.680000066757202,,23.799999237060547,31.600000381469727,25.450000762939453,14.9399995803833,,11.331132888793945,12.199999809265137,13.451278686523438,16.670000076293945,,,,,,4.119999885559082,26.944000244140625,4.809999942779541,12.470000267028809,16.799999237060547,19.34000015258789,9.378472328186035,15.699999809265137,12.575249671936035,11.960000038146973,16.68000030517578,17.536029815673828,25.100000381469727,10.566892623901367,,16.25666618347168,3.384999990463257,24.190000534057617,492.0,8.23863697052002,,9.731826782226562,6.329999923706055,8.729999542236328,12.109999656677246,16.060203552246094,,7.145537853240967,,6.440000057220459,6.207641124725342,11.5600004196167,,156.0,14.479999542236328,11.529999732971191
19.20661163330078,16.200000762939453,13.849210739135742,59.75,22.459489822387695,18.350000381469727,9.899999618530273,,27.200000762939453,6.073297023773193,17.5,25.30500030517578,3.7133328914642334,,23.690000534057617,31.700000762939453,26.010000228881836,15.399999618530273,,11.547588348388672,12.149999618530273,13.68918228149414,17.479999542236328,,,,,,4.22599983215332,27.327999114990234,4.895999908447266,12.5,17.360000610351562,19.6200008392334,9.31423568725586,15.65999984741211,12.8695650100708,11.970000267028809,16.639999389648438,17.885805130004883,25.649999618530273,10.61224365234375,,16.649999618530273,3.5199999809265137,24.389999389648438,496.79998779296875,8.38750171661377,,9.860007286071777,6.400000095367432,8.84000015258789,12.539999961853027,15.998229026794434,,7.418269157409668,,6.840000152587891,6.3475871086120605,12.130000114440918,,163.0,14.449999809265137,12.229999542236328
20.236913681030273,16.6200008392334,14.895838737487793,60.779998779296875,23.292823791503906,20.389999389648438,10.329999923706055,,27.34000015258789,6.473024845123291,19.200000762939453,26.7549991607666,4.016665935516357,,23.329999923706055,32.04999923706055,29.110000610351562,15.9399995803833,,11.921466827392578,12.300000190734863,14.746095657348633,18.6299991607666,,,,,,4.28000020980835,28.54400062561035,4.966000080108643,12.520000457763672,17.940000534057617,20.31999969482422,9.635416030883789,15.699999809265137,13.846153259277344,11.989999771118164,16.860000610351562,18.982397079467773,26.0,11.259259223937988,,17.200000762939453,3.7320001125335693,25.34000015258789,530.7999877929688,9.032500267028809,,10.155806541442871,7.0,8.930000305175781,13.180000305175781,16.01593589782715,,7.745545864105225,,6.849999904632568,6.937363147735596,12.670000076293945,,159.0,14.670000076293945,12.850000381469727
20.26997184753418,16.440000534057617,14.797840118408203,60.529998779296875,23.78472137451172,21.209999084472656,10.479999542236328,,27.399999618530273,6.492366790771484,19.950000762939453,26.184999465942383,4.113333225250244,,22.670000076293945,32.0099983215332,30.239999771118164,16.0,,12.065771102905273,12.239999771118164,14.668094635009766,18.510000228881836,,,,,,4.2779998779296875,28.08799934387207,5.038000106811523,11.920000076293945,18.079999923706055,20.06999969482422,10.40625,15.210000038146973,13.745819091796875,11.8100004196167,16.75,19.076932907104492,26.299999237060547,11.337867736816406,,17.290000915527344,3.799999952316284,25.84000015258789,524.4000244140625,9.050000190734863,,10.441747665405273,7.170000076293945,9.0,13.350000381469727,16.01593589782715,,7.827364921569824,,6.760000228881836,7.157279968261719,12.329999923706055,,166.0,14.470000267028809,12.59000015258789
20.005508422851562,16.139999389648438,14.672402381896973,61.04999923706055,23.61111068725586,20.850000381469727,10.380000114440918,,27.3700008392334,6.414999961853027,19.579999923706055,26.354999542236328,4.110000133514404,,22.979999542236328,31.610000610351562,30.43000030517578,16.18000030517578,,12.029694557189941,12.199999809265137,14.313190460205078,18.15999984741211,,,,,,4.320000171661377,28.408000946044922,5.026000022888184,12.069999694824219,18.200000762939453,20.25,10.74670124053955,15.300000190734863,13.565217018127441,11.84000015258789,16.6200008392334,18.86895751953125,26.360000610351562,11.337867736816406,,17.206666946411133,3.796999931335449,25.739999771118164,522.7999877929688,8.899999618530273,,10.362868309020996,7.019999980926514,9.029999732971191,13.350000381469727,15.962815284729004,,7.8000922203063965,,6.5,7.0073370933532715,12.210000038146973,,152.0,14.380000114440918,12.850000381469727
20.258953094482422,16.100000381469727,14.958559036254883,61.810001373291016,23.842592239379883,21.200000762939453,10.5,,26.899999618530273,6.453683853149414,19.959999084472656,26.19499969482422,4.230000019073486,,22.6200008392334,31.579999923706055,31.600000381469727,16.149999618530273,,12.216633796691895,11.970000267028809,14.547192573547363,18.020000457763672,,,,,,4.360000133514404,28.368000030517578,5.004000186920166,11.729999542236328,18.399999618530273,20.09000015258789,10.483332633972168,14.75,13.739130020141602,11.5,16.350000381469727,18.63262367248535,27.100000381469727,11.564624786376953,,17.3266658782959,3.6600000858306885,25.8799991607666,526.0,8.852499961853027,,10.254406929016113,6.960000038146973,8.699999809265137,13.5,15.821159362792969,,7.763728141784668,,6.480000019073486,7.077310085296631,12.130000114440918,,132.0,14.0,12.65999984741211
19.42148780822754,15.699999809265137,14.209847450256348,60.4900016784668,23.15972137451172,20.049999237060547,10.279999732971191,,26.399999618530273,6.202241897583008,18.799999237060547,25.424999237060547,3.9966659545898438,,21.860000610351562,30.450000762939453,30.100000381469727,15.579999923706055,,11.862433433532715,11.609999656677246,13.973885536193848,17.270000457763672,,,,,,4.24399995803833,26.959999084472656,4.889999866485596,11.229999542236328,17.8700008392334,19.450000762939453,10.43836784362793,14.5,12.709030151367188,10.920000076293945,15.899999618530273,18.065420150756836,26.579999923706055,11.192743301391602,,16.453332901000977,3.559999942779541,24.690000534057617,498.3999938964844,8.762499809265137,,10.205106735229492,6.519999980926514,8.430000305175781,13.1899995803833,15.387338638305664,,7.409177780151367,,6.159999847412109,6.717446804046631,11.880000114440918,,132.0,13.350000381469727,11.949999809265137
20.9366397857666,16.06999969482422,15.350554466247559,61.459999084472656,23.883100509643555,22.1299991607666,10.699999809265137,,27.489999771118164,6.60841703414917,20.75,26.0,4.316666126251221,,21.100000381469727,31.149999618530273,33.47999954223633,15.5,,12.190397262573242,11.770000457763672,14.890398025512695,17.6299991607666,,,,,,4.300000190734863,27.743999481201172,5.004000186920166,11.25,18.34000015258789,20.280000686645508,10.907291412353516,14.800000190734863,13.779264450073242,11.220000267028809,16.270000457763672,19.06747817993164,26.510000228881836,11.625094413757324,,17.16666603088379,3.6600000858306885,24.799999237060547,526.4000244140625,9.300000190734863,,10.214966773986816,6.690000057220459,8.630000114440918,13.329999923706055,16.3080997467041,,7.7273640632629395,,6.269999980926514,7.147284030914307,12.15999984741211,,134.0,13.619999885559082,12.760000228881836
21.12947654724121,16.1299991607666,15.56223201751709,61.33000183105469,22.372684478759766,21.600000381469727,10.329999923706055,,28.309999465942383,6.698678970336914,20.420000076293945,25.75,4.316666126251221,,21.760000228881836,31.209999084472656,33.279998779296875,15.399999618530273,,12.20351505279541,11.770000457763672,14.89429759979248,17.559999465942383,,,,,,4.349999904632568,27.600000381469727,4.960000038146973,11.510000228881836,18.270000457763672,20.329999923706055,10.881596565246582,14.90999984741211,13.625417709350586,11.470000267028809,16.479999542236328,18.963491439819336,26.829999923706055,11.619047164916992,,17.18666648864746,3.568000078201294,24.280000686645508,521.5999755859375,9.382499694824219,,10.283987045288086,6.840000152587891,8.960000038146973,13.149999618530273,16.9455509185791,,7.59099817276001,,6.360000133514404,7.067314147949219,12.270000457763672,,141.0,13.960000038146973,12.829999923706055
