ITUB4.SA,ABEV3.SA,BBDC4.SA,BRFS3.SA,PETR4.SA,VALE5.SA,ITSA4.SA,VALE3.SA,CIEL3.SA,PETR3.SA,COGN3.SA,UGPA3.SA,BBSE3.SA,BBAS3.SA,EMBR3.SA,JBSS3.SA,B3SA3.SA,BBDC3.SA,PCAR4.SA,CCRO3.SA,VIVT4.SA,CMIG4.SA,LREN3.SA,TIMS3.SA,CTIP3.SA,GGBR4.SA,LAME4.SA,FIBR3.SA,BRML3.SA,CRUZ3.SA,YDUQ3.SA,EGIE3.SA,HYPE3.SA,QUAL3.SA,SBSP3.SA,KLBN11.SA,RENT3.SA,CPFE3.SA,SANB11.SA,NATU3.SA,SUZB5.SA,BRKM5.SA,CESP6.SA,CSNA3.SA,CPLE6.SA,CSAN3.SA,BRAP4.SA,BRPR3.SA,GOAU4.SA,OIBR4.SA,CYRE3.SA,HGTX3.SA,USIM5.SA,ALLL3.SA,ECOR3.SA,ENBR3.SA,MRVE3.SA,DXCO3.SA,MRFG3.SA,ELET6.SA,POMO4.SA,LIGT3.SA,GOLL4.SA,ELET3.SA,EVEN3.SA,PDGR3.SA,ELPL4.SA,GFSA3.SA,RLOG3.SA,RSID3.SA
15.787628173828125,17.388399124145508,11.25811767578125,48.529998779296875,16.75,,5.125671863555908,34.810001373291016,19.12904930114746,15.819999694824219,9.600000381469727,27.235000610351562,23.950000762939453,24.0,19.200000762939453,8.600000381469727,3.5266659259796143,12.370964050292969,,17.40999984741211,,8.845312118530273,9.674918174743652,12.119999885559082,,18.239999771118164,,,11.384614944458008,,20.219999313354492,29.215999603271484,17.469999313354492,22.790000915527344,25.959999084472656,,9.901738166809082,17.4887638092041,13.649999618530273,,,20.40999984741211,,14.039999961853027,2.997999906539917,8.454156875610352,21.37228775024414,727.2000122070312,22.950000762939453,350.0,14.039999961853027,,13.420000076293945,,14.6899995803833,10.915027618408203,7.145537853240967,9.30247688293457,3.8499999046325684,9.65999984741211,4.792594909667969,21.639999389648438,10.130000114440918,5.537895202636719,7.96999979019165,76276.6171875,,189.90750122070312,,48.0
15.757575035095215,17.018434524536133,11.214999198913574,47.18000030517578,16.5,,5.143186092376709,34.060001373291016,19.372106552124023,15.5,9.619999885559082,27.075000762939453,23.43000030517578,24.25,19.1200008392334,8.390000343322754,3.559999942779541,12.086260795593262,,17.31999969482422,,9.121526718139648,9.811022758483887,13.4399995803833,,18.100000381469727,,,11.712373733520508,,19.75,29.392000198364258,17.809999465942383,22.079999923706055,26.31999969482422,,10.098260879516602,17.564390182495117,13.609999656677246,,,20.950000762939453,,14.479999542236328,3.0820000171661377,8.53636646270752,21.30146026611328,728.0,22.729999542236328,410.0,14.550000190734863,,13.800000190734863,,14.210000038146973,11.447467803955078,7.7273640632629395,9.531710624694824,3.9600000381469727,10.170000076293945,4.852129936218262,22.200000762939453,10.789999961853027,5.947739124298096,7.900000095367432,83046.734375,,207.41049194335938,,51.25
15.78261947631836,16.79845428466797,11.309078216552734,47.25,16.6200008392334,,5.178213119506836,34.09000015258789,19.395254135131836,15.6899995803833,9.625,26.655000686645508,23.100000381469727,23.889999389648438,19.100000381469727,8.539999961853027,3.4700000286102295,12.16816234588623,,17.100000381469727,,9.172916412353516,9.673277854919434,13.420000076293945,,17.989999771118164,,,11.33779239654541,,19.690000534057617,28.832000732421875,17.31999969482422,22.110000610351562,25.219999313354492,,9.889643669128418,17.450950622558594,13.619999885559082,,,20.559999465942383,,14.289999961853027,3.01200008392334,8.33639907836914,21.115537643432617,714.4000244140625,22.690000534057617,402.0,14.4399995803833,,14.079999923706055,,13.819999694824219,11.062928199768066,7.581906795501709,9.228529930114746,4.070000171661377,10.220000267028809,4.862052917480469,22.020000457763672,10.819999694824219,6.087686061859131,7.900000095367432,82595.390625,,214.4116973876953,,50.75
15.662408828735352,17.328405380249023,11.062121391296387,47.5,16.15999984741211,,5.160698890686035,33.25,19.61805534362793,15.199999809265137,9.5,26.764999389648438,22.950000762939453,23.479999542236328,19.299999237060547,8.680000305175781,3.4366660118103027,11.938058853149414,,16.90999984741211,,8.864583015441895,9.865137100219727,13.319999694824219,,17.969999313354492,,,11.404682159423828,,19.5,28.600000381469727,17.3700008392334,21.979999542236328,25.1299991607666,,9.823128700256348,17.29969596862793,13.710000038146973,,,20.270000457763672,,14.149999618530273,2.990000009536743,8.296405792236328,20.54891586303711,703.2000122070312,22.549999237060547,398.0,14.329999923706055,,13.960000038146973,,13.760000228881836,10.65866756439209,7.363722801208496,9.095425605773926,4.150000095367432,10.0,4.792594909667969,21.40999984741211,10.859999656677246,5.907754898071289,7.71999979019165,83949.4140625,,206.5353546142578,,49.75
15.907837867736816,17.498390197753906,11.054281234741211,45.900001525878906,16.190000534057617,,5.189888954162598,33.47999954223633,19.646989822387695,15.210000038146973,9.694999694824219,27.174999237060547,23.239999771118164,23.010000228881836,19.399999618530273,8.819999694824219,3.5166659355163574,11.902957916259766,,16.799999237060547,,8.742533683776855,9.847099304199219,13.25,,18.0,,,11.652173042297363,,19.540000915527344,28.535999298095703,17.170000076293945,21.8799991607666,25.149999618530273,,9.856386184692383,17.365869522094727,14.0600004196167,,,20.030000686645508,,14.319999694824219,2.984999895095825,8.200865745544434,20.61974334716797,721.5999755859375,22.5,400.0,14.270000457763672,,13.979999542236328,,13.800000190734863,10.747407913208008,7.345541000366211,9.058452606201172,4.130000114440918,9.949999809265137,4.683446884155273,21.299999237060547,10.920000076293945,5.857773780822754,7.670000076293945,85754.78125,,205.6602020263672,,50.0
15.411970138549805,17.08842658996582,10.736763954162598,44.599998474121094,15.699999809265137,,5.061454772949219,32.290000915527344,19.5023136138916,14.800000190734863,9.537500381469727,26.690000534057617,22.729999542236328,22.149999618530273,19.100000381469727,8.640000343322754,3.3866660594940186,11.53635311126709,,16.200000762939453,,8.549825668334961,9.520774841308594,13.289999961853027,,17.8799991607666,,,11.237458229064941,,19.469999313354492,28.3439998626709,16.700000762939453,21.190000534057617,24.6200008392334,,9.448223114013672,17.167348861694336,13.800000190734863,,,20.079999923706055,,13.920000076293945,2.9110000133514404,8.287517547607422,19.654714584350586,698.4000244140625,22.299999237060547,402.0,14.039999961853027,,13.649999618530273,,13.329999923706055,10.086787223815918,7.227357864379883,8.762666702270508,4.079999923706055,9.75,4.544530868530273,20.75,10.8100004196167,5.787799835205078,7.420000076293945,83046.734375,,198.65899658203125,,47.75
15.487101554870605,17.19841766357422,10.826923370361328,44.0,15.970000267028809,,5.038103103637695,32.25,19.60069465637207,15.010000228881836,9.800000190734863,26.959999084472656,23.030000686645508,22.950000762939453,19.049999237060547,8.59000015258789,3.3866660594940186,11.719655990600586,,16.3700008392334,,8.748957633972168,9.410906791687012,13.319999694824219,,18.030000686645508,,,11.404682159423828,,19.579999923706055,28.559999465942383,16.739999771118164,20.850000381469727,23.920000076293945,,9.55404281616211,17.394229888916016,13.729999542236328,,,20.200000762939453,,13.890000343322754,3.0190000534057617,8.4874849319458,19.654714584350586,701.5999755859375,22.600000381469727,422.0,14.449999809265137,,13.739999771118164,,13.3100004196167,10.205106735229492,7.409177780151367,8.78485107421875,4.159999847412109,9.869999885559082,4.752904891967773,20.649999618530273,10.699999809265137,5.767807960510254,7.590000152587891,84400.7578125,,195.1584014892578,,47.5
15.41697883605957,17.03843116760254,10.748523712158203,44.439998626708984,15.770000457763672,,5.0322651863098145,32.040000915527344,19.493633270263672,14.710000038146973,9.762499809265137,26.75,23.139999389648438,22.700000762939453,19.299999237060547,8.600000381469727,3.363332986831665,11.544153213500977,,16.110000610351562,,8.49843692779541,9.420745849609375,13.300000190734863,,17.649999618530273,,,11.311036109924316,,19.200000762939453,28.031999588012695,16.75,20.200000762939453,23.1299991607666,,9.417988777160645,17.25242805480957,14.020000457763672,,,19.920000076293945,,13.90999984741211,3.0339999198913574,8.338621139526367,19.80522346496582,714.0,22.1299991607666,428.0,14.470000267028809,,13.65999984741211,,13.210000038146973,10.086787223815918,7.736454963684082,8.792245864868164,4.300000190734863,9.720000267028809,5.000968933105469,20.690000534057617,10.65999984741211,5.777803897857666,7.75,84400.7578125,,207.41049194335938,,47.0
15.647381782531738,16.98843765258789,10.84652328491211,44.79999923706055,15.699999809265137,,5.067293167114258,32.02000045776367,19.299768447875977,14.649999618530273,9.800000190734863,27.094999313354492,23.479999542236328,23.420000076293945,19.84000015258789,8.699999809265137,3.4100000858306885,11.633854866027832,,16.100000381469727,,8.633333206176758,9.404348373413086,13.390000343322754,,17.200000762939453,,,11.230769157409668,,19.799999237060547,28.0,16.670000076293945,20.899999618530273,23.5,,9.448223114013672,17.394229888916016,14.449999809265137,,,20.190000534057617,,13.630000114440918,3.1050000190734863,8.607464790344238,19.6812744140625,722.0,21.780000686645508,440.0,15.020000457763672,,13.619999885559082,,13.229999542236328,10.165666580200195,7.763728141784668,8.947532653808594,4.400000095367432,9.9399995803833,4.981123924255371,20.549999237060547,10.579999923706055,5.737819194793701,7.900000095367432,84400.7578125,,205.6602020263672,,48.0
15.65239143371582,16.998435974121094,10.909241676330566,44.709999084472656,16.040000915527344,,5.0322651863098145,32.45000076293945,19.270832061767578,15.119999885559082,9.6899995803833,26.959999084472656,23.959999084472656,23.170000076293945,20.049999237060547,8.899999618530273,3.4466660022735596,11.7118558883667,,16.1200008392334,,8.543401718139648,9.445343017578125,13.460000038146973,,17.450000762939453,,,11.464881896972656,,19.799999237060547,28.13599967956543,16.729999542236328,21.049999237060547,23.459999084472656,,9.433106422424316,17.70619010925293,12.880000114440918,,,20.170000076293945,,13.729999542236328,3.0829999446868896,8.500816345214844,19.84063720703125,720.0,22.020000457763672,437.0,15.039999961853027,,13.859999656677246,,13.359999656677246,10.106507301330566,7.954638957977295,9.272897720336914,4.429999828338623,9.569999694824219,5.070426940917969,20.610000610351562,10.699999809265137,5.647852897644043,7.78000020980835,85754.78125,,207.41049194335938,,49.0
