VALE3.SA,ITUB4.SA,B3SA3.SA,PETR4.SA,BBDC4.SA,PETR3.SA,ABEV3.SA,MGLU3.SA,BBAS3.SA,ITSA4.SA,WEGE3.SA,JBSS3.SA,LREN3.SA,GNDI3.SA,NTCO3.SA,SUZB3.SA,RENT3.SA,RAIL3.SA,EQTL3.SA,BBDC3.SA,RADL3.SA,VIIA3.SA,LAME4.SA,AMER3.SA,UGPA3.SA,SBSP3.SA,VIVT4.SA,BBSE3.SA,CCRO3.SA,BRFS3.SA,GGBR4.SA,VBBR3.SA,BPAC11.SA,HAPV3.SA,HYPE3.SA,KLBN11.SA,SULA11.SA,COGN3.SA,ENGI11.SA,TIMS3.SA,ELET3.SA,CSAN3.SA,PCAR3.SA,EGIE3.SA,CMIG4.SA,YDUQ3.SA,SANB11.SA,TOTS3.SA,IRBR3.SA,BRML3.SA,QUAL3.SA,ELET6.SA,BRAP4.SA,CRFB3.SA,FLRY3.SA,CYRE3.SA,CSNA3.SA,AZUL4.SA,BRKM5.SA,TAEE11.SA,EMBR3.SA,MULT3.SA,MRVE3.SA,CIEL3.SA,ENBR3.SA,CPFE3.SA,MRFG3.SA,GOAU4.SA,USIM5.SA,BEEF3.SA,IGTA3.SA,CVCB3.SA,GOLL4.SA,ECOR3.SA,HGTX3.SA
51.38999938964844,35.95000076293945,12.516666412353516,26.81999969482422,28.34710693359375,29.469999313354492,18.1299991607666,6.63937520980835,53.189998626708984,11.064934730529785,10.779999732971191,23.100000381469727,46.35040283203125,,,31.0,39.133331298828125,20.649999618530273,18.025999069213867,25.131479263305664,15.23799991607666,5.449999809265137,,31.471094131469727,19.450000762939453,47.630001068115234,,32.599998474121094,13.789999961853027,33.20000076293945,14.640000343322754,23.600000381469727,12.522500038146973,7.441999912261963,29.299999237060547,16.299999237060547,,11.100000381469727,45.27000045776367,11.430000305175781,34.55686950683594,11.767499923706055,93.5,43.709999084472656,9.741049766540527,28.860000610351562,45.959999084472656,15.066665649414062,743.7564697265625,14.0600004196167,22.829999923706055,35.45000076293945,28.596723556518555,21.350000381469727,21.65999984741211,21.100000381469727,16.43000030517578,42.40999984741211,35.09000015258789,27.399999618530273,19.450000762939453,27.260000228881836,19.399999618530273,6.550000190734863,18.850000381469727,30.239999771118164,6.449999809265137,6.949999809265137,8.779999732971191,8.063016891479492,,48.900001525878906,32.34000015258789,10.479999542236328,
51.290000915527344,36.56999969482422,12.800000190734863,27.18000030517578,28.850488662719727,29.770000457763672,18.84000015258789,6.901562213897705,54.29999923706055,11.229436874389648,10.850000381469727,23.100000381469727,46.7373161315918,,,31.200000762939453,39.81904602050781,21.190000534057617,18.597999572753906,25.604808807373047,15.399999618530273,5.989999771118164,,31.935649871826172,19.5,48.16999816894531,,32.77000045776367,13.829999923706055,34.0,14.890000343322754,24.0,12.75,7.400000095367432,29.139999389648438,16.510000228881836,,11.239999771118164,46.099998474121094,11.770000457763672,34.9867057800293,11.917499542236328,93.5,44.060001373291016,9.833822250366211,29.010000228881836,46.5,15.25,737.9291381835938,14.25,22.68000030517578,36.0,28.81806182861328,21.940000534057617,21.639999389648438,22.0,16.8799991607666,44.060001373291016,35.290000915527344,27.670000076293945,19.34000015258789,27.84000015258789,19.100000381469727,6.869999885559082,19.299999237060547,31.1200008392334,6.489999771118164,7.050000190734863,9.020000457763672,8.112181663513184,,48.7400016784668,35.439998626708984,10.390000343322754,
51.66999816894531,36.9900016784668,13.246665954589844,27.389999389648438,29.35386848449707,30.15999984741211,19.0,6.909375190734863,55.18000030517578,11.38528060913086,11.100000381469727,23.479999542236328,47.32264709472656,,,31.75,40.61904525756836,21.420000076293945,18.81800079345703,26.17580795288086,16.1200008392334,6.239999771118164,,33.8828239440918,19.649999618530273,49.38999938964844,,33.09000015258789,13.960000038146973,34.22999954223633,15.300000190734863,24.510000228881836,13.1899995803833,7.677999973297119,29.530000686645508,16.56999969482422,,11.569999694824219,47.099998474121094,12.180000305175781,36.19624328613281,12.117500305175781,93.5,44.34000015258789,9.933220863342285,29.93000030517578,47.68000030517578,15.566665649414062,736.3956298828125,14.489999771118164,23.280000686645508,37.41999816894531,28.71181869506836,22.920000076293945,22.0,22.5,16.920000076293945,46.75,36.54999923706055,27.780000686645508,19.34000015258789,28.020000457763672,19.170000076293945,7.0,19.6200008392334,31.440000534057617,6.650000095367432,7.21999979019165,9.449999809265137,8.181012153625488,,48.20000076293945,38.029998779296875,10.899999618530273,
50.36000061035156,37.400001525878906,13.466666221618652,27.399999618530273,29.609315872192383,30.030000686645508,19.0,7.065000057220459,55.0,11.489176750183105,11.199999809265137,24.290000915527344,48.1163215637207,,,32.70000076293945,40.838096618652344,21.59000015258789,18.860000610351562,26.378662109375,16.263999938964844,6.349999904632568,,35.36544418334961,19.610000610351562,48.970001220703125,,33.849998474121094,14.149999618530273,34.20000076293945,15.369999885559082,24.75,14.02750015258789,7.9079999923706055,29.5,16.809999465942383,,11.699999809265137,46.400001525878906,12.149999618530273,36.136268615722656,12.197500228881836,93.5,44.54999923706055,9.966354370117188,30.239999771118164,47.40999984741211,16.34666633605957,741.6862182617188,14.800000190734863,23.260000228881836,37.31999969482422,27.923860549926758,22.639999389648438,22.719999313354492,22.860000610351562,16.700000762939453,48.45000076293945,37.310001373291016,28.030000686645508,19.479999542236328,28.200000762939453,19.350000381469727,6.869999885559082,19.479999542236328,31.43000030517578,6.699999809265137,7.230000019073486,9.680000305175781,8.377671241760254,,48.66999816894531,40.400001525878906,11.100000381469727,
50.95000076293945,37.29999923706055,13.433333396911621,27.649999618530273,29.474079132080078,30.610000610351562,18.940000534057617,7.168749809265137,54.95000076293945,11.497835159301758,11.265000343322754,24.510000228881836,47.689720153808594,,,32.54999923706055,41.42856979370117,21.700000762939453,19.260000228881836,26.551464080810547,16.299999237060547,6.75,,36.04745101928711,19.700000762939453,49.209999084472656,,33.5099983215332,14.539999961853027,34.369998931884766,15.350000381469727,25.450000762939453,14.1850004196167,8.204000473022461,29.100000381469727,16.600000381469727,,12.380000114440918,47.099998474121094,11.989999771118164,35.756412506103516,12.212499618530273,93.5,45.16999816894531,10.012740135192871,31.68000030517578,46.52000045776367,16.233333587646484,728.4213256835938,14.869999885559082,23.780000686645508,37.27000045776367,28.384239196777344,22.65999984741211,23.270000457763672,23.100000381469727,17.239999771118164,48.72999954223633,37.31999969482422,28.34000015258789,19.389999389648438,28.6200008392334,19.6299991607666,7.010000228881836,19.649999618530273,31.559999465942383,6.679999828338623,7.269999980926514,9.649999618530273,8.387503623962402,,49.08000183105469,40.90999984741211,11.399999618530273,
52.130001068115234,37.20000076293945,14.033332824707031,28.06999969482422,29.338842391967773,30.719999313354492,19.020000457763672,7.296875,54.2599983215332,11.549782752990723,11.845000267028809,25.3700008392334,48.45362854003906,,,31.5,42.02857208251953,21.969999313354492,19.42799949645996,26.37114906311035,16.700000762939453,6.730000019073486,,38.755706787109375,20.850000381469727,49.5,,33.7400016784668,14.850000381469727,34.97999954223633,15.3100004196167,26.600000381469727,14.079999923706055,8.616000175476074,29.6200008392334,16.799999237060547,,12.329999923706055,48.939998626708984,12.149999618530273,36.28620910644531,12.717499732971191,91.0,46.15999984741211,10.204910278320312,32.16999816894531,46.59000015258789,16.333332061767578,777.8772583007812,15.460000038146973,23.399999618530273,37.68000030517578,29.145639419555664,23.489999771118164,23.790000915527344,23.860000610351562,17.239999771118164,49.9900016784668,36.939998626708984,28.690000534057617,19.420000076293945,29.540000915527344,20.09000015258789,7.300000190734863,19.959999084472656,31.860000610351562,6.880000114440918,7.230000019073486,9.5600004196167,8.544831275939941,,52.29999923706055,40.72999954223633,11.670000076293945,
52.04999923706055,37.150001525878906,13.720000267028809,28.399999618530273,29.09090805053711,31.299999237060547,18.690000534057617,7.211562156677246,53.20000076293945,11.428570747375488,11.800000190734863,24.399999618530273,48.066715240478516,,,31.049999237060547,41.0571403503418,21.700000762939453,19.753999710083008,26.07062339782715,16.729999542236328,6.5,,39.06211471557617,20.68000030517578,51.810001373291016,,33.16999816894531,14.649999618530273,33.93000030517578,14.9399995803833,26.700000762939453,14.552499771118164,8.288000106811523,29.440000534057617,16.579999923706055,,11.819999694824219,48.79999923706055,12.170000076293945,38.955196380615234,12.462499618530273,91.0,46.029998779296875,10.132018089294434,31.90999984741211,46.5,16.523332595825195,737.3923950195312,14.930000305175781,23.520000457763672,39.5,29.181053161621094,23.469999313354492,23.670000076293945,22.84000015258789,17.18000030517578,49.470001220703125,36.72999954223633,28.959999084472656,19.200000762939453,28.989999771118164,19.979999542236328,7.460000038146973,19.899999618530273,31.829999923706055,6.789999961853027,7.050000190734863,9.460000038146973,8.446501731872559,,53.150001525878906,40.369998931884766,11.5,
51.810001373291016,36.459999084472656,13.233332633972168,28.530000686645508,28.54996109008789,31.5,18.200000762939453,7.251562118530273,52.0,11.255411148071289,11.545000076293945,23.850000381469727,47.16391372680664,,,32.0,40.238094329833984,21.489999771118164,19.270000457763672,25.552215576171875,16.025999069213867,6.519999980926514,,37.79694366455078,20.479999542236328,51.86000061035156,,33.41999816894531,15.050000190734863,33.54999923706055,14.720000267028809,26.399999618530273,14.4975004196167,8.39799976348877,29.100000381469727,16.600000381469727,,11.449999809265137,47.97999954223633,12.100000381469727,39.385032653808594,12.417499542236328,94.5,46.5,10.019366264343262,31.530000686645508,46.04999923706055,16.09000015258789,720.9837646484375,14.880000114440918,22.950000762939453,40.0,28.968570709228516,23.1200008392334,23.75,22.200000762939453,17.06999969482422,49.09000015258789,36.709999084472656,28.479999542236328,19.290000915527344,28.3700008392334,19.43000030517578,7.230000019073486,19.639999389648438,31.5,6.789999961853027,6.960000038146973,9.430000305175781,8.240010261535645,,52.970001220703125,39.11000061035156,11.529999732971191,
52.689998626708984,36.36000061035156,13.246665954589844,28.18000030517578,28.429752349853516,30.969999313354492,18.25,7.2078118324279785,51.689998626708984,11.21212100982666,11.199999809265137,24.610000610351562,47.46154022216797,,,32.900001525878906,39.980953216552734,21.65999984741211,19.18000030517578,25.559728622436523,16.077999114990234,7.03000020980835,,36.69980239868164,20.56999969482422,51.47999954223633,,33.369998931884766,14.5600004196167,33.45000076293945,14.930000305175781,26.059999465942383,14.399999618530273,8.180000305175781,29.299999237060547,16.709999084472656,,11.65999984741211,48.0,12.380000114440918,37.485755920410156,12.640000343322754,94.5,45.9900016784668,9.8537015914917,32.0,46.279998779296875,15.906665802001953,711.5526123046875,14.729999542236328,23.0,38.22999954223633,29.305002212524414,23.25,23.649999618530273,21.959999084472656,17.299999237060547,49.36000061035156,36.810001373291016,28.030000686645508,19.31999969482422,27.959999084472656,19.270000457763672,7.039999961853027,19.399999618530273,31.190000534057617,6.650000095367432,7.090000152587891,9.319999694824219,8.240010261535645,,51.06999969482422,38.15999984741211,11.289999961853027,
53.04999923706055,36.5,13.666666030883789,27.829999923706055,28.437265396118164,30.600000381469727,18.100000381469727,7.3125,51.77000045776367,11.160173416137695,11.255000114440918,23.850000381469727,47.610355377197266,,,33.66999816894531,40.9523811340332,21.760000228881836,18.989999771118164,25.334335327148438,15.621999740600586,7.130000114440918,,35.41486740112305,20.190000534057617,50.90999984741211,,33.38999938964844,14.779999732971191,32.720001220703125,14.789999961853027,25.8799991607666,14.625,8.354000091552734,28.600000381469727,16.719999313354492,,11.75,48.849998474121094,12.4399995803833,38.78525924682617,12.447500228881836,94.5,46.400001525878906,9.873581886291504,31.219999313354492,46.369998931884766,15.960000038146973,711.015869140625,14.539999961853027,23.049999237060547,39.18000030517578,29.46436309814453,22.940000534057617,23.520000457763672,22.149999618530273,17.600000381469727,50.0,35.93000030517578,27.81999969482422,19.260000228881836,28.0,19.549999237060547,7.010000228881836,19.149999618530273,31.170000076293945,6.5,7.059999942779541,9.399999618530273,8.131848335266113,,50.439998626708984,39.939998626708984,11.350000381469727,
