ITUB4.SA,PETR4.SA,BBDC4.SA,ABEV3.SA,VALE5.SA,PETR3.SA,VALE3.SA,BRFS3.SA,CIEL3.SA,ITSA4.SA,BBSE3.SA,BBAS3.SA,B3SA3.SA,UGPA3.SA,PCAR4.SA,CCRO3.SA,EMBR3.SA,BBDC3.SA,SANB11.SA,COGN3.SA,JBSS3.SA,CMIG4.SA,VIVT4.SA,GGBR4.SA,TIMS3.SA,LREN3.SA,YDUQ3.SA,CRUZ3.SA,SBSP3.SA,BRML3.SA,CTIP3.SA,AEDU3.SA,EGIE3.SA,CSNA3.SA,HYPE3.SA,NATU3.SA,LAME4.SA,CPFE3.SA,OIBR4.SA,RENT3.SA,CESP6.SA,QUAL3.SA,KLBN11.SA,FIBR3.SA,BRAP4.SA,GOAU4.SA,CSAN3.SA,BRPR3.SA,SUZB5.SA,USIM5.SA,BRKM5.SA,ALLL3.SA,CPLE6.SA,ECOR3.SA,HGTX3.SA,CYRE3.SA,ENBR3.SA,MRVE3.SA,ELET6.SA,LIGT3.SA,DXCO3.SA,MRFG3.SA,PDGR3.SA,EVEN3.SA,ELET3.SA,GOLL4.SA,GFSA3.SA,ELPL4.SA,RSID3.SA,BISA3.SA,MMXM3.SA
14.274980545043945,16.1200008392334,11.289478302001953,16.55247688293457,,14.720000267028809,29.489999771118164,48.189998626708984,16.31944465637207,4.82210111618042,17.5,22.149999618530273,4.25666618347168,26.7450008392334,,17.34000015258789,20.850000381469727,12.00436019897461,13.5600004196167,7.75,6.789999961853027,9.90296745300293,,13.289999961853027,8.319999694824219,10.462030410766602,15.989999771118164,,22.700000762939453,13.00334358215332,,,27.6560001373291,6.070000171661377,14.789999961853027,,,19.521240234375,366.0,9.215418815612793,,16.940000534057617,,,18.14962387084961,16.600000381469727,9.642849922180176,756.0,,7.449999809265137,17.149999618530273,,2.74399995803833,15.350000381469727,,15.989999771118164,11.092508316040039,5.990979194641113,8.579999923706055,15.420000076293945,9.516921997070312,7.710000038146973,92073.546875,7.980000019073486,4.5782599449157715,7.079999923706055,167.1536102294922,,71.0,,197.99960327148438
13.658903121948242,15.390000343322754,10.70932388305664,16.238506317138672,,14.140000343322754,28.5,47.29999923706055,15.940393447875977,4.588584899902344,17.190000534057617,20.899999618530273,4.050000190734863,26.19499969482422,,16.700000762939453,20.59000015258789,11.622154235839844,13.149999618530273,7.375,6.550000190734863,9.652438163757324,,13.050000190734863,8.170000076293945,10.002881050109863,15.350000381469727,,22.350000381469727,12.374581336975098,,,27.535999298095703,5.699999809265137,14.40999984741211,,,19.275453567504883,352.0,9.070294380187988,,15.899999618530273,,,17.52988052368164,16.350000381469727,9.400667190551758,720.0,,6.949999809265137,16.700000762939453,,2.749000072479248,14.819999694824219,,15.470000267028809,10.816428184509277,5.863705158233643,8.5,15.399999618530273,9.206345558166504,7.21999979019165,84852.09375,7.400000095367432,4.478298187255859,6.75,157.52696228027344,,66.75,,164.99966430664062
13.503630638122559,15.899999618530273,10.623085021972656,16.06852149963379,,14.430000305175781,28.389999389648438,46.709999084472656,16.116897583007812,4.530206203460693,17.25,20.299999237060547,4.03000020980835,26.200000762939453,,16.59000015258789,20.59000015258789,11.587054252624512,12.979999542236328,7.300000190734863,6.699999809265137,9.627876281738281,,13.460000038146973,8.149999618530273,9.953686714172363,15.100000381469727,,21.309999465942383,12.46822738647461,,,27.167999267578125,5.550000190734863,14.600000381469727,,,18.982397079467773,341.0,9.145879745483398,,15.609999656677246,,,17.149181365966797,16.760000228881836,9.369562149047852,720.0,,7.199999809265137,17.0,,2.755000114440918,14.850000381469727,,15.300000190734863,10.993907928466797,5.5546112060546875,8.5,15.4399995803833,9.317266464233398,7.21999979019165,80790.0234375,7.190000057220459,4.408323764801025,6.25,153.15121459960938,,66.0,,193.49961853027344
13.673929214477539,15.960000038146973,10.607404708862305,16.038524627685547,,14.569999694824219,29.469999313354492,47.29999923706055,16.145832061767578,4.582747936248779,17.729999542236328,20.610000610351562,4.050000190734863,26.149999618530273,,16.6299991607666,20.229999542236328,11.622154235839844,12.989999771118164,7.25,6.510000228881836,9.608226776123047,,13.489999771118164,8.100000381469727,10.101269721984863,15.4399995803833,,21.5,12.608695030212402,,,27.719999313354492,5.670000076293945,14.800000190734863,,,19.426706314086914,358.0,9.312169075012207,,15.399999618530273,,,18.052234649658203,16.8799991607666,9.33178997039795,722.0,,7.329999923706055,17.0,,2.7799999713897705,14.899999618530273,,15.59000015258789,10.698107719421387,5.727340221405029,8.779999732971191,15.600000381469727,9.354239463806152,7.199999809265137,84852.09375,7.599999904632568,4.468301773071289,6.349999904632568,154.90150451660156,,67.0,,209.99957275390625
13.423490524291992,15.149999618530273,10.23892879486084,16.29450035095215,,13.680000305175781,28.700000762939453,47.75,16.203702926635742,4.524368762969971,17.600000381469727,20.440000534057617,4.053332805633545,26.225000381469727,,17.1200008392334,20.600000381469727,11.21264934539795,12.979999542236328,7.224999904632568,6.46999979019165,9.726122856140137,,13.100000381469727,8.300000190734863,10.035676956176758,15.470000267028809,,21.520000457763672,12.628762245178223,,,28.0,5.449999809265137,15.199999809265137,,,19.266000747680664,356.0,9.17006778717041,,15.25,,,17.839752197265625,16.43000030517578,9.320680618286133,728.0,,6.639999866485596,16.209999084472656,,2.808000087738037,15.149999618530273,,15.220000267028809,10.836148262023926,5.636429786682129,8.850000381469727,15.5,9.472554206848145,7.320000171661377,83046.734375,7.400000095367432,4.408323764801025,6.139999866485596,161.9027099609375,,64.75,,239.99952697753906
13.468568801879883,15.0,10.246768951416016,16.22050666809082,,13.609999656677246,28.3799991607666,47.2599983215332,15.975114822387695,4.51853084564209,17.899999618530273,20.40999984741211,4.043333053588867,26.0,,16.889999389648438,20.610000610351562,11.13074779510498,12.890000343322754,7.322500228881836,6.489999771118164,9.858756065368652,,12.949999809265137,8.270000457763672,10.050436019897461,16.200000762939453,,21.5,12.34782600402832,,,27.527999877929688,5.460000038146973,14.699999809265137,,,19.228185653686523,363.0,9.390777587890625,,15.260000228881836,,,17.70694923400879,16.09000015258789,9.33178997039795,734.4000244140625,,6.590000152587891,15.510000228881836,,2.763000011444092,15.0,,15.319999694824219,10.648807525634766,5.600066184997559,8.899999618530273,15.720000267028809,9.280293464660645,7.28000020980835,80790.0234375,7.400000095367432,4.428317070007324,6.409999847412109,160.15240478515625,,64.75,,227.99954223632812
13.518656730651855,15.25,10.242849349975586,16.358495712280273,,13.800000190734863,29.049999237060547,48.22999954223633,16.105323791503906,4.565234184265137,17.75,20.540000915527344,4.156665802001953,26.280000686645508,,16.860000610351562,21.010000228881836,11.28285026550293,12.90999984741211,7.510000228881836,6.550000190734863,10.001164436340332,,12.800000190734863,8.319999694824219,10.109469413757324,16.40999984741211,,22.549999237060547,12.575249671936035,,,27.84000015258789,5.489999771118164,15.199999809265137,,,19.56850814819336,347.0,9.35752010345459,,14.949999809265137,,,17.928285598754883,16.18000030517578,9.30512809753418,730.7999877929688,,6.75,15.789999961853027,,2.9760000705718994,14.899999618530273,,15.369999885559082,11.122088432312012,5.527338027954102,9.039999961853027,16.200000762939453,9.635235786437988,7.320000171661377,78081.984375,7.190000057220459,4.558267116546631,6.900000095367432,165.40330505371094,,63.25,,224.9995574951172
13.8592529296875,15.760000228881836,10.728923797607422,16.384492874145508,,14.829999923706055,30.479999542236328,48.43000030517578,16.278934478759766,4.6411261558532715,17.899999618530273,21.170000076293945,4.300000190734863,26.899999618530273,,17.15999984741211,20.979999542236328,11.856158256530762,13.199999809265137,7.537499904632568,6.400000095367432,10.153446197509766,,13.229999542236328,8.380000114440918,10.194740295410156,16.799999237060547,,22.81999969482422,12.876254081726074,,,28.607999801635742,5.929999828338623,15.430000305175781,,,19.842655181884766,348.0,9.629629135131836,,15.109999656677246,,,18.813634872436523,16.549999237060547,9.74727725982666,762.0,,6.840000152587891,16.260000228881836,,2.9700000286102295,15.149999618530273,,15.949999809265137,11.358728408813477,5.863705158233643,9.130000114440918,16.290000915527344,9.746155738830566,7.639999866485596,77179.296875,7.590000152587891,4.748195171356201,7.199999809265137,169.779052734375,,63.75,,218.9995574951172
13.713998794555664,15.430000305175781,10.701483726501465,16.39249038696289,,14.550000190734863,29.84000015258789,48.040000915527344,16.134258270263672,4.611937046051025,17.719999313354492,21.0,4.216666221618652,26.850000381469727,,16.600000381469727,21.200000762939453,11.828857421875,12.9399995803833,7.5,6.289999961853027,9.844018936157227,,12.75,8.15999984741211,10.138985633850098,16.690000534057617,,22.31999969482422,12.836119651794434,,,27.968000411987305,5.610000133514404,14.989999771118164,,,19.379440307617188,334.0,9.372636795043945,,15.0,,,18.530323028564453,16.079999923706055,9.63396167755127,764.0,,6.550000190734863,15.9399995803833,,2.875,14.949999809265137,,15.4399995803833,11.3685884475708,5.536428928375244,9.279999732971191,15.949999809265137,9.716577529907227,7.400000095367432,76276.6171875,7.5,4.778183937072754,7.190000057220459,161.02755737304688,,62.25,,175.49964904785156
13.964436531066895,15.5,10.987641334533691,16.60047149658203,,14.739999771118164,30.1299991607666,47.849998474121094,16.409143447875977,4.687829971313477,17.610000610351562,21.59000015258789,4.236666202545166,26.899999618530273,,16.799999237060547,21.450000762939453,12.425564765930176,13.25,7.552499771118164,6.539999961853027,9.863668441772461,,12.899999618530273,8.300000190734863,10.142266273498535,16.719999313354492,,22.809999465942383,13.331103324890137,,,28.312000274658203,6.079999923706055,15.40999984741211,,,19.852109909057617,367.0,9.433106422424316,,15.149999618530273,,,18.857900619506836,16.34000015258789,9.642849922180176,800.7999877929688,,7.550000190734863,16.950000762939453,,2.8489999771118164,15.170000076293945,,16.049999237060547,11.437607765197754,5.927341938018799,9.729999542236328,16.190000534057617,9.75355052947998,7.53000020980835,78984.6640625,7.659999847412109,4.9081339836120605,7.420000076293945,165.40330505371094,,63.75,,205.4995880126953
