VALE3.SA,ITUB4.SA,PETR4.SA,PETR3.SA,BBDC4.SA,ELET3.SA,B3SA3.SA,ABEV3.SA,WEGE3.SA,BBAS3.SA,ITSA4.SA,RENT3.SA,SUZB3.SA,GGBR4.SA,RDOR3.SA,PRIO3.SA,EQTL3.SA,RADL3.SA,BPAC11.SA,JBSS3.SA,BBSE3.SA,RAIL3.SA,HAPV3.SA,BBDC3.SA,CSAN3.SA,LREN3.SA,SBSP3.SA,ASAI3.SA,ENEV3.SA,HYPE3.SA,VBBR3.SA,CMIG4.SA,VIVT3.SA,KLBN11.SA,TOTS3.SA,UGPA3.SA,CPLE6.SA,ELET6.SA,ENGI11.SA,EMBR3.SA,CCRO3.SA,SANB11.SA,TIMS3.SA,EGIE3.SA,NTCO3.SA,GOAU4.SA,CSNA3.SA,BRFS3.SA,TAEE11.SA,CRFB3.SA,BRAP4.SA,MGLU3.SA,RRRP3.SA,BRML3.SA,BRKM5.SA,CPFE3.SA,CIEL3.SA,MULT3.SA,AMER3.SA,FLRY3.SA,ENBR3.SA,SOMA3.SA,ARZZ3.SA,CMIN3.SA,SLCE3.SA,RAIZ4.SA,IGTI11.SA,COGN3.SA,VIIA3.SA,USIM5.SA,CYRE3.SA,AZUL4.SA,SMTO3.SA,BEEF3.SA,ALPA4.SA,YDUQ3.SA,LWSA3.SA,MRFG3.SA,PCAR3.SA,MRVE3.SA,PETZ3.SA,BPAN4.SA,DXCO3.SA,QUAL3.SA,ECOR3.SA,GOLL4.SA,EZTC3.SA,CVCB3.SA,CASH3.SA
78.0,21.510000228881836,29.09000015258789,31.520000457763672,17.899999618530273,32.630001068115234,10.720000267028809,15.329999923706055,32.02000045776367,28.81999969482422,8.199999809265137,50.88999938964844,59.59000015258789,27.260000228881836,43.97999954223633,20.290000915527344,22.06999969482422,23.25,20.1200008392334,36.349998474121094,20.600000381469727,17.389999389648438,10.050000190734863,15.045454025268555,21.170000076293945,23.079999923706055,39.95000076293945,12.720000267028809,13.4399995803833,27.450000762939453,20.350000381469727,9.907691955566406,47.810001373291016,25.649999618530273,27.5,14.119999885559082,6.429999828338623,32.29999923706055,40.38999938964844,25.239999771118164,11.4399995803833,30.59000015258789,12.630000114440918,38.040000915527344,25.899999618530273,11.289999961853027,24.510000228881836,23.219999313354492,36.47999954223633,14.319999694824219,24.649999618530273,6.71999979019165,34.150001525878906,7.989999771118164,56.84000015258789,25.8799991607666,2.190000057220459,17.450000762939453,31.020000457763672,16.920000076293945,20.739999771118164,11.890000343322754,72.2300033569336,7.050000190734863,41.59000015258789,6.269999980926514,17.309999465942383,2.390000104904175,4.980000019073486,14.970000267028809,14.520000457763672,24.420000076293945,33.56999969482422,10.4399995803833,34.29999923706055,20.0,12.75,21.270000457763672,20.850000381469727,11.3100004196167,15.819999694824219,10.229999542236328,13.363636016845703,16.170000076293945,7.130000114440918,16.739999771118164,19.399999618530273,12.869999885559082,3.049999952316284
77.08000183105469,22.1200008392334,29.200000762939453,31.920000076293945,18.0,31.93000030517578,10.949999809265137,15.3100004196167,31.860000610351562,28.850000381469727,8.263635635375977,51.18000030517578,60.88999938964844,27.639999389648438,42.900001525878906,20.719999313354492,21.8700008392334,23.350000381469727,19.65999984741211,36.2400016784668,20.549999237060547,17.3700008392334,9.90999984741211,15.100000381469727,21.299999237060547,22.799999237060547,38.849998474121094,12.720000267028809,12.90999984741211,27.299999237060547,20.229999542236328,9.899999618530273,47.810001373291016,26.1299991607666,26.389999389648438,13.59000015258789,6.360000133514404,31.389999389648438,39.900001525878906,25.219999313354492,11.430000305175781,31.030000686645508,12.819999694824219,38.13999938964844,24.229999542236328,11.520000457763672,24.139999389648438,22.420000076293945,36.65999984741211,14.279999732971191,24.8799991607666,6.610000133514404,34.47999954223633,7.920000076293945,56.47999954223633,25.799999237060547,2.119999885559082,17.3700008392334,29.959999084472656,16.34000015258789,20.719999313354492,11.529999732971191,70.0999984741211,7.550000190734863,41.11000061035156,6.329999923706055,16.68000030517578,2.2899999618530273,4.730000019073486,14.850000381469727,14.260000228881836,24.399999618530273,34.349998474121094,10.1899995803833,33.310001373291016,19.670000076293945,11.890000343322754,21.510000228881836,20.93000030517578,10.949999809265137,14.40999984741211,9.430000305175781,13.100000381469727,15.449999809265137,7.010000228881836,16.34000015258789,18.760000228881836,12.029999732971191,2.890000104904175
77.80999755859375,21.700000762939453,28.06999969482422,30.610000610351562,17.872726440429688,31.799999237060547,10.720000267028809,15.010000228881836,30.18000030517578,28.3700008392334,8.17272663116455,49.70000076293945,60.20000076293945,27.18000030517578,40.0,18.489999771118164,21.579999923706055,22.270000457763672,18.809999465942383,36.15999984741211,20.299999237060547,16.610000610351562,9.359999656677246,15.0,20.239999771118164,21.690000534057617,37.18000030517578,11.989999771118164,12.399999618530273,26.809999465942383,19.34000015258789,9.584614753723145,47.75,25.639999389648438,25.219999313354492,13.229999542236328,6.28000020980835,31.229999542236328,39.810001373291016,23.719999313354492,11.260000228881836,30.790000915527344,12.699999809265137,37.599998474121094,23.110000610351562,11.289999961853027,23.440000534057617,22.700000762939453,36.290000915527344,13.960000038146973,24.940000534057617,6.420000076293945,32.0099983215332,7.539999961853027,53.77000045776367,25.389999389648438,2.109999895095825,16.68000030517578,28.6200008392334,15.890000343322754,19.81999969482422,10.430000305175781,66.7300033569336,6.960000038146973,40.95000076293945,5.789999961853027,15.800000190734863,2.140000104904175,4.570000171661377,13.989999771118164,13.890000343322754,22.360000610351562,33.439998626708984,10.069999694824219,32.029998779296875,18.90999984741211,10.369999885559082,21.34000015258789,20.18000030517578,10.520000457763672,13.770000457763672,9.460000038146973,12.545454025268555,15.199999809265137,6.940000057220459,15.229999542236328,17.989999771118164,11.1899995803833,2.630000114440918
79.37999725341797,22.139999389648438,28.049999237060547,30.579999923706055,18.12727165222168,31.75,10.979999542236328,14.770000457763672,30.170000076293945,28.600000381469727,8.245453834533691,49.88999938964844,59.720001220703125,27.190000534057617,40.43000030517578,18.959999084472656,21.399999618530273,21.799999237060547,18.459999084472656,36.18000030517578,20.440000534057617,16.100000381469727,9.710000038146973,15.163636207580566,19.770000457763672,22.799999237060547,36.209999084472656,11.59000015258789,12.210000038146973,27.09000015258789,19.209999084472656,9.376922607421875,46.97999954223633,25.65999984741211,26.0,13.039999961853027,6.119999885559082,31.200000762939453,39.43000030517578,23.8700008392334,11.010000228881836,31.040000915527344,12.609999656677246,37.29999923706055,22.850000381469727,11.260000228881836,23.139999389648438,24.299999237060547,36.209999084472656,14.270000457763672,25.649999618530273,6.25,31.809999465942383,7.340000152587891,52.88999938964844,24.790000915527344,2.059999942779541,16.690000534057617,29.260000228881836,16.420000076293945,19.639999389648438,10.75,67.94999694824219,6.820000171661377,43.20000076293945,5.559999942779541,15.220000267028809,2.0899999141693115,4.360000133514404,14.010000228881836,13.770000457763672,23.049999237060547,33.400001525878906,10.0600004196167,32.540000915527344,18.889999389648438,10.140000343322754,21.34000015258789,19.420000076293945,10.529999732971191,14.029999732971191,9.5600004196167,12.381817817687988,15.289999961853027,6.949999809265137,15.5,18.170000076293945,11.3100004196167,2.609999895095825
84.0,22.6299991607666,28.18000030517578,30.829999923706055,18.39090919494629,30.360000610351562,11.239999771118164,14.529999732971191,29.40999984741211,28.6299991607666,8.345454216003418,49.470001220703125,59.31999969482422,27.43000030517578,41.15999984741211,19.81999969482422,21.350000381469727,21.479999542236328,18.600000381469727,35.2400016784668,19.799999237060547,15.859999656677246,9.920000076293945,15.227272033691406,19.809999465942383,22.989999771118164,35.459999084472656,11.359999656677246,11.930000305175781,27.290000915527344,19.170000076293945,9.430768966674805,46.65999984741211,25.229999542236328,25.100000381469727,12.949999809265137,6.099999904632568,30.15999984741211,39.4900016784668,24.06999969482422,11.260000228881836,31.139999389648438,12.430000305175781,37.349998474121094,22.110000610351562,11.430000305175781,24.1200008392334,24.600000381469727,36.2400016784668,13.960000038146973,26.65999984741211,6.21999979019165,34.0,7.28000020980835,52.7400016784668,25.34000015258789,2.049999952316284,16.65999984741211,27.700000762939453,16.579999923706055,19.729999542236328,10.5,67.41000366210938,6.980000019073486,42.9900016784668,5.820000171661377,15.350000381469727,2.069999933242798,4.170000076293945,14.680000305175781,13.960000038146973,23.899999618530273,33.5099983215332,9.920000076293945,32.349998474121094,18.809999465942383,9.90999984741211,21.170000076293945,18.950000762939453,10.579999923706055,14.180000305175781,9.649999618530273,12.354544639587402,15.479999542236328,7.0,15.770000457763672,18.030000686645508,11.529999732971191,2.609999895095825
83.0,22.84000015258789,28.010000228881836,30.719999313354492,18.454544067382812,29.479999542236328,11.180000305175781,14.649999618530273,28.559999465942383,28.780000686645508,8.345454216003418,48.5,59.18000030517578,27.579999923706055,39.470001220703125,20.139999389648438,21.719999313354492,21.059999465942383,18.559999465942383,35.900001525878906,19.309999465942383,15.649999618530273,9.399999618530273,15.427271842956543,19.729999542236328,22.739999771118164,34.779998779296875,11.300000190734863,11.960000038146973,26.760000228881836,19.040000915527344,9.346153259277344,46.79999923706055,25.030000686645508,24.5,12.779999732971191,6.130000114440918,29.440000534057617,39.15999984741211,23.739999771118164,10.989999771118164,31.690000534057617,12.3100004196167,37.7400016784668,21.6299991607666,11.430000305175781,24.920000076293945,23.520000457763672,36.16999816894531,14.0600004196167,26.649999618530273,5.739999771118164,34.5099983215332,7.099999904632568,53.58000183105469,25.549999237060547,2.009999990463257,16.440000534057617,27.139999389648438,17.200000762939453,19.719999313354492,10.260000228881836,64.77999877929688,6.989999771118164,43.72999954223633,5.699999809265137,15.149999618530273,2.0,4.010000228881836,15.380000114440918,13.680000305175781,23.6299991607666,33.27000045776367,9.800000190734863,31.700000762939453,18.059999465942383,9.800000190734863,21.459999084472656,19.350000381469727,10.449999809265137,14.0,9.539999961853027,12.109089851379395,14.619999885559082,6.960000038146973,15.699999809265137,17.600000381469727,11.59000015258789,2.4600000381469727
84.58000183105469,23.350000381469727,28.84000015258789,31.989999771118164,18.4818172454834,29.84000015258789,11.210000038146973,14.680000305175781,29.040000915527344,28.899999618530273,8.481818199157715,49.20000076293945,59.529998779296875,28.200000762939453,40.810001373291016,21.200000762939453,22.209999084472656,21.489999771118164,19.450000762939453,35.709999084472656,19.329999923706055,16.0,9.960000038146973,15.581817626953125,20.559999465942383,23.260000228881836,34.810001373291016,11.449999809265137,12.119999885559082,26.709999084472656,19.420000076293945,9.615384101867676,46.56999969482422,24.979999542236328,25.309999465942383,12.989999771118164,6.139999866485596,29.8700008392334,39.75,23.479999542236328,11.029999732971191,31.299999237060547,12.390000343322754,37.79999923706055,23.0,11.710000038146973,24.860000610351562,23.219999313354492,36.08000183105469,14.239999771118164,27.290000915527344,5.869999885559082,36.29999923706055,7.25,52.939998626708984,25.520000457763672,2.0799999237060547,16.959999084472656,28.049999237060547,17.860000610351562,19.920000076293945,10.550000190734863,66.58999633789062,7.0,43.689998626708984,5.900000095367432,16.149999618530273,2.0399999618530273,4.039999961853027,16.309999465942383,13.789999961853027,24.5,33.40999984741211,9.699999809265137,32.58000183105469,18.6299991607666,9.890000343322754,21.280000686645508,19.530000686645508,10.550000190734863,14.989999771118164,9.720000267028809,12.17272663116455,15.199999809265137,7.0,16.170000076293945,17.850000381469727,11.630000114440918,2.640000104904175
85.5,23.25,29.719999313354492,33.04999923706055,18.3454532623291,31.40999984741211,11.609999656677246,14.880000114440918,30.219999313354492,29.18000030517578,8.454545021057129,49.619998931884766,61.619998931884766,28.850000381469727,41.20000076293945,21.360000610351562,22.75,22.100000381469727,19.559999465942383,36.43000030517578,19.149999618530273,16.329999923706055,10.399999618530273,15.445453643798828,21.229999542236328,24.649999618530273,35.279998779296875,11.800000190734863,12.510000228881836,26.760000228881836,20.420000076293945,9.753846168518066,46.689998626708984,25.59000015258789,25.309999465942383,13.5,6.190000057220459,31.079999923706055,41.18000030517578,23.110000610351562,11.430000305175781,30.600000381469727,12.489999771118164,37.97999954223633,22.989999771118164,12.010000228881836,26.280000686645508,23.84000015258789,36.150001525878906,14.489999771118164,27.739999771118164,6.309999942779541,36.08000183105469,7.679999828338623,53.150001525878906,26.25,2.0299999713897705,18.06999969482422,29.479999542236328,18.010000228881836,20.469999313354492,11.09000015258789,68.66000366210938,7.309999942779541,45.130001068115234,6.130000114440918,17.350000381469727,2.049999952316284,4.110000133514404,16.440000534057617,14.199999809265137,25.610000610351562,34.959999084472656,9.800000190734863,33.45000076293945,18.719999313354492,9.550000190734863,21.6200008392334,20.15999984741211,10.920000076293945,15.550000190734863,9.680000305175781,12.372727394104004,15.989999771118164,7.260000228881836,16.700000762939453,18.360000610351562,11.930000305175781,2.690000057220459
84.19999694824219,23.68000030517578,30.31999969482422,33.849998474121094,18.672727584838867,31.420000076293945,11.59000015258789,14.989999771118164,29.100000381469727,29.649999618530273,8.690909385681152,49.45000076293945,62.529998779296875,28.270000457763672,41.400001525878906,22.020000457763672,22.59000015258789,21.0,19.299999237060547,37.060001373291016,19.18000030517578,16.260000228881836,10.170000076293945,15.618181228637695,21.049999237060547,24.760000228881836,35.25,12.020000457763672,12.170000076293945,27.09000015258789,20.1299991607666,9.769229888916016,47.040000915527344,25.450000762939453,25.219999313354492,13.380000114440918,6.230000019073486,31.059999465942383,40.880001068115234,22.139999389648438,11.399999618530273,31.709999084472656,12.710000038146973,38.290000915527344,21.81999969482422,11.739999771118164,26.18000030517578,24.010000228881836,36.06999969482422,14.199999809265137,27.3799991607666,6.090000152587891,35.849998474121094,7.849999904632568,52.04999923706055,25.850000381469727,2.0199999809265137,18.1200008392334,29.59000015258789,17.5,20.479999542236328,11.039999961853027,68.37999725341797,7.159999847412109,45.189998626708984,6.110000133514404,17.290000915527344,2.0799999237060547,3.990000009536743,16.3700008392334,14.1899995803833,26.049999237060547,35.279998779296875,10.100000381469727,33.20000076293945,18.59000015258789,8.75,22.739999771118164,19.6200008392334,10.9399995803833,15.399999618530273,9.619999885559082,12.554545402526855,15.520000457763672,7.199999809265137,16.75,18.309999465942383,11.949999809265137,2.559999942779541
84.69000244140625,23.5,31.450000762939453,34.560001373291016,18.972726821899414,31.610000610351562,12.220000267028809,15.100000381469727,30.700000762939453,30.40999984741211,8.790908813476562,51.27000045776367,62.77000045776367,28.280000686645508,41.0,22.899999618530273,22.6200008392334,21.0,19.610000610351562,37.38999938964844,19.450000762939453,16.309999465942383,10.3100004196167,15.854544639587402,21.219999313354492,23.969999313354492,35.11000061035156,12.130000114440918,12.699999809265137,28.0,19.829999923706055,9.792306900024414,46.880001068115234,25.290000915527344,25.200000762939453,13.15999984741211,6.340000152587891,31.09000015258789,41.18000030517578,22.010000228881836,11.390000343322754,31.700000762939453,12.630000114440918,38.38999938964844,21.799999237060547,11.739999771118164,25.719999313354492,24.299999237060547,36.04999923706055,14.399999618530273,27.520000457763672,6.329999923706055,36.689998626708984,8.399999618530273,52.15999984741211,25.950000762939453,2.0199999809265137,18.489999771118164,30.309999465942383,17.93000030517578,20.799999237060547,11.09000015258789,68.05999755859375,7.179999828338623,45.95000076293945,6.190000057220459,17.8799991607666,2.1600000858306885,3.9700000286102295,16.450000762939453,14.1899995803833,26.329999923706055,35.68000030517578,10.270000457763672,32.099998474121094,18.899999618530273,8.390000343322754,23.510000228881836,19.90999984741211,11.09000015258789,15.239999771118164,10.210000038146973,12.727272033691406,15.930000305175781,7.199999809265137,16.93000030517578,18.610000610351562,11.710000038146973,2.569999933242798
