ITUB4.SA,VALE3.SA,BBDC4.SA,PETR4.SA,PETR3.SA,B3SA3.SA,ABEV3.SA,BBAS3.SA,ITSA4.SA,LREN3.SA,JBSS3.SA,BBDC3.SA,BRFS3.SA,SUZB3.SA,RAIL3.SA,RENT3.SA,BBSE3.SA,UGPA3.SA,VIVT4.SA,EQTL3.SA,SANB11.SA,RADL3.SA,WEGE3.SA,COGN3.SA,CCRO3.SA,GGBR4.SA,SBSP3.SA,PCAR4.SA,CMIG4.SA,EMBR3.SA,MGLU3.SA,IRBR3.SA,AZUL4.SA,BRML3.SA,HYPE3.SA,EGIE3.SA,LAME4.SA,CSNA3.SA,NATU3.SA,KLBN11.SA,ELET3.SA,BRKM5.SA,TIMS3.SA,YDUQ3.SA,VBBR3.SA,ELET6.SA,BRAP4.SA,CIEL3.SA,CSAN3.SA,MULT3.SA,CVCB3.SA,FLRY3.SA,TAEE11.SA,MRVE3.SA,ENBR3.SA,CYRE3.SA,AMER3.SA,QUAL3.SA,USIM5.SA,GOLL4.SA,GOAU4.SA,IGTA3.SA,MRFG3.SA,VIIA3.SA,SMLS3.SA,ECOR3.SA
26.899999618530273,48.7599983215332,16.622838973999023,17.469999313354492,19.68000030517578,6.880000114440918,18.139999389648438,29.389999389648438,8.034631729125977,26.155075073242188,9.289999961853027,15.063860893249512,20.209999084472656,44.59000015258789,13.859999656677246,22.019046783447266,24.399999618530273,23.010000228881836,,11.699999809265137,29.09000015258789,13.552000045776367,7.829999923706055,9.729999542236328,9.75,13.920000076293945,23.25,,4.930163860321045,24.719999313354492,3.919687032699585,370.03802490234375,20.709999084472656,9.75,28.18000030517578,27.408000946044922,,7.78000020980835,,19.579999923706055,13.055039405822754,51.040000915527344,13.050000190734863,24.850000381469727,18.15999984741211,14.680000305175781,25.329790115356445,16.200000762939453,8.697500228881836,18.43666648864746,44.650001525878906,25.709999084472656,18.84000015258789,10.854673385620117,13.640000343322754,10.84000015258789,26.52902603149414,18.1299991607666,7.230000019073486,10.119999885559082,6.21999979019165,,8.170000076293945,5.840000152587891,,7.239999771118164
27.53333282470703,47.959999084472656,17.380414962768555,17.5,19.75,6.9633331298828125,18.09000015258789,29.649999618530273,8.303030014038086,27.056974411010742,9.300000190734863,15.433258056640625,20.420000076293945,45.0,13.6899995803833,22.333332061767578,24.6200008392334,23.0,,11.619999885559082,29.399999618530273,13.998000144958496,8.0,10.65999984741211,9.90999984741211,14.289999961853027,23.329999923706055,,4.936790943145752,25.979999542236328,3.891561985015869,366.51092529296875,20.729999542236328,9.850000381469727,28.0,27.600000381469727,,7.820000171661377,,19.510000228881836,13.394908905029297,50.400001525878906,13.0,25.5,18.299999237060547,15.350000381469727,25.046480178833008,16.030000686645508,8.8100004196167,18.549999237060547,44.41999816894531,26.5,19.020000457763672,11.318314552307129,13.899999618530273,11.130000114440918,27.37906265258789,18.65999984741211,7.75,10.199999809265137,6.46999979019165,,8.210000038146973,5.739999771118164,,7.449999809265137
27.979999542236328,48.029998779296875,17.62459373474121,17.610000610351562,20.709999084472656,7.046666145324707,18.100000381469727,30.5,8.380951881408691,26.921689987182617,9.640000343322754,15.75256633758545,20.700000762939453,45.709999084472656,13.699999809265137,22.428571701049805,24.600000381469727,22.899999618530273,,11.977999687194824,30.059999465942383,13.958000183105469,7.949999809265137,10.430000305175781,10.010000228881836,14.579999923706055,23.690000534057617,,5.036189079284668,26.950000762939453,3.885936975479126,361.8337097167969,21.0,10.010000228881836,28.0,27.8799991607666,,8.029999732971191,,19.540000915527344,15.803994178771973,49.599998474121094,13.15999984741211,25.84000015258789,18.25,17.899999618530273,25.14386749267578,16.0,8.892499923706055,18.976665496826172,44.04999923706055,26.739999771118164,19.729999542236328,11.454680442810059,14.010000228881836,11.460000038146973,28.663999557495117,19.0,8.220000267028809,10.5,6.570000171661377,,8.640000343322754,5.71999979019165,,7.5
27.799999237060547,49.70000076293945,17.587026596069336,17.860000610351562,20.09000015258789,7.00333309173584,18.399999618530273,29.790000915527344,8.39826774597168,26.966785430908203,9.550000190734863,15.65239143371582,21.450000762939453,46.790000915527344,13.579999923706055,22.095237731933594,24.520000457763672,22.885000228881836,,11.87600040435791,29.459999084472656,13.65999984741211,7.989999771118164,10.5,10.039999961853027,15.15999984741211,23.700000762939453,,5.082574844360352,23.100000381469727,3.75,369.194580078125,20.43000030517578,10.020000457763672,27.850000381469727,27.648000717163086,,7.829999923706055,,19.559999465942383,14.444511413574219,49.470001220703125,13.100000381469727,25.600000381469727,18.0,16.799999237060547,25.914121627807617,16.0,8.854999542236328,18.88666534423828,43.369998931884766,26.56999969482422,19.68000030517578,11.491044044494629,13.720000267028809,11.420000076293945,28.011646270751953,18.940000534057617,8.09000015258789,10.609999656677246,6.840000152587891,,8.579999923706055,5.579999923706055,,7.949999809265137
28.053333282470703,50.34000015258789,17.637113571166992,17.940000534057617,20.219999313354492,7.25,18.09000015258789,29.459999084472656,8.415583610534668,26.966785430908203,9.34000015258789,15.77134895324707,22.799999237060547,45.63999938964844,13.6899995803833,21.733333587646484,24.600000381469727,23.329999923706055,,11.85200023651123,29.790000915527344,13.473999977111816,8.170000076293945,11.210000038146973,10.050000190734863,15.520000457763672,24.299999237060547,,5.122334003448486,22.670000076293945,3.8031249046325684,368.4278259277344,20.799999237060547,10.170000076293945,28.540000915527344,27.416000366210938,,7.96999979019165,,19.719999313354492,14.524479866027832,49.380001068115234,13.220000267028809,26.479999542236328,18.6200008392334,16.84000015258789,26.268259048461914,15.960000038146973,9.052499771118164,18.66666603088379,41.4900016784668,27.1200008392334,19.739999771118164,11.50013542175293,13.800000190734863,11.59000015258789,28.00176239013672,19.790000915527344,8.039999961853027,11.119999885559082,7.010000228881836,,8.329999923706055,5.480000019073486,,7.849999904632568
28.126665115356445,49.529998779296875,17.405458450317383,17.75,20.190000534057617,7.456665992736816,18.190000534057617,29.209999084472656,8.432900428771973,27.507923126220703,9.84000015258789,15.52091121673584,23.06999969482422,43.310001373291016,14.0,22.28571319580078,24.799999237060547,22.795000076293945,,11.803999900817871,29.670000076293945,13.59000015258789,8.5,11.1899995803833,10.220000267028809,15.25,23.729999542236328,,5.16871976852417,22.559999465942383,3.6890621185302734,378.702392578125,20.690000534057617,10.170000076293945,28.0,27.520000457763672,,7.96999979019165,,19.43000030517578,14.124631881713867,52.630001068115234,13.130000114440918,26.149999618530273,19.350000381469727,16.559999465942383,25.896413803100586,16.809999465942383,9.260000228881836,18.5,40.150001525878906,27.389999389648438,19.799999237060547,11.481952667236328,13.920000076293945,11.5,27.468019485473633,19.899999618530273,7.880000114440918,11.029999732971191,6.929999828338623,,8.34000015258789,5.349999904632568,,8.100000381469727
28.239999771118164,48.86000061035156,17.336589813232422,17.40999984741211,20.020000457763672,7.460000038146973,17.90999984741211,29.790000915527344,8.458873748779297,26.966785430908203,9.489999771118164,15.470823287963867,22.81999969482422,44.880001068115234,14.0600004196167,21.399999618530273,24.719999313354492,22.75,,11.800000190734863,29.790000915527344,13.977999687194824,8.404999732971191,11.109999656677246,10.220000267028809,14.890000343322754,23.649999618530273,,5.042816162109375,21.579999923706055,3.578437089920044,381.6160888671875,20.899999618530273,10.239999771118164,27.940000534057617,27.86400032043457,,7.570000171661377,,19.520000457763672,14.434514045715332,53.68000030517578,13.100000381469727,26.1299991607666,19.459999084472656,16.920000076293945,25.409473419189453,16.489999771118164,9.140000343322754,18.510000228881836,40.20000076293945,27.649999618530273,19.469999313354492,11.427407264709473,13.720000267028809,11.449999809265137,26.410417556762695,19.950000762939453,7.53000020980835,10.670000076293945,6.78000020980835,,8.220000267028809,5.650000095367432,,8.050000190734863
28.773332595825195,50.45000076293945,17.843725204467773,17.950000762939453,20.600000381469727,7.686666011810303,18.239999771118164,30.360000610351562,8.580085754394531,27.029916763305664,9.520000457763672,15.84022045135498,23.149999618530273,44.15999984741211,14.680000305175781,21.790475845336914,25.0,22.670000076293945,,11.593999862670898,31.469999313354492,14.220000267028809,8.524999618530273,11.130000114440918,10.4399995803833,15.699999809265137,23.81999969482422,,5.095828056335449,21.65999984741211,3.8553121089935303,394.8810119628906,21.729999542236328,10.399999618530273,27.200000762939453,28.288000106811523,,8.010000228881836,,19.549999237060547,14.594453811645508,52.529998779296875,13.369999885559082,26.149999618530273,20.030000686645508,16.75,26.250553131103516,16.399999618530273,9.510000228881836,18.896665573120117,41.439998626708984,27.600000381469727,19.360000610351562,11.68195629119873,13.869999885559082,11.9399995803833,27.725006103515625,19.670000076293945,8.229999542236328,11.09000015258789,7.170000076293945,,8.180000305175781,5.590000152587891,,8.3100004196167
29.50666618347168,50.310001373291016,18.20060157775879,18.110000610351562,20.579999923706055,7.940000057220459,18.440000534057617,31.1299991607666,8.770562171936035,27.66124725341797,9.399999618530273,16.121963500976562,22.780000686645508,44.2400016784668,14.6899995803833,22.600000381469727,25.190000534057617,21.46500015258789,,11.399999618530273,31.5,14.949999809265137,8.574999809265137,11.220000267028809,10.399999618530273,15.510000228881836,23.93000030517578,,5.221733093261719,20.65999984741211,3.9262499809265137,402.5486145019531,21.850000381469727,10.520000457763672,27.010000228881836,29.02400016784668,,8.020000457763672,,19.719999313354492,14.634437561035156,52.70000076293945,13.470000267028809,26.989999771118164,20.200000762939453,16.639999389648438,26.153165817260742,16.899999618530273,9.5649995803833,19.709999084472656,43.25,27.700000762939453,19.56999969482422,11.936504364013672,13.890000343322754,11.880000114440918,28.387243270874023,19.489999771118164,8.319999694824219,11.210000038146973,7.150000095367432,,8.050000190734863,5.800000190734863,,8.199999809265137
29.399999618530273,50.0,18.281993865966797,17.8799991607666,20.3799991607666,7.8333330154418945,18.950000762939453,30.790000915527344,8.822509765625,27.138145446777344,9.649999618530273,16.247182846069336,22.600000381469727,44.310001373291016,15.0,22.27618980407715,25.600000381469727,21.06999969482422,,11.430000305175781,31.489999771118164,15.039999961853027,8.720000267028809,11.300000190734863,10.40999984741211,15.729999542236328,24.239999771118164,,5.201852798461914,21.0,3.991874933242798,399.8649597167969,22.790000915527344,10.300000190734863,27.639999389648438,28.968000411987305,,7.949999809265137,,19.969999313354492,14.854354858398438,52.79999923706055,13.34000015258789,26.799999237060547,20.530000686645508,17.049999237060547,26.20628547668457,17.700000762939453,9.289999961853027,19.25666618347168,44.88999938964844,28.010000228881836,19.989999771118164,12.109233856201172,13.8100004196167,11.619999885559082,28.021530151367188,19.270000457763672,8.329999923706055,12.510000228881836,7.199999809265137,,7.909999847412109,5.639999866485596,,8.319999694824219
