ITUB4.SA,BBDC4.SA,ABEV3.SA,PETR4.SA,PETR3.SA,BRFS3.SA,CIEL3.SA,ITSA4.SA,VALE5.SA,JBSS3.SA,BBSE3.SA,VALE3.SA,UGPA3.SA,B3SA3.SA,BBAS3.SA,EMBR3.SA,COGN3.SA,VIVT4.SA,LREN3.SA,CCRO3.SA,BBDC3.SA,PCAR4.SA,FIBR3.SA,CRUZ3.SA,CTIP3.SA,CMIG4.SA,HYPE3.SA,TIMS3.SA,SUZB5.SA,LAME4.SA,KLBN11.SA,EGIE3.SA,BRML3.SA,SANB11.SA,GGBR4.SA,CPFE3.SA,SBSP3.SA,YDUQ3.SA,NATU3.SA,RENT3.SA,QUAL3.SA,MULT3.SA,CSNA3.SA,CESP6.SA,CPLE6.SA,BRKM5.SA,CSAN3.SA,BRPR3.SA,SMLS3.SA,ENBR3.SA,CYRE3.SA,BRAP4.SA,MRVE3.SA,USIM5.SA,MRFG3.SA,DXCO3.SA,ELET6.SA,OIBR4.SA,GOAU4.SA,RUMO3.SA,ECOR3.SA,HGTX3.SA,ELET3.SA,POMO4.SA,GFSA3.SA,GOLL4.SA
17.674930572509766,12.551705360412598,16.030000686645508,17.190000534057617,16.049999237060547,52.970001220703125,26.412036895751953,5.615542888641357,,7.539999961853027,33.04999923706055,29.649999618530273,25.899999618530273,3.856666088104248,24.940000534057617,20.440000534057617,15.375,,11.596782684326172,18.079999923706055,12.632267951965332,,,,,10.213541030883789,19.200000762939453,12.470000267028809,,,11.0,26.479999542236328,12.5418062210083,15.289999961853027,12.930000305175781,18.736610412597656,23.850000381469727,29.06999969482422,,10.81179141998291,25.75,16.79666519165039,9.34000015258789,,3.2909998893737793,14.050000190734863,8.81187629699707,534.0,,10.441747665405273,13.869999885559082,18.211597442626953,6.909172058105469,7.75,5.920000076293945,7.117355823516846,10.149999618530273,181.0,15.640000343322754,,15.100000381469727,,6.147663116455078,4.12778377532959,192.53294372558594,12.399999618530273
17.388429641723633,12.516425132751465,16.0,17.1200008392334,16.09000015258789,53.349998474121094,25.462961196899414,5.531729221343994,,7.619999885559082,32.5,30.440000534057617,25.549999237060547,3.75,24.520000457763672,20.520000457763672,15.0649995803833,,11.372127532958984,18.0,12.589366912841797,,,,,10.245658874511719,19.229999542236328,12.369999885559082,,,11.109999656677246,26.511999130249023,12.394647598266602,15.3100004196167,13.279999732971191,18.528636932373047,23.600000381469727,29.350000381469727,,10.884352684020996,25.5,16.780000686645508,9.65999984741211,,3.240000009536743,14.210000038146973,8.745220184326172,534.4000244140625,,10.402308464050293,13.649999618530273,18.530323028564453,6.754624843597412,8.109999656677246,5.829999923706055,7.052282810211182,10.270000457763672,181.0,16.079999923706055,,15.100000381469727,,6.197644233703613,4.098015785217285,193.40809631347656,12.180000305175781
17.51515007019043,12.732023239135742,16.260000228881836,17.520000457763672,16.34000015258789,54.400001525878906,25.920137405395508,5.576859951019287,,7.769999980926514,32.70000076293945,31.040000915527344,25.674999237060547,3.8333330154418945,24.649999618530273,21.09000015258789,15.337499618530273,,11.560707092285156,18.100000381469727,12.9442720413208,,,,,10.598958015441895,19.1200008392334,12.449999809265137,,,11.25,27.200000762939453,12.381270408630371,15.6899995803833,13.680000305175781,18.708250045776367,23.770000457763672,29.75,,11.00831413269043,26.049999237060547,16.770000457763672,10.180000305175781,,3.2660000324249268,14.319999694824219,8.874088287353516,532.0,,10.303707122802734,13.800000190734863,18.804779052734375,6.727352142333984,8.34000015258789,5.860000133514404,7.239367961883545,10.350000381469727,176.0,16.56999969482422,,15.149999618530273,,6.197644233703613,4.0781707763671875,196.03355407714844,12.1899995803833
17.504131317138672,12.7947416305542,16.31999969482422,17.5,16.329999923706055,54.77000045776367,26.157407760620117,5.5510711669921875,,7.900000095367432,32.79999923706055,31.219999313354492,26.200000762939453,3.813333034515381,24.610000610351562,21.25,14.96500015258789,,11.655816078186035,18.260000228881836,12.835070610046387,,,,,10.701736450195312,19.219999313354492,12.5600004196167,,,11.470000267028809,27.152000427246094,12.50167179107666,15.319999694824219,13.75,18.982397079467773,23.899999618530273,29.940000534057617,,11.06575870513916,26.81999969482422,16.833332061767578,10.109999656677246,,3.375,14.34000015258789,8.898528099060059,535.5999755859375,,10.717827796936035,13.75,18.884462356567383,6.66371488571167,8.4399995803833,5.900000095367432,7.231234073638916,10.399999618530273,178.0,16.6299991607666,,15.239999771118164,,6.227632999420166,4.1377058029174805,196.03355407714844,12.289999961853027
17.520660400390625,12.669302940368652,16.030000686645508,17.31999969482422,16.1299991607666,54.220001220703125,26.2210636138916,5.60264778137207,,7.760000228881836,32.70000076293945,30.799999237060547,25.844999313354492,3.8166658878326416,24.850000381469727,21.139999389648438,14.817500114440918,,11.642698287963867,18.389999389648438,12.796070098876953,,,,,10.87517261505127,19.229999542236328,12.229999542236328,,,11.460000038146973,27.055999755859375,12.367892265319824,15.25,13.899999618530273,18.935131072998047,23.59000015258789,29.6200008392334,,11.050642013549805,26.920000076293945,16.733333587646484,10.5,,3.312999963760376,14.569999694824219,8.731888771057129,532.0,,10.560068130493164,13.779999732971191,18.627710342407227,6.618259906768799,8.449999809265137,5.880000114440918,7.206830978393555,10.579999923706055,176.0,16.889999389648438,,15.130000114440918,,6.387571811676025,4.028557777404785,201.28445434570312,12.0
17.482093811035156,12.563464164733887,16.06999969482422,17.329999923706055,16.139999389648438,54.310001373291016,26.261573791503906,5.5704121589660645,,7.71999979019165,33.029998779296875,30.809999465942383,25.854999542236328,3.75333309173584,25.260000228881836,20.639999389648438,14.765000343322754,,11.741086959838867,18.459999084472656,12.792169570922852,,,,,10.93298625946045,18.90999984741211,12.039999961853027,,,11.5,26.576000213623047,12.30769157409668,14.8100004196167,13.829999923706055,18.91622543334961,23.450000762939453,29.549999237060547,,11.09296989440918,26.190000534057617,16.843332290649414,10.430000305175781,,3.319000005722046,14.569999694824219,8.754108428955078,532.0,,10.589648246765137,13.699999809265137,18.751659393310547,6.609169006347656,8.399999618530273,5.920000076293945,7.1498918533325195,10.579999923706055,166.0,16.850000381469727,,15.279999732971191,,6.387571811676025,3.9987900257110596,203.0347442626953,11.680000305175781
18.292011260986328,12.935859680175781,15.670000076293945,18.110000610351562,16.979999542236328,54.900001525878906,26.759258270263672,5.763829231262207,,7.820000171661377,33.369998931884766,30.799999237060547,26.059999465942383,3.863332986831665,26.260000228881836,21.290000915527344,15.047499656677246,,11.806678771972656,18.479999542236328,13.330376625061035,,,,,11.59461784362793,19.18000030517578,11.9399995803833,,,11.65999984741211,26.583999633789062,12.361204147338867,14.949999809265137,13.710000038146973,19.06747817993164,23.670000076293945,29.649999618530273,,11.071805953979492,26.799999237060547,16.983333587646484,10.550000190734863,,3.4000000953674316,14.680000305175781,8.820762634277344,531.2000122070312,,10.61922836303711,13.960000038146973,18.73395347595215,6.681897163391113,8.3100004196167,5.920000076293945,7.125490188598633,10.6899995803833,142.0,16.709999084472656,,15.210000038146973,,6.3475871086120605,3.9690229892730713,206.5353546142578,12.960000038146973
18.264461517333984,13.018179893493652,15.65999984741211,18.239999771118164,17.010000228881836,55.0,26.793981552124023,5.757381916046143,,7.980000019073486,33.220001220703125,30.709999084472656,26.170000076293945,3.950000047683716,26.1200008392334,21.3799991607666,15.25,,11.872271537780762,18.600000381469727,13.314777374267578,,,,,11.344097137451172,19.31999969482422,11.869999885559082,,,11.800000190734863,26.88800048828125,12.702341079711914,14.9399995803833,13.75,19.08638572692871,23.969999313354492,29.68000030517578,,11.105064392089844,26.81999969482422,17.16666603088379,10.630000114440918,,3.4809999465942383,14.850000381469727,8.778548240661621,537.5999755859375,,10.638948440551758,14.010000228881836,18.716245651245117,6.572803974151611,8.390000343322754,5.940000057220459,7.239367961883545,10.770000457763672,161.0,16.690000534057617,,15.289999961853027,,6.307602882385254,4.018634796142578,203.90989685058594,13.489999771118164
18.6942138671875,13.484654426574707,15.600000381469727,19.100000381469727,17.65999984741211,55.4900016784668,26.70717430114746,5.8927741050720215,,8.140000343322754,32.9900016784668,30.860000610351562,26.5,4.056665897369385,26.969999313354492,22.06999969482422,15.175000190734863,,11.970661163330078,18.940000534057617,13.891984939575195,,,,,11.62673568725586,19.34000015258789,11.960000038146973,,,11.829999923706055,27.440000534057617,13.056856155395508,15.09000015258789,14.0,19.53069496154785,23.700000762939453,29.690000534057617,,11.34996223449707,27.1200008392334,17.683332443237305,11.069999694824219,,3.5950000286102295,14.84000015258789,8.809654235839844,552.0,,10.826288223266602,14.079999923706055,19.017263412475586,6.481894016265869,8.59000015258789,6.0,7.117355823516846,11.069999694824219,156.0,17.079999923706055,,15.699999809265137,,6.567503929138184,4.098015785217285,206.5353546142578,13.239999771118164
18.92011070251465,13.606172561645508,15.710000038146973,19.260000228881836,17.75,55.45000076293945,26.331018447875977,5.944352149963379,,8.109999656677246,32.849998474121094,31.059999465942383,26.799999237060547,4.070000171661377,27.149999618530273,21.719999313354492,15.337499618530273,,12.052652359008789,18.790000915527344,13.845184326171875,,,,,11.761631965637207,19.100000381469727,12.100000381469727,,,11.609999656677246,27.392000198364258,13.043478012084961,15.09000015258789,14.180000305175781,19.266000747680664,23.260000228881836,29.649999618530273,,11.268328666687012,26.8799991607666,17.799999237060547,11.5,,3.5999999046325684,14.850000381469727,8.765216827392578,548.7999877929688,,10.974187850952148,13.850000381469727,19.229747772216797,6.445529937744141,8.949999809265137,6.429999828338623,6.832662105560303,11.229999542236328,156.0,17.40999984741211,,15.399999618530273,,6.657470226287842,4.098015785217285,210.03594970703125,13.699999809265137
