ITUB4.SA,VALE3.SA,BBDC4.SA,ABEV3.SA,PETR4.SA,PETR3.SA,ITSA4.SA,B3SA3.SA,BBAS3.SA,UGPA3.SA,LREN3.SA,BBDC3.SA,CIEL3.SA,VIVT4.SA,COGN3.SA,BBSE3.SA,BRFS3.SA,RADL3.SA,EMBR3.SA,SUZB3.SA,GGBR4.SA,FIBR3.SA,SANB11.SA,RAIL3.SA,JBSS3.SA,HYPE3.SA,RENT3.SA,EQTL3.SA,CCRO3.SA,WEGE3.SA,LAME4.SA,BRKM5.SA,SBSP3.SA,TIMS3.SA,YDUQ3.SA,PCAR4.SA,KLBN11.SA,BRML3.SA,FLRY3.SA,CMIG4.SA,EGIE3.SA,BRAP4.SA,MGLU3.SA,CSAN3.SA,MULT3.SA,ELET3.SA,USIM5.SA,NATU3.SA,ELET6.SA,QUAL3.SA,CSNA3.SA,MRVE3.SA,VVAR11.SA,GOAU4.SA,SMLS3.SA,TAEE11.SA,SAPR11.SA,ENBR3.SA,CYRE3.SA,IGTA3.SA,CPLE6.SA,MRFG3.SA,ECOR3.SA,CPFE3.SA
25.68000030517578,29.510000228881836,16.837316513061523,18.0,14.670000076293945,15.319999694824219,7.540338039398193,6.483333110809326,33.869998931884766,35.970001220703125,22.7442569732666,16.759700775146484,24.25,,13.270000457763672,29.209999084472656,38.88999938964844,11.763999938964844,17.010000228881836,20.010000228881836,10.739999771118164,,27.690000534057617,8.869999885559082,10.170000076293945,29.110000610351562,12.69841194152832,11.65999984741211,18.079999923706055,6.726922988891602,,31.90999984741211,33.5,10.1899995803833,15.550000190734863,,15.020000457763672,12.55652141571045,20.860000610351562,6.584200859069824,28.392000198364258,18.769365310668945,0.7148039937019348,9.725000381469727,22.290000915527344,17.193466186523438,4.369999885559082,,21.850000381469727,20.399999618530273,8.970000267028809,13.172882080078125,,4.820000171661377,,23.149999618530273,,14.109999656677246,13.15999984741211,,3.2269999980926514,5.699999809265137,8.979999542236328,25.790000915527344
25.81333351135254,30.649999618530273,16.95632553100586,18.110000610351562,14.850000381469727,15.430000305175781,7.642660140991211,6.563333034515381,34.0,35.8849983215332,22.82624626159668,16.878711700439453,25.066665649414062,,13.199999809265137,29.25,38.70000076293945,11.791999816894531,17.139999389648438,20.010000228881836,10.899999618530273,,27.530000686645508,8.960000038146973,10.029999732971191,29.030000686645508,12.89493465423584,11.807999610900879,17.899999618530273,6.780768871307373,,32.880001068115234,33.75,10.369999885559082,15.399999618530273,,15.350000381469727,12.547825813293457,21.0,6.378644943237305,28.711999893188477,19.64586067199707,0.7179290056228638,9.555000305175781,22.433332443237305,17.103500366210938,4.309999942779541,,21.549999237060547,20.469999313354492,9.289999961853027,13.436521530151367,,4.880000114440918,,23.170000076293945,,14.100000381469727,13.300000190734863,,3.2160000801086426,5.769999980926514,8.989999771118164,25.809999465942383
25.34000015258789,29.450000762939453,16.60964584350586,17.8799991607666,14.569999694824219,15.329999923706055,7.556079864501953,6.493332862854004,33.41999816894531,35.76499938964844,23.252599716186523,16.433717727661133,24.341665267944336,,13.300000190734863,28.760000228881836,38.599998474121094,12.039999961853027,16.850000381469727,20.010000228881836,10.649999618530273,,26.1299991607666,8.720000267028809,9.760000228881836,29.040000915527344,13.124715805053711,11.880000114440918,17.850000381469727,6.742307186126709,,32.58000183105469,34.13999938964844,10.210000038146973,15.680000305175781,,14.880000114440918,12.478260040283203,21.549999237060547,6.314408779144287,28.368000030517578,18.911022186279297,0.7298039793968201,9.4975004196167,22.66666603088379,16.493732452392578,4.110000133514404,,21.149999618530273,20.200000762939453,8.84000015258789,13.072880744934082,,4.690000057220459,,22.979999542236328,,13.8100004196167,13.220000267028809,,3.13100004196167,5.699999809265137,9.0600004196167,25.790000915527344
25.139999389648438,28.90999984741211,16.433717727661133,17.979999542236328,14.529999732971191,15.279999732971191,7.4537577629089355,6.383333206176758,32.63999938964844,35.744998931884766,23.121414184570312,16.283660888671875,23.741666793823242,,13.729999542236328,28.68000030517578,37.95000076293945,12.050000190734863,17.299999237060547,20.010000228881836,10.470000267028809,,25.139999389648438,8.600000381469727,9.5,29.170000076293945,12.985637664794922,11.767999649047852,17.600000381469727,6.734614849090576,,32.7400016784668,33.209999084472656,10.170000076293945,16.200000762939453,,14.899999618530273,12.321739196777344,21.239999771118164,6.237326145172119,28.04800033569336,18.37981414794922,0.734375,9.492500305175781,22.299999237060547,15.963932991027832,3.940000057220459,,20.649999618530273,20.440000534057617,8.65999984741211,13.372884750366211,,4.510000228881836,,22.600000381469727,,13.5600004196167,13.100000381469727,,3.0759999752044678,5.679999828338623,9.0,25.799999237060547
25.333332061767578,29.149999618530273,16.469938278198242,18.049999237060547,14.699999809265137,15.369999885559082,7.493112087249756,6.486666202545166,32.5,35.81999969482422,23.277196884155273,16.294010162353516,24.15833282470703,,13.609999656677246,28.969999313354492,37.779998779296875,12.211999893188477,17.350000381469727,20.010000228881836,10.550000190734863,,25.1299991607666,8.75,9.899999618530273,29.09000015258789,13.118668556213379,11.694000244140625,17.84000015258789,6.557692050933838,,33.29999923706055,33.70000076293945,10.020000457763672,16.0,,14.949999809265137,12.260869026184082,21.825000762939453,6.307985782623291,28.0,18.300132751464844,0.7326170206069946,9.675000190734863,22.329999923706055,15.754013061523438,4.019999980926514,,20.479999542236328,20.610000610351562,8.739999771118164,13.591069221496582,,4.519999980926514,,22.469999313354492,,13.899999618530273,13.0,,3.1029999256134033,5.670000076293945,9.170000076293945,25.81999969482422
25.286666870117188,29.030000686645508,16.573423385620117,18.0,14.9399995803833,15.630000114440918,7.524596214294434,6.436666011810303,32.790000915527344,35.83000183105469,23.678951263427734,16.356101989746094,24.100000381469727,,13.779999732971191,28.399999618530273,37.52000045776367,12.253999710083008,17.010000228881836,20.010000228881836,10.350000381469727,,24.770000457763672,8.8100004196167,10.069999694824219,29.239999771118164,13.000755310058594,11.854000091552734,17.850000381469727,6.538461208343506,,33.18000030517578,32.810001373291016,10.050000190734863,16.260000228881836,,15.050000190734863,12.234782218933105,21.774999618530273,6.166666030883789,28.007999420166016,18.140769958496094,0.7226560115814209,9.699999809265137,22.293333053588867,15.374156951904297,4.059999942779541,,19.729999542236328,20.030000686645508,8.449999809265137,13.663797378540039,,4.46999979019165,,22.729999542236328,,13.880000114440918,13.210000038146973,,3.0420000553131104,5.659999847412109,9.15999984741211,25.799999237060547
25.239999771118164,28.65999984741211,16.614818572998047,17.6200008392334,14.680000305175781,15.25,7.556079864501953,6.380000114440918,32.81999969482422,35.09000015258789,23.523170471191406,16.41301918029785,23.91666603088379,,13.65999984741211,28.709999084472656,38.5,12.251999855041504,16.829999923706055,20.010000228881836,10.029999732971191,,24.84000015258789,8.890000343322754,10.449999809265137,30.06999969482422,13.079364776611328,11.899999618530273,17.579999923706055,6.476922988891602,,33.43000030517578,32.29999923706055,10.050000190734863,16.1200008392334,,15.020000457763672,12.33043384552002,21.760000228881836,6.346527099609375,27.959999084472656,17.804338455200195,0.7316790223121643,9.6225004196167,22.316665649414062,15.744016647338867,3.9700000286102295,,20.3700008392334,20.059999465942383,8.390000343322754,13.600159645080566,,4.329999923706055,,23.040000915527344,,13.729999542236328,13.140000343322754,,3.056999921798706,5.579999923706055,9.350000381469727,25.780000686645508
25.206666946411133,27.420000076293945,16.44923973083496,17.670000076293945,14.649999618530273,15.1899995803833,7.516725063323975,6.353332996368408,32.279998779296875,35.03499984741211,23.801937103271484,16.304359436035156,24.299999237060547,,13.75,28.420000076293945,39.41999816894531,12.402000427246094,16.65999984741211,20.010000228881836,9.520000457763672,,24.399999618530273,8.850000381469727,10.149999618530273,29.31999969482422,13.215418815612793,11.833999633789062,17.670000076293945,6.5,,32.70000076293945,32.54999923706055,10.149999618530273,16.489999771118164,,15.100000381469727,12.260869026184082,21.514999389648438,6.1024298667907715,27.72800064086914,16.741920471191406,0.7010539770126343,9.725000381469727,22.333332061767578,15.903956413269043,3.7899999618530273,,20.139999389648438,19.84000015258789,7.659999847412109,13.509249687194824,,4.150000095367432,,23.190000534057617,,13.529999732971191,13.029999732971191,,3.0179998874664307,5.739999771118164,9.300000190734863,25.760000228881836
24.746665954589844,27.420000076293945,15.947328567504883,17.760000228881836,14.079999923706055,14.510000228881836,7.327823162078857,6.170000076293945,30.600000381469727,35.04999923706055,23.777341842651367,15.859365463256836,24.329999923706055,,13.529999732971191,28.079999923706055,39.5,12.362000465393066,15.800000190734863,20.010000228881836,9.449999809265137,,23.770000457763672,8.609999656677246,10.199999809265137,29.399999618530273,13.182161331176758,11.802000045776367,17.149999618530273,6.449999809265137,,31.989999771118164,31.84000015258789,10.300000190734863,15.739999771118164,,14.680000305175781,12.260869026184082,21.3700008392334,5.794096946716309,27.200000762939453,16.830455780029297,0.6719139814376831,9.550000190734863,21.976665496826172,15.314180374145508,3.700000047683716,,19.6200008392334,19.75,7.400000095367432,13.418339729309082,,4.139999866485596,,22.889999389648438,,13.350000381469727,13.199999809265137,,2.9519999027252197,5.670000076293945,9.1899995803833,25.719999313354492
25.85333251953125,27.43000030517578,16.661388397216797,18.059999465942383,14.279999732971191,14.649999618530273,7.524596214294434,6.516665935516357,32.02000045776367,35.689998626708984,24.11350440979004,16.48028564453125,24.510000228881836,,14.0600004196167,29.09000015258789,39.79999923706055,12.420000076293945,16.1200008392334,20.010000228881836,9.619999885559082,,24.360000610351562,8.850000381469727,10.34000015258789,29.770000457763672,13.575206756591797,11.753999710083008,17.5,6.584615230560303,,31.09000015258789,32.34000015258789,10.239999771118164,16.700000762939453,,14.789999961853027,12.573912620544434,22.364999771118164,6.038194179534912,27.799999237060547,17.08720588684082,0.7412099838256836,9.59000015258789,22.383333206176758,15.524100303649902,3.990000009536743,,19.899999618530273,19.75,7.639999866485596,14.118348121643066,,4.289999961853027,,23.020000457763672,,13.65999984741211,13.520000457763672,,3.0169999599456787,5.840000152587891,9.34000015258789,25.790000915527344
