ITUB4.SA,BBDC4.SA,ABEV3.SA,PETR4.SA,BRFS3.SA,PETR3.SA,ITSA4.SA,CIEL3.SA,B3SA3.SA,UGPA3.SA,VALE5.SA,VALE3.SA,VIVT4.SA,BBSE3.SA,COGN3.SA,JBSS3.SA,BBDC3.SA,BBAS3.SA,LREN3.SA,CCRO3.SA,EMBR3.SA,HYPE3.SA,RADL3.SA,CTIP3.SA,KLBN11.SA,LAME4.SA,SBSP3.SA,WEGE3.SA,EQTL3.SA,PCAR4.SA,EGIE3.SA,BRML3.SA,FIBR3.SA,TIMS3.SA,BRKM5.SA,CPFE3.SA,CMIG4.SA,SANB11.SA,GGBR4.SA,CSAN3.SA,NATU3.SA,SUZB5.SA,RENT3.SA,CSNA3.SA,MULT3.SA,QUAL3.SA,YDUQ3.SA,MRVE3.SA,CPLE6.SA,CESP6.SA,ENBR3.SA,CYRE3.SA,MRFG3.SA,SMLS3.SA,HGTX3.SA,GOAU4.SA,BRAP4.SA,ECOR3.SA,USIM5.SA,RUMO3.SA,OIBR3.SA
20.303030014038086,14.492868423461914,18.850000381469727,10.6899995803833,63.45000076293945,10.600000381469727,6.791697978973389,27.326387405395508,4.00666618347168,32.849998474121094,,18.0,,34.470001220703125,10.880000114440918,15.300000190734863,14.882597923278809,24.600000381469727,15.25849437713623,16.399999618530273,24.360000610351562,20.790000915527344,6.056000232696533,,18.1299991607666,,18.200000762939453,6.215384006500244,6.440000057220459,,28.959999084472656,12.30769157409668,,10.510000228881836,11.770000457763672,20.222890853881836,8.890276908874512,14.819999694824219,10.039999961853027,7.25,,,11.283446311950684,5.630000114440918,18.72333335876465,23.549999237060547,19.110000610351562,7.572815895080566,3.571000099182129,,10.560068130493164,13.8100004196167,4.150000095367432,,,10.779999732971191,9.402389526367188,9.109999656677246,5.0,,46.04621887207031
20.55096435546875,14.633986473083496,19.239999771118164,10.710000038146973,64.5,10.579999923706055,6.914478778839111,27.575231552124023,3.9700000286102295,33.209999084472656,,18.1299991607666,,35.9900016784668,11.420000076293945,15.449999809265137,14.896637916564941,25.479999542236328,15.368361473083496,16.420000076293945,24.43000030517578,21.280000686645508,6.079999923706055,,18.3700008392334,,18.799999237060547,6.230769157409668,6.409999847412109,,29.31999969482422,12.688962936401367,,10.3100004196167,12.100000381469727,20.48628044128418,9.01232624053955,15.25,10.0,7.197500228881836,,,11.670445442199707,5.800000190734863,19.333332061767578,23.93000030517578,19.56999969482422,7.763728141784668,3.674999952316284,,11.131948471069336,14.0600004196167,4.550000190734863,,,10.779999732971191,9.393535614013672,9.170000076293945,5.050000190734863,,47.613433837890625
20.561983108520508,14.713953018188477,19.440000534057617,10.920000076293945,64.69999694824219,10.829999923706055,6.901554107666016,27.424768447875977,3.869999885559082,32.724998474121094,,19.0,,34.79999923706055,11.510000228881836,15.979999542236328,14.79367733001709,24.68000030517578,15.332284927368164,16.190000534057617,24.25,21.459999084472656,6.125999927520752,,18.149999618530273,,18.299999237060547,6.257691860198975,6.260000228881836,,28.775999069213867,12.408025741577148,,10.40999984741211,12.170000076293945,20.37897491455078,8.960936546325684,14.989999771118164,9.890000343322754,7.327499866485596,,,11.313680648803711,5.71999979019165,19.02666664123535,23.510000228881836,19.549999237060547,7.818274021148682,3.507999897003174,,10.796708106994629,14.0,4.400000095367432,,,10.699999809265137,9.783088684082031,9.079999923706055,4.800000190734863,,46.120849609375
20.661157608032227,14.709248542785645,19.43000030517578,10.569999694824219,65.01000213623047,10.5600004196167,6.888629913330078,27.714120864868164,3.993333101272583,33.099998474121094,,18.75,,33.79999923706055,11.8100004196167,16.280000686645508,14.910677909851074,24.350000381469727,15.343764305114746,16.290000915527344,24.030000686645508,21.540000915527344,6.228000164031982,,18.25,,18.0,6.25,6.239999771118164,,28.479999542236328,12.214045524597168,,10.350000381469727,12.430000305175781,20.37897491455078,8.697568893432617,15.369999885559082,9.65999984741211,7.389999866485596,,,11.606952667236328,5.610000133514404,19.163333892822266,23.06999969482422,20.049999237060547,7.909183979034424,3.494999885559082,,10.717827796936035,14.069999694824219,4.320000171661377,,,10.5,9.712262153625488,9.050000190734863,4.599999904632568,,48.73286819458008
20.24793243408203,14.445828437805176,19.329999923706055,11.579999923706055,65.25,11.539999961853027,6.759387969970703,27.575231552124023,3.993333101272583,33.1349983215332,,18.799999237060547,,33.95000076293945,11.899999618530273,16.170000076293945,14.601794242858887,23.459999084472656,15.37328052520752,16.600000381469727,24.200000762939453,21.549999237060547,6.182000160217285,,18.190000534057617,,17.899999618530273,6.169229984283447,6.265999794006348,,28.784000396728516,11.919732093811035,,10.350000381469727,12.0600004196167,20.48628044128418,8.941665649414062,14.90999984741211,9.699999809265137,7.284999847412109,,,11.72486686706543,5.650000095367432,18.809999465942383,22.989999771118164,20.469999313354492,7.93645715713501,3.4130001068115234,,10.84600830078125,13.680000305175781,4.349999904632568,,,10.460000038146973,9.606019973754883,9.020000457763672,4.630000114440918,,47.762691497802734
20.39669418334961,14.502276420593262,19.520000457763672,11.8100004196167,63.95000076293945,11.829999923706055,6.804623126983643,28.391202926635742,4.03000020980835,32.875,,18.420000076293945,,35.40999984741211,11.949999809265137,16.440000534057617,14.718795776367188,24.299999237060547,15.332284927368164,16.760000228881836,24.170000076293945,21.3799991607666,6.111999988555908,,18.190000534057617,,17.549999237060547,6.199999809265137,6.260000228881836,,28.639999389648438,12.381270408630371,,10.470000267028809,11.670000076293945,20.25215721130371,8.915971755981445,15.1899995803833,9.59000015258789,7.349999904632568,,,11.730914115905762,5.71999979019165,19.366666793823242,22.75,20.299999237060547,7.809183120727539,3.569999933242798,,10.767127990722656,13.699999809265137,4.5,,,10.369999885559082,9.473217964172363,9.100000381469727,4.849999904632568,,47.68806076049805
20.236913681030273,14.539907455444336,19.40999984741211,12.270000457763672,63.439998626708984,12.420000076293945,6.798160076141357,28.49305534362793,4.050000190734863,33.290000915527344,,18.239999771118164,,35.31999969482422,11.449999809265137,15.930000305175781,14.695395469665527,24.25,15.32900619506836,16.479999542236328,24.25,21.280000686645508,6.188000202178955,,18.1299991607666,,17.6200008392334,6.188460826873779,6.257999897003174,,28.559999465942383,11.919732093811035,,10.399999618530273,11.779999732971191,19.99851417541504,9.269270896911621,15.0,9.699999809265137,7.400000095367432,,,11.504157066345215,5.679999828338623,19.133333206176758,22.809999465942383,19.450000762939453,7.754636764526367,3.640000104904175,,10.668527603149414,13.430000305175781,4.300000190734863,,,10.390000343322754,9.340415954589844,9.149999618530273,4.829999923706055,,49.32990264892578
20.236913681030273,14.74217700958252,19.1200008392334,12.460000038146973,62.95000076293945,12.449999809265137,6.765850067138672,27.94444465637207,4.0233330726623535,33.2400016784668,,18.75,,34.900001525878906,10.859999656677246,15.100000381469727,14.545633316040039,24.06999969482422,15.340483665466309,16.06999969482422,24.18000030517578,21.059999465942383,6.498000144958496,,18.170000076293945,,17.219999313354492,6.25,6.360000133514404,,28.88800048828125,12.0,,10.180000305175781,12.029999732971191,19.91071128845215,9.02517318725586,15.130000114440918,9.760000228881836,7.300000190734863,,,11.616024017333984,5.920000076293945,18.959999084472656,22.989999771118164,19.059999465942383,7.654634952545166,3.5220000743865967,,10.579788208007812,13.069999694824219,4.130000114440918,,,10.619999885559082,9.517484664916992,9.039999961853027,4.909999847412109,,49.628421783447266
20.5289249420166,14.902111053466797,19.139999389648438,13.34000015258789,62.869998931884766,13.430000305175781,6.86924409866333,28.42361068725586,4.146666049957275,33.66999816894531,,18.600000381469727,,36.0099983215332,10.710000038146973,15.300000190734863,14.601794242858887,25.030000686645508,15.57825756072998,16.489999771118164,24.030000686645508,20.959999084472656,6.375999927520752,,18.450000762939453,,17.81999969482422,6.242307186126709,6.309999942779541,,28.823999404907227,12.200668334960938,,10.1899995803833,12.399999618530273,20.29117202758789,9.102256774902344,15.210000038146973,10.0,7.449999809265137,,,11.609976768493652,6.349999904632568,19.0766658782959,23.850000381469727,19.780000686645508,7.818274021148682,3.5829999446868896,,10.836148262023926,13.15999984741211,4.199999809265137,,,10.880000114440918,9.614872932434082,9.069999694824219,5.269999980926514,,49.8523063659668
20.37465476989746,14.906814575195312,19.100000381469727,12.979999542236328,63.130001068115234,13.069999694824219,6.836933135986328,28.24305534362793,4.063333034515381,33.48500061035156,,18.059999465942383,,36.189998626708984,10.550000190734863,15.579999923706055,14.583073616027832,25.790000915527344,15.34868335723877,16.75,23.31999969482422,20.56999969482422,6.360000133514404,,18.350000381469727,,18.100000381469727,6.130768775939941,6.357999801635742,,28.75200080871582,12.234112739562988,,10.149999618530273,11.920000076293945,20.398487091064453,9.237152099609375,15.25,9.649999618530273,7.317500114440918,,,11.625094413757324,6.539999961853027,18.766666412353516,23.770000457763672,19.850000381469727,7.7273640632629395,3.549999952316284,,10.84600830078125,13.130000114440918,4.199999809265137,,,10.279999732971191,9.473217964172363,9.289999961853027,5.480000019073486,,49.8523063659668
