ITUB4.SA,VALE3.SA,BBDC4.SA,PETR4.SA,PETR3.SA,B3SA3.SA,ABEV3.SA,BBAS3.SA,ITSA4.SA,JBSS3.SA,LREN3.SA,BBDC3.SA,IRBR3.SA,BRFS3.SA,RAIL3.SA,RENT3.SA,SUZB3.SA,BBSE3.SA,VIVT4.SA,UGPA3.SA,MGLU3.SA,RADL3.SA,VBBR3.SA,EQTL3.SA,GNDI3.SA,CCRO3.SA,WEGE3.SA,SBSP3.SA,COGN3.SA,SANB11.SA,AZUL4.SA,CMIG4.SA,LAME4.SA,HYPE3.SA,GGBR4.SA,EMBR3.SA,PCAR4.SA,BRML3.SA,NATU3.SA,EGIE3.SA,BPAC11.SA,ELET3.SA,YDUQ3.SA,KLBN11.SA,TIMS3.SA,ELET6.SA,AMER3.SA,VIIA3.SA,CIEL3.SA,CSNA3.SA,BRKM5.SA,CSAN3.SA,CVCB3.SA,FLRY3.SA,MULT3.SA,QUAL3.SA,BRAP4.SA,CYRE3.SA,TAEE11.SA,ENBR3.SA,MRVE3.SA,MRFG3.SA,GOLL4.SA,IGTA3.SA,USIM5.SA,GOAU4.SA,ECOR3.SA,SMLS3.SA
29.079999923706055,60.400001525878906,17.74981117248535,21.0,24.18000030517578,7.650000095367432,18.43000030517578,28.209999084472656,8.6493501663208,9.289999961853027,27.994949340820312,15.990483283996582,506.0611267089844,21.8700008392334,14.850000381469727,20.819047927856445,48.0,23.8700008392334,,18.649999618530273,3.8321869373321533,14.260000228881836,19.299999237060547,11.39799976348877,,8.520000457763672,9.744999885559082,23.329999923706055,11.300000190734863,35.060001373291016,22.920000076293945,4.645222187042236,,28.25,16.68000030517578,19.229999542236328,,9.609999656677246,,28.256000518798828,5.142499923706055,14.844359397888184,24.440000534057617,19.649999618530273,11.600000381469727,17.780000686645508,27.299989700317383,4.28000020980835,12.149999618530273,9.3100004196167,56.79999923706055,7.9375,42.84000015258789,21.049999237060547,18.3799991607666,11.640000343322754,33.342185974121094,10.529999732971191,19.729999542236328,12.640000343322754,11.000129699707031,5.199999809265137,10.609999656677246,,8.020000457763672,7.800000190734863,7.110000133514404,
30.200000762939453,61.20000076293945,18.782869338989258,22.81999969482422,25.809999465942383,7.966666221618652,18.25,31.43000030517578,9.004328727722168,9.3100004196167,29.807767868041992,17.092411041259766,515.6456298828125,22.200000762939453,14.850000381469727,21.80952262878418,46.20000076293945,24.899999618530273,,19.575000762939453,4.074999809265137,14.501999855041504,20.299999237060547,11.859999656677246,,9.1899995803833,9.869999885559082,25.139999389648438,11.680000305175781,37.66999816894531,23.799999237060547,4.983177185058594,,28.8700008392334,16.809999465942383,19.8700008392334,,10.029999732971191,,28.81599998474121,5.099999904632568,16.543712615966797,25.399999618530273,19.899999618530273,11.75,19.549999237060547,29.257047653198242,4.440000057220459,12.800000190734863,9.680000305175781,56.79999923706055,8.149999618530273,45.900001525878906,21.829999923706055,19.299999237060547,12.90999984741211,33.39530563354492,11.010000228881836,20.350000381469727,13.15999984741211,11.791048049926758,5.28000020980835,11.489999771118164,,8.5,7.96999979019165,7.409999847412109,
31.566665649414062,59.95000076293945,19.59679412841797,23.790000915527344,26.479999542236328,8.09000015258789,18.1299991607666,34.279998779296875,9.298701286315918,9.279999732971191,30.7547607421875,17.91885757446289,498.0101623535156,22.399999618530273,15.199999809265137,23.380952835083008,44.13999938964844,25.68000030517578,,20.03499984741211,4.354374885559082,14.800000190734863,21.84000015258789,11.826000213623047,,9.350000381469727,9.71500015258789,25.610000610351562,11.899999618530273,39.58000183105469,24.5,5.228359222412109,,30.25,16.489999771118164,20.350000381469727,,10.449999809265137,,29.143999099731445,5.105000019073486,17.623302459716797,25.600000381469727,19.290000915527344,12.15999984741211,21.239999771118164,29.929170608520508,4.78000020980835,12.279999732971191,9.609999656677246,56.36000061035156,8.307499885559082,47.0,22.420000076293945,19.75,12.600000381469727,32.4833984375,11.899999618530273,20.989999771118164,13.670000076293945,12.327418327331543,5.230000019073486,12.25,,8.880000114440918,7.96999979019165,7.550000190734863,
31.600000381469727,58.79999923706055,19.69070816040039,24.020000457763672,26.760000228881836,8.156665802001953,17.8700008392334,35.119998931884766,9.229436874389648,8.84000015258789,30.881027221679688,17.76859474182129,490.7259216308594,21.829999923706055,14.970000267028809,22.80952262878418,41.709999084472656,25.690000534057617,,19.934999465942383,4.359375,14.831999778747559,22.110000610351562,11.800000190734863,,9.399999618530273,9.555000305175781,25.899999618530273,12.25,39.959999084472656,24.799999237060547,5.334384918212891,,30.110000610351562,16.209999084472656,19.8700008392334,,10.680000305175781,,29.239999771118164,4.997499942779541,18.492971420288086,25.799999237060547,18.829999923706055,11.9399995803833,22.270000457763672,29.158206939697266,4.730000019073486,12.300000190734863,9.609999656677246,55.5,8.337499618530273,45.79999923706055,21.8799991607666,19.760000228881836,12.399999618530273,31.934484481811523,12.039999961853027,21.450000762939453,13.819999694824219,12.19105339050293,5.179999828338623,12.149999618530273,,9.079999923706055,7.869999885559082,7.679999828338623,
31.49333381652832,57.4900016784668,19.396442413330078,23.959999084472656,26.65999984741211,8.083333015441895,17.649999618530273,35.7400016784668,9.116883277893066,8.649999618530273,30.57438087463379,17.24893569946289,490.265869140625,22.489999771118164,14.899999618530273,23.0,41.880001068115234,25.75,,19.875,4.4375,14.550000190734863,22.549999237060547,11.767999649047852,,9.3100004196167,9.550000190734863,26.34000015258789,11.859999656677246,39.4900016784668,24.989999771118164,5.731977939605713,,30.100000381469727,15.800000190734863,19.18000030517578,,10.489999771118164,,28.871999740600586,4.949999809265137,18.742876052856445,25.700000762939453,18.329999923706055,11.699999809265137,22.610000610351562,30.097200393676758,4.670000076293945,12.300000190734863,9.380000114440918,55.0,8.712499618530273,48.0,21.68000030517578,19.799999237060547,13.0,30.96945571899414,11.989999771118164,21.3700008392334,13.8100004196167,12.072869300842285,5.170000076293945,12.399999618530273,,9.020000457763672,7.710000038146973,7.679999828338623,
33.36666488647461,57.04999923706055,20.711244583129883,26.600000381469727,29.190000534057617,8.233332633972168,18.0,39.20000076293945,9.670994758605957,8.880000114440918,32.46836853027344,18.156774520874023,471.9403381347656,22.469999313354492,15.069999694824219,24.11428451538086,41.70000076293945,26.850000381469727,,21.209999084472656,4.64187479019165,14.850000381469727,26.31999969482422,12.031999588012695,,10.15999984741211,9.524999618530273,28.1200008392334,12.199999809265137,41.689998626708984,28.040000915527344,6.752469062805176,,30.239999771118164,15.609999656677246,19.200000762939453,,11.199999809265137,,29.239999771118164,5.190000057220459,21.99164390563965,25.530000686645508,18.110000610351562,12.09000015258789,26.75,32.459510803222656,4.960000038146973,12.800000190734863,9.699999809265137,55.369998931884766,8.942500114440918,51.02000045776367,22.510000228881836,21.170000076293945,13.75,30.63302230834961,13.390000343322754,21.600000381469727,13.90999984741211,13.063790321350098,5.400000095367432,14.720000267028809,,10.0,7.760000228881836,8.300000190734863,
33.19333267211914,57.70000076293945,20.786376953125,26.81999969482422,29.729999542236328,8.366665840148926,17.479999542236328,39.0,9.593072891235352,8.899999618530273,32.31504821777344,18.18181800842285,464.6561279296875,21.649999618530273,15.609999656677246,23.580951690673828,41.0,27.530000686645508,,21.834999084472656,4.693749904632568,14.656000137329102,25.0,12.144000053405762,,10.029999732971191,9.149999618530273,28.5,11.859999656677246,41.70000076293945,28.450000762939453,6.898253917694092,,30.899999618530273,16.030000686645508,18.700000762939453,,11.5,,29.384000778198242,5.25,22.801334381103516,24.25,17.850000381469727,11.819999694824219,26.790000915527344,32.29147720336914,5.079999923706055,12.329999923706055,9.899999618530273,54.36000061035156,8.7524995803833,52.349998474121094,22.549999237060547,21.610000610351562,13.550000190734863,30.65073013305664,13.5,21.649999618530273,14.0,12.527420043945312,5.809999942779541,14.829999923706055,,10.010000228881836,7.840000152587891,8.329999923706055,
32.04666519165039,55.88999938964844,20.110191345214844,26.049999237060547,28.6299991607666,8.266666412353516,17.200000762939453,37.349998474121094,9.359307289123535,8.920000076293945,31.566469192504883,17.405458450317383,472.5537414550781,20.540000915527344,15.300000190734863,23.009523391723633,41.90999984741211,27.200000762939453,,20.735000610351562,4.4890618324279785,14.354000091552734,23.899999618530273,11.87399959564209,,9.930000305175781,9.199999809265137,27.350000381469727,11.34000015258789,39.7400016784668,26.530000686645508,6.547046184539795,,30.600000381469727,15.550000190734863,18.959999084472656,,11.380000114440918,,28.895999908447266,5.21999979019165,20.702133178710938,23.25,17.940000534057617,11.640000343322754,24.549999237060547,30.76932144165039,4.809999942779541,12.399999618530273,9.329999923706055,53.54999923706055,8.662500381469727,50.84000015258789,21.709999084472656,20.899999618530273,13.25,29.570606231689453,12.899999618530273,21.200000762939453,13.670000076293945,11.609228134155273,5.690000057220459,13.300000190734863,,9.270000457763672,7.53000020980835,8.020000457763672,
31.66666603088379,56.47999954223633,19.991233825683594,25.290000915527344,28.100000381469727,7.940000057220459,16.989999771118164,37.20000076293945,9.307358741760254,9.140000343322754,31.07042694091797,17.505634307861328,484.7452087402344,20.440000534057617,15.359999656677246,22.95237922668457,41.540000915527344,27.149999618530273,,20.110000610351562,4.709374904632568,13.496000289916992,24.25,11.76200008392334,,9.890000343322754,9.21500015258789,27.18000030517578,11.149999618530273,39.33000183105469,26.350000381469727,6.725963115692139,,30.920000076293945,15.739999771118164,18.450000762939453,,11.319999694824219,,28.351999282836914,5.15749979019165,19.712509155273438,22.65999984741211,17.670000076293945,11.430000305175781,23.989999771118164,30.66059684753418,4.75,12.430000305175781,9.140000343322754,52.31999969482422,8.557499885559082,50.0,21.600000381469727,20.649999618530273,13.359999656677246,29.659141540527344,12.600000381469727,21.200000762939453,13.609999656677246,11.11831283569336,5.570000171661377,13.539999961853027,,9.3100004196167,7.440000057220459,8.130000114440918,
32.03333282470703,57.66999816894531,20.09766960144043,25.770000457763672,28.75,8.036665916442871,16.93000030517578,37.720001220703125,9.367964744567871,9.220000267028809,31.07042694091797,17.68720245361328,485.3586120605469,20.149999618530273,15.199999809265137,22.857141494750977,41.0,27.0,,19.364999771118164,4.6875,13.498000144958496,23.8700008392334,11.739999771118164,,9.869999885559082,9.149999618530273,27.459999084472656,10.699999809265137,39.72999954223633,26.780000686645508,6.825362205505371,,30.469999313354492,15.529999732971191,18.209999084472656,,11.069999694824219,,28.743999481201172,5.112500190734863,20.942041397094727,21.31999969482422,18.200000762939453,11.289999961853027,25.299999237060547,30.324535369873047,4.739999771118164,12.300000190734863,9.34000015258789,51.599998474121094,8.387499809265137,49.77000045776367,20.790000915527344,20.34000015258789,13.5,29.800796508789062,12.510000228881836,21.90999984741211,13.920000076293945,11.554681777954102,5.630000114440918,14.09000015258789,,9.670000076293945,7.559999942779541,7.96999979019165,
