seq,ticker,ponderacao,acoes,preco
2,VALE3.SA,10.849165,321.87963970,58.8600
3,ITUB4.SA,6.135171,475.74661140,22.5200
4,B3SA3.SA,5.310775,170.07474800,54.5300
5,PETR4.SA,5.190658,456.64570370,19.8500
6,BBDC4.SA,4.758772,426.16496340,19.5000
7,PETR3.SA,4.009124,350.93287840,19.9500
8,MGLU3.SA,3.519387,66.87580010,91.9000
9,ABEV3.SA,3.167319,435.51748390,12.7000
10,WEGE3.SA,2.584875,67.47313150,66.9000
11,ITSA4.SA,2.301347,451.55381710,8.9000
12,GNDI3.SA,2.192942,58.11992370,65.8900
13,BBAS3.SA,2.189004,128.31972210,29.7900
14,NTCO3.SA,2.002337,71.97755310,48.5800
15,RENT3.SA,1.944789,59.45683000,57.1200
16,SUZB3.SA,1.930307,72.49212410,46.5000
17,JBSS3.SA,1.842570,156.88295150,20.5100
18,LREN3.SA,1.831883,78.54179140,40.7300
19,VIIA3.SA,1.631932,159.47589410,17.8700
20,RAIL3.SA,1.507560,134.80001440,19.5300
21,RADL3.SA,1.478086,107.14706600,24.0900
22,LAME4.SA,1.402487,83.50338800,29.3300
23,VBBR3.SA,1.400916,116.49581260,21.0000
24,BBDC3.SA,1.295219,125.30939070,18.0500
25,EQTL3.SA,1.240950,101.02860850,21.4500
26,UGPA3.SA,1.216413,108.82254140,19.5200
27,GGBR4.SA,1.183363,99.59036430,20.7500
28,AMER3.SA,1.063883,20.82094270,89.2300
29,VIVT4.SA,1.034089,41.51318680,43.5000
30,BPAC11.SA,1.007353,23.60937940,74.5100
31,BBSE3.SA,0.946444,67.15848410,24.6100
32,SBSP3.SA,0.916830,33.99991110,47.0900
33,KLBN11.SA,0.888518,63.79993100,24.3200
34,BRFS3.SA,0.860432,81.17598000,18.5100
35,CCRO3.SA,0.818422,111.56955560,12.8100
36,HAPV3.SA,0.783022,21.70456540,63.0000
37,TOTS3.SA,0.756521,48.02284100,27.5100
38,HYPE3.SA,0.711649,41.01479680,30.3000
39,SULA11.SA,0.657990,27.95728520,41.1000
40,PCAR3.SA,0.630811,15.68311740,70.2400
41,ELET3.SA,0.620379,35.80184080,30.2600
42,CSNA3.SA,0.608447,64.23987900,16.5400
43,TIMS3.SA,0.604998,80.83437260,13.0700
44,EGIE3.SA,0.596020,25.47922790,40.8500
45,ENGI11.SA,0.589271,25.06797090,41.0500
46,COGN3.SA,0.584147,184.79948740,5.5200
47,IRBR3.SA,0.582282,125.53523710,8.1000
48,BRAP4.SA,0.570356,22.20756640,44.8500
49,CMIG4.SA,0.570297,96.97230920,10.2700
50,SANB11.SA,0.568238,35.56666910,27.9000
51,QUAL3.SA,0.532316,28.34089280,32.8000
52,CSAN3.SA,0.520797,12.93140420,70.3300
53,YDUQ3.SA,0.481794,30.04835750,28.0000
54,AZUL4.SA,0.481099,32.69031730,25.7000
55,CRFB3.SA,0.464827,39.17587260,20.7200
56,FLRY3.SA,0.462931,30.38004300,26.6100
57,BRML3.SA,0.427591,84.37286840,8.8500
58,ELET6.SA,0.426355,24.00195480,31.0200
59,CYRE3.SA,0.391231,28.11540980,24.3000
60,GOAU4.SA,0.371818,69.36999180,9.3600
61,TAEE11.SA,0.351953,21.85682740,28.1200
62,MULT3.SA,0.325789,27.68485670,20.5500
63,BRKM5.SA,0.323092,26.46405750,21.3200
64,MRFG3.SA,0.321065,36.88646340,15.2000
65,CPFE3.SA,0.298615,18.77142490,27.7800
66,ENBR3.SA,0.297017,29.40361560,17.6400
67,USIM5.SA,0.296272,51.37815760,10.0700
68,MRVE3.SA,0.286256,29.87964410,16.7300
69,PRIO3.SA,0.274998,13.51609000,35.5300
70,EMBR3.SA,0.272747,73.61609050,6.4700
71,CIEL3.SA,0.252845,111.21966380,3.9700
72,EZTC3.SA,0.202776,9.57562170,36.9800
73,BEEF3.SA,0.171677,25.95657380,11.5500
74,IGTA3.SA,0.157808,8.57969190,32.1200
75,GOLL4.SA,0.141163,13.77163670,17.9000
76,CVCB3.SA,0.134209,14.91839750,15.7100
77,HGTX3.SA,0.124648,12.61864080,17.2500
78,ECOR3.SA,0.118561,17.11092760,12.1000
