seq,ticker,ponderacao,acoes,preco
2,VALE3.SA,15.805521,454.72963980,72.0400
3,PETR4.SA,6.565624,456.64412480,29.8000
4,ITUB4.SA,6.498339,479.99070510,28.0600
5,BBDC4.SA,4.935634,515.60773260,19.8400
6,PETR3.SA,4.284421,268.43848230,33.0800
7,B3SA3.SA,3.715967,590.17313020,13.0500
8,ABEV3.SA,3.289017,438.66525060,15.5400
9,ELET3.SA,3.001406,144.76963330,42.9700
10,BBAS3.SA,2.640463,142.07310690,38.5200
11,RENT3.SA,2.634990,89.39782410,61.0900
12,WEGE3.SA,2.297506,148.15930240,32.1400
13,ITSA4.SA,2.223371,473.60602820,9.7300
14,HAPV3.SA,1.627047,445.47409390,7.5700
15,SUZB3.SA,1.560524,72.68230010,44.5000
16,BPAC11.SA,1.466937,122.54704240,24.8100
17,EQTL3.SA,1.428333,110.05134850,26.9000
18,JBSS3.SA,1.375600,113.49864830,25.1200
19,RDOR3.SA,1.336501,93.20485930,29.7200
20,RADL3.SA,1.311710,119.60693860,22.7300
21,GGBR4.SA,1.311205,111.19562420,24.4400
22,LREN3.SA,1.304096,97.05157790,27.8500
23,BBDC3.SA,1.187385,150.88835860,16.3100
24,PRIO3.SA,1.114634,83.91591300,27.5300
25,RAIL3.SA,1.083901,121.56426130,18.4800
26,ENEV3.SA,1.065807,156.11350090,14.1500
27,CSAN3.SA,0.982001,117.10636980,17.3800
28,VBBR3.SA,0.927532,111.44429760,17.2500
29,BBSE3.SA,0.861068,67.16825360,26.5700
30,HYPE3.SA,0.855793,40.08424800,44.2500
31,VIVT3.SA,0.838973,42.94555520,40.4900
32,SBSP3.SA,0.813666,34.00029990,49.6000
33,CMIG4.SA,0.748668,144.20989740,10.7600
34,TOTS3.SA,0.736156,51.98519550,29.3500
35,CCRO3.SA,0.674486,111.56814350,12.5300
36,ASAI3.SA,0.673976,79.59498010,17.5500
37,BRFS3.SA,0.668986,107.65126100,12.8800
38,MGLU3.SA,0.621262,287.41885730,4.4800
39,UGPA3.SA,0.615693,108.78876810,11.7300
40,KLBN11.SA,0.614658,70.18997560,18.1500
41,ELET6.SA,0.609827,27.99413930,45.1500
42,NTCO3.SA,0.594115,83.59610110,14.7300
43,SANB11.SA,0.520609,35.56428480,30.3400
44,ENGI11.SA,0.502203,24.84776890,41.8900
45,CPLE6.SA,0.496327,156.33655060,6.5800
46,CRFB3.SA,0.493127,52.87431560,19.3300
47,AMER3.SA,0.488347,59.60862910,16.9800
48,EGIE3.SA,0.474188,25.52084610,38.5100
49,TIMS3.SA,0.471188,80.84361950,12.0800
50,EMBR3.SA,0.412931,73.46322050,11.6500
51,TAEE11.SA,0.410749,21.85682340,38.9500
52,BRML3.SA,0.376849,82.82738840,9.4300
53,CSNA3.SA,0.361907,58.96951750,12.7200
54,GOAU4.SA,0.350551,68.60775780,10.5900
55,RRRP3.SA,0.344404,20.04538630,35.6100
56,BRKM5.SA,0.335768,26.52124860,26.2400
57,SOMA3.SA,0.315380,49.07362220,13.3200
58,MULT3.SA,0.312701,26.81453280,24.1700
59,CPFE3.SA,0.305790,18.77325380,33.7600
60,SULA11.SA,0.302341,28.40596010,22.0600
61,BRAP4.SA,0.287770,25.10250580,23.7600
62,ARZZ3.SA,0.286587,6.03580290,98.4100
63,CIEL3.SA,0.285397,109.54012580,5.4000
64,ENBR3.SA,0.259132,24.60281840,21.8300
65,FLRY3.SA,0.258795,30.33836090,17.6800
66,COGN3.SA,0.258224,182.04054220,2.9400
67,RAIZ4.SA,0.251975,124.64120320,4.1900
68,VIIA3.SA,0.242716,157.69756420,3.1900
69,CYRE3.SA,0.242714,27.41423010,18.3500
70,AZUL4.SA,0.232699,32.76462960,14.7200
71,ALPA4.SA,0.208087,20.27659940,21.2700
72,YDUQ3.SA,0.206378,29.60155110,14.4500
73,SLCE3.SA,0.201080,9.62720200,43.2900
74,USIM5.SA,0.186861,51.50145620,7.5200
75,LWSA3.SA,0.182147,41.94668600,9.0000
76,MRVE3.SA,0.178836,29.84369550,12.4200
77,CMIN3.SA,0.177357,111.05505960,3.3100
78,IGTI11.SA,0.176802,17.99813680,20.3600
79,SMTO3.SA,0.176438,14.32942100,25.5200
80,PETZ3.SA,0.164709,33.56723290,10.1700
81,BEEF3.SA,0.157557,26.04097100,12.5400
82,MRFG3.SA,0.150828,31.67245840,9.8700
83,PCAR3.SA,0.147711,15.78896270,19.3900
84,IRBR3.SA,0.130307,245.52372140,1.1000
85,DXCO3.SA,0.123997,27.48634240,9.3500
86,BPAN4.SA,0.115025,34.15497030,6.9800
87,QUAL3.SA,0.109072,27.70392770,8.1600
88,EZTC3.SA,0.096657,9.43183390,21.2400
89,CVCB3.SA,0.084017,27.59676760,6.3100
90,GOLL4.SA,0.081888,19.00592750,8.9300
91,ECOR3.SA,0.080009,33.36576150,4.9700
92,POSI3.SA,0.044195,7.35730280,12.4500
93,CASH3.SA,0.035873,65.79632560,1.1300
