seq,ticker,ponderacao,acoes,preco
2,VALE3.SA,13.115808,283.73201410,97.3900
3,ITUB4.SA,6.119520,475.74661140,27.1000
4,BBDC4.SA,5.216767,426.16496340,25.7900
5,PETR4.SA,5.178069,456.64570370,23.8900
6,B3SA3.SA,4.913297,193.08779440,53.6100
7,PETR3.SA,3.708647,330.79828400,23.6200
8,ABEV3.SA,3.100767,435.51748390,15.0000
9,WEGE3.SA,2.640498,74.11480010,75.0600
10,MGLU3.SA,2.589373,266.89555120,20.4400
11,SUZB3.SA,2.382775,72.49212410,69.2500
12,GNDI3.SA,2.286463,58.81767710,81.9000
13,JBSS3.SA,2.168414,150.03150480,30.4500
14,ITSA4.SA,2.164728,451.55381710,10.1000
15,NTCO3.SA,1.888308,84.10839220,47.3000
16,BBAS3.SA,1.824159,128.31972210,29.9500
17,RENT3.SA,1.687274,59.20693080,60.0400
18,LREN3.SA,1.600047,78.54179140,42.9200
19,GGBR4.SA,1.388806,99.59036430,29.3800
20,RADL3.SA,1.246859,107.26451500,24.4900
21,BBDC3.SA,1.236119,114.72602460,22.7000
22,VBBR3.SA,1.230305,116.49581260,22.2500
23,EQTL3.SA,1.198348,101.02860850,24.9900
24,BPAC11.SA,1.184204,26.38715720,94.5500
25,RAIL3.SA,1.165572,121.80811710,20.1600
26,CSNA3.SA,1.122083,64.23987900,36.8000
27,UGPA3.SA,1.072702,108.70564900,20.7900
28,KLBN11.SA,1.050144,78.87575190,28.0500
29,BRFS3.SA,0.945913,81.17598000,24.5500
30,VIVT3.SA,0.930685,44.42198520,44.1400
31,VIIA3.SA,0.927453,159.50835940,12.2500
32,LAME4.SA,0.896635,84.33259740,22.4000
33,ENEV3.SA,0.885877,115.13786800,16.2100
34,HAPV3.SA,0.763916,108.52564900,14.8300
35,BBSE3.SA,0.762490,67.15848410,23.9200
36,PRIO3.SA,0.711928,16.48609000,90.9800
37,CSAN3.SA,0.706492,16.03072730,92.8500
38,CCRO3.SA,0.683666,111.56955560,12.9100
39,BRAP4.SA,0.668708,22.20756640,63.4400
40,SBSP3.SA,0.661659,33.99991110,41.0000
41,TOTS3.SA,0.654871,48.02284100,28.7300
42,SANB11.SA,0.650789,35.56666910,38.5500
43,HYPE3.SA,0.619070,41.01479680,31.8000
44,AZUL4.SA,0.590154,32.72832070,37.9900
45,AMER3.SA,0.589010,20.15492950,61.5700
46,CMIG4.SA,0.587775,96.97230920,12.7700
47,ELET3.SA,0.571145,35.80184080,33.6100
48,ASAI3.SA,0.561612,15.76359350,75.0600
49,ENGI11.SA,0.526151,25.06797090,44.2200
50,BRKM5.SA,0.509480,26.46405750,40.5600
51,EGIE3.SA,0.501646,25.47922790,41.4800
52,EMBR3.SA,0.485679,73.61431050,13.9000
53,TIMS3.SA,0.478532,80.84859850,12.4700
54,SULA11.SA,0.469869,29.64751330,33.3900
55,GOAU4.SA,0.426067,69.36999180,12.9400
56,CRFB3.SA,0.424147,39.17587260,22.8100
57,USIM5.SA,0.405020,51.37299470,16.6100
58,BRML3.SA,0.402077,84.37286840,10.0400
59,ELET6.SA,0.393848,24.29771270,34.1500
60,TAEE11.SA,0.393083,21.85682740,37.8900
61,QUAL3.SA,0.390323,28.34677890,29.0100
62,CPLE6.SA,0.387300,128.29754300,6.3600
63,YDUQ3.SA,0.379951,30.04835750,26.6400
64,LCAM3.SA,0.377269,32.37630770,24.5500
65,FLRY3.SA,0.370446,30.38004300,25.6900
66,IRBR3.SA,0.360483,125.53275160,6.0500
67,COGN3.SA,0.336825,184.79948740,3.8400
68,CYRE3.SA,0.322014,28.11540980,24.1300
69,MULT3.SA,0.317871,27.68485670,24.1900
70,MRFG3.SA,0.312870,36.88646340,17.8700
71,CPFE3.SA,0.267473,18.77142490,30.0200
72,MRVE3.SA,0.251595,29.87964410,17.7400
73,PCAR3.SA,0.241674,15.76359350,32.3000
74,ENBR3.SA,0.234379,25.04034410,19.7200
75,CIEL3.SA,0.191101,111.21966380,3.6200
76,CVCB3.SA,0.157930,17.27568180,19.2600
77,IGTA3.SA,0.151002,8.57969190,37.0800
78,EZTC3.SA,0.143624,9.57562170,31.6000
79,GOLL4.SA,0.141725,13.77257880,21.6800
80,BEEF3.SA,0.115870,23.93316760,10.2000
81,HGTX3.SA,0.095052,12.61864080,15.8700
82,ECOR3.SA,0.094049,17.11092760,11.5800
83,JHSF3.SA,0.093674,28.89526900,6.8300
