seq,ticker,ponderacao,acoes,preco
2,VALE3.SA,16.095512,339.48045840,89.4000
3,ITUB4.SA,6.236161,480.14899400,24.4900
4,PETR4.SA,5.550665,456.64412480,22.9200
5,PETR3.SA,4.836690,348.49137470,26.1700
6,BBDC4.SA,4.033332,515.60773260,14.7500
7,ELET3.SA,4.028050,187.12135000,40.5900
8,B3SA3.SA,3.834141,590.17313020,12.2500
9,ABEV3.SA,3.301172,438.66525060,14.1900
10,WEGE3.SA,2.664311,131.85830170,38.1000
11,BBAS3.SA,2.506032,142.07310690,33.2600
12,ITSA4.SA,2.320149,523.30762950,8.3600
13,RENT3.SA,2.102453,77.35350980,51.2500
14,SUZB3.SA,1.887991,72.68230010,48.9800
15,GGBR4.SA,1.707852,109.31126290,29.4600
16,RDOR3.SA,1.651139,114.96943400,27.0800
17,PRIO3.SA,1.635959,83.91591300,36.7600
18,EQTL3.SA,1.528563,110.05134850,26.1900
19,RADL3.SA,1.475430,119.60693860,23.2600
20,BPAC11.SA,1.467504,122.54704240,22.5800
21,JBSS3.SA,1.291132,113.49864830,21.4500
22,BBSE3.SA,1.189414,67.16825360,33.3900
23,RAIL3.SA,1.138542,121.56426130,17.6600
24,HAPV3.SA,1.096507,445.59577620,4.6400
25,BBDC3.SA,1.055487,150.88835860,13.1900
26,CSAN3.SA,1.009842,117.10636980,16.2600
27,LREN3.SA,0.989805,96.55288070,19.3300
28,SBSP3.SA,0.963791,34.00029990,53.4500
29,ASAI3.SA,0.942448,93.57931990,18.9900
30,ENEV3.SA,0.936643,157.68984900,11.2000
31,HYPE3.SA,0.929621,40.08424800,43.7300
32,VBBR3.SA,0.868816,111.44429760,14.7000
33,CMIG4.SA,0.834396,144.20989740,10.9100
34,VIVT3.SA,0.816524,42.30917120,36.3900
35,KLBN11.SA,0.746349,70.18997560,20.0500
36,TOTS3.SA,0.715012,52.07491100,25.8900
37,UGPA3.SA,0.689453,108.78876810,11.9500
38,CPLE6.SA,0.633441,156.33655060,7.6400
39,ELET6.SA,0.614006,27.55268140,42.0200
40,ENGI11.SA,0.565192,24.84776890,42.8900
41,EMBR3.SA,0.557133,73.46322050,14.3000
42,CCRO3.SA,0.544879,99.84626350,10.2900
43,SANB11.SA,0.523584,35.56428480,27.7600
44,TIMS3.SA,0.513636,80.84361950,11.9800
45,EGIE3.SA,0.505114,25.52084610,37.3200
46,NTCO3.SA,0.471716,83.59610110,10.6400
47,GOAU4.SA,0.461759,66.71944780,13.0500
48,CSNA3.SA,0.460350,58.96951750,14.7200
49,BRFS3.SA,0.454449,107.65126100,7.9600
50,TAEE11.SA,0.398052,21.85682340,34.3400
51,CRFB3.SA,0.397344,52.87431560,14.1700
52,BRAP4.SA,0.396442,25.10166480,29.7800
53,MGLU3.SA,0.394791,287.41885730,2.5900
54,RRRP3.SA,0.378747,19.61444210,36.4100
55,BRML3.SA,0.352730,82.82738840,8.0300
56,BRKM5.SA,0.326594,26.52124860,23.2200
57,CPFE3.SA,0.320489,18.77325380,32.1900
58,CIEL3.SA,0.296276,109.54012580,5.1000
59,MULT3.SA,0.294512,26.81453280,20.7100
60,AMER3.SA,0.292686,61.11692490,9.0300
61,FLRY3.SA,0.282007,35.19192390,15.1100
62,ENBR3.SA,0.266958,24.60281840,20.4600
63,SOMA3.SA,0.240737,49.07362220,9.2500
64,ARZZ3.SA,0.238833,6.07583260,74.1200
65,CMIN3.SA,0.237943,111.05505960,4.0400
66,SLCE3.SA,0.234554,9.62720200,45.9400
67,RAIZ4.SA,0.225379,120.04885320,3.5400
68,IGTI11.SA,0.199918,21.35768310,17.6500
69,COGN3.SA,0.197913,182.04054220,2.0500
70,VIIA3.SA,0.193192,157.69756420,2.3100
71,USIM5.SA,0.192012,51.50145620,7.0300
72,CYRE3.SA,0.186824,27.41423010,12.8500
73,AZUL4.SA,0.178976,32.76462960,10.3000
74,SMTO3.SA,0.178587,14.32942100,23.5000
75,BEEF3.SA,0.175347,26.03409820,12.7000
76,ALPA4.SA,0.154097,20.27659940,14.3300
77,YDUQ3.SA,0.153691,29.60155110,9.7900
78,LWSA3.SA,0.142819,41.94668600,6.4200
79,MRFG3.SA,0.140424,31.67245840,8.3600
80,PCAR3.SA,0.134897,15.78896270,16.1100
81,MRVE3.SA,0.118987,30.56687490,7.3400
82,PETZ3.SA,0.105048,33.57245690,5.9000
83,BPAN4.SA,0.103972,34.15497030,5.7400
84,DXCO3.SA,0.096646,27.48634240,6.6300
85,QUAL3.SA,0.081157,27.72268470,5.5200
86,ECOR3.SA,0.069731,31.01036850,4.2400
87,GOLL4.SA,0.069347,19.00592750,6.8800
88,EZTC3.SA,0.064426,9.43183390,12.8800
89,CVCB3.SA,0.062201,27.59676760,4.2500
90,CASH3.SA,0.042572,65.79709410,1.2200
