seq,ticker,ponderacao,acoes,preco
2,ITUB4.SA,11.096255,288.27118040,31.4100
3,BBDC4.SA,8.223566,243.13294220,27.6000
4,ABEV3.SA,7.245834,313.50133670,18.8600
5,PETR4.SA,4.136634,403.76952820,8.3600
6,BRFS3.SA,3.871235,61.21988410,51.6000
7,PETR3.SA,3.495449,270.87398690,10.5300
8,ITSA4.SA,3.459193,345.49794240,8.1700
9,CIEL3.SA,3.428157,77.25470170,36.2100
10,B3SA3.SA,3.393179,177.83240290,15.5700
11,UGPA3.SA,2.963985,34.79536820,69.5100
12,VALE5.SA,2.830509,194.58376890,11.8700
13,VALE3.SA,2.792548,146.92019550,15.5100
14,VIVT4.SA,2.595126,47.35321170,44.7200
15,BBSE3.SA,2.435180,67.49723110,29.4400
16,COGN3.SA,2.341740,161.52757450,11.8300
17,JBSS3.SA,2.208286,167.62528040,10.7500
18,BBDC3.SA,2.108040,55.99514620,30.7200
19,BBAS3.SA,2.034296,83.96535560,19.7700
20,LREN3.SA,1.644166,63.28524700,21.2000
21,CCRO3.SA,1.512462,86.12534360,14.3300
22,EMBR3.SA,1.467157,51.11901970,23.4200
23,HYPE3.SA,1.287966,37.29546640,28.1800
24,RADL3.SA,1.285109,19.80463650,52.9500
25,CTIP3.SA,1.266730,25.21730970,40.9900
26,KLBN11.SA,1.185068,49.84645340,19.4000
27,LAME4.SA,1.047112,50.98139430,16.7600
28,SBSP3.SA,0.997868,33.99855840,23.9500
29,WEGE3.SA,0.997333,56.83161520,14.3200
30,EQTL3.SA,0.982130,19.77844030,40.5200
31,PCAR4.SA,0.966953,15.58747550,50.6200
32,EGIE3.SA,0.929553,20.38484270,37.2100
33,BRML3.SA,0.856129,46.26524890,15.1000
34,FIBR3.SA,0.833649,22.23076800,30.6000
35,TIMS3.SA,0.795374,80.82551420,8.0300
36,BRKM5.SA,0.783701,26.45856220,24.1700
37,CPFE3.SA,0.743238,30.84872390,19.6600
38,CMIG4.SA,0.736993,75.83735180,7.9300
39,SANB11.SA,0.735243,34.84096900,17.2200
40,GGBR4.SA,0.735022,85.68305670,7.0000
41,CSAN3.SA,0.593866,15.21499310,31.8500
42,NATU3.SA,0.593091,17.19847960,28.1400
43,SUZB5.SA,0.591506,38.86245630,12.4200
44,RENT3.SA,0.555556,14.96159200,30.3000
45,CSNA3.SA,0.534167,60.12180040,7.2500
46,MULT3.SA,0.528468,7.86633210,54.8200
47,QUAL3.SA,0.408277,21.63349320,15.4000
48,YDUQ3.SA,0.397273,26.90265520,12.0500
49,MRVE3.SA,0.396672,26.97384730,12.0000
50,CPLE6.SA,0.366851,10.09619980,29.6500
51,CESP6.SA,0.366827,18.19649450,16.4500
52,ENBR3.SA,0.356314,23.26028760,12.5000
53,CYRE3.SA,0.309355,24.15644760,10.4500
54,MRFG3.SA,0.281731,33.95767420,6.7700
55,SMLS3.SA,0.275800,5.65037530,39.8300
56,HGTX3.SA,0.237493,12.77492850,15.1700
57,GOAU4.SA,0.183358,59.84830000,2.5000
58,BRAP4.SA,0.176031,22.13281020,6.4900
59,ECOR3.SA,0.148881,19.88345590,6.1100
60,USIM5.SA,0.111016,50.60883810,1.7900
61,RUMO3.SA,0.071785,16.88099150,3.4700
62,OIBR3.SA,0.067516,51.97466880,1.0600
