seq,ticker,ponderacao,acoes,preco
2,VALE3.SA,12.026263,245.68872110,111.2800
3,ITUB4.SA,6.229678,477.00950540,29.6900
4,PETR4.SA,5.837184,456.64570370,29.0600
5,BBDC4.SA,4.763331,426.16496340,25.4100
6,PETR3.SA,4.739576,362.05804340,29.7600
7,B3SA3.SA,4.392986,611.94341940,16.3200
8,ABEV3.SA,3.297601,435.85428940,17.2000
9,MGLU3.SA,2.429015,266.89555120,20.6900
10,WEGE3.SA,2.233181,148.22960020,34.2500
11,ITSA4.SA,2.218662,451.55381710,11.1700
12,GNDI3.SA,2.180973,59.34380800,83.5500
13,NTCO3.SA,2.117853,84.14330750,57.2200
14,SUZB3.SA,1.923767,72.49212410,60.3300
15,BBAS3.SA,1.794371,128.31972210,31.7900
16,JBSS3.SA,1.778551,138.80258900,29.1300
17,LREN3.SA,1.671878,88.74179140,42.8300
18,RENT3.SA,1.632597,59.38414340,62.5000
19,VBBR3.SA,1.465564,116.49581260,28.6000
20,BPAC11.SA,1.381899,104.19831760,30.1500
21,GGBR4.SA,1.268219,99.59036430,28.9500
22,CSAN3.SA,1.236419,116.92377440,24.0400
23,CSNA3.SA,1.227221,64.23987900,43.4300
24,BBDC3.SA,1.192804,125.30939070,21.6400
25,RADL3.SA,1.160699,107.26451500,24.6000
26,VIIA3.SA,1.085018,159.55086010,15.4600
27,EQTL3.SA,1.077667,101.02860850,24.2500
28,KLBN11.SA,1.074682,92.22943380,26.4900
29,RAIL3.SA,1.058210,121.80811710,19.7500
30,BRFS3.SA,0.965523,81.17598000,27.0400
31,ENEV3.SA,0.926505,124.85457260,16.8700
32,UGPA3.SA,0.868454,108.59874260,18.1800
33,HAPV3.SA,0.834274,126.52564900,14.9900
34,VIVT3.SA,0.813258,44.42198520,41.6200
35,BIDI11.SA,0.801489,23.53509390,77.4200
36,LAME4.SA,0.785767,84.70106510,21.0900
37,TOTS3.SA,0.770181,48.02284100,36.4600
38,PRIO3.SA,0.729325,80.72204150,20.5400
39,BRAP4.SA,0.725866,22.26045070,74.1300
40,BBSE3.SA,0.686244,67.15848410,23.2300
41,ELET3.SA,0.683791,35.80184080,43.4200
42,BRKM5.SA,0.679244,26.46405750,58.3500
43,CCRO3.SA,0.664005,111.56935560,13.5300
44,SANB11.SA,0.635138,35.56423480,40.6000
45,AZUL4.SA,0.632823,32.72626160,43.9600
46,HYPE3.SA,0.614669,41.01479680,34.0700
47,EMBR3.SA,0.606820,73.61431050,18.7400
48,AMER3.SA,0.581785,20.18028820,65.5400
49,CMIG4.SA,0.565485,108.12111850,11.8900
50,SBSP3.SA,0.539900,33.99991110,36.1000
51,ENGI11.SA,0.501938,25.06797090,45.5200
52,LWSA3.SA,0.491177,42.76637480,26.1100
53,ELET6.SA,0.462681,24.29771270,43.2900
54,EGIE3.SA,0.438331,25.47922790,39.1100
55,USIM5.SA,0.435965,51.37962080,19.2900
56,YDUQ3.SA,0.428247,30.04835750,32.4000
57,SULA11.SA,0.427717,28.45661160,34.1700
58,GOAU4.SA,0.415907,69.36999180,13.6300
59,TIMS3.SA,0.404354,80.84859850,11.3700
60,LCAM3.SA,0.386514,32.37630770,27.1400
61,BRML3.SA,0.368165,84.37286840,9.9200
62,CRFB3.SA,0.360158,39.17587260,20.9000
63,TAEE11.SA,0.354093,21.85682740,36.8300
64,QUAL3.SA,0.353871,28.34677890,28.3800
65,COGN3.SA,0.346289,184.79948740,4.2600
66,FLRY3.SA,0.340366,30.38004300,25.4700
67,ASAI3.SA,0.332803,8.81802510,85.8000
68,IRBR3.SA,0.315840,125.52865310,5.7200
69,MRFG3.SA,0.315584,36.88646340,19.4500
70,CYRE3.SA,0.281478,28.11540980,22.7600
71,CVCB3.SA,0.267862,22.59556510,26.9500
72,PCAR3.SA,0.263897,15.69286310,38.2300
73,MULT3.SA,0.246281,24.58887540,22.7700
74,CPFE3.SA,0.219308,18.77142490,26.5600
75,MRVE3.SA,0.208454,29.39786720,16.1200
76,HGTX3.SA,0.187999,12.61864080,33.8700
77,ENBR3.SA,0.178909,23.14894710,17.5700
78,GOLL4.SA,0.178250,17.81232920,22.7500
79,CIEL3.SA,0.176611,111.21966380,3.6100
80,CPLE6.SA,0.148898,57.08290740,5.9300
81,IGTA3.SA,0.148506,8.57969190,39.3500
82,EZTC3.SA,0.128468,9.57562170,30.5000
83,BEEF3.SA,0.098695,24.04828960,9.3300
84,JHSF3.SA,0.090078,28.88326020,7.0900
85,ECOR3.SA,0.089893,17.26027700,11.8400
