seq,ticker,ponderacao,acoes,preco
2,ITUB4.SA,9.021515,473.85626840,34.2200
3,VALE3.SA,8.355291,314.77435630,47.7100
4,BBDC4.SA,7.210963,387.35976640,33.4600
5,PETR4.SA,6.918305,452.01858350,27.5100
6,PETR3.SA,4.920231,294.98574800,29.9800
7,B3SA3.SA,4.918129,201.96239830,43.7700
8,ABEV3.SA,4.666933,434.40667640,19.3100
9,BBAS3.SA,3.333292,133.28793130,44.9500
10,ITSA4.SA,3.237863,449.40293260,12.9500
11,JBSS3.SA,2.970958,162.06464990,32.9500
12,LREN3.SA,2.194942,78.13845410,50.4900
13,BBDC3.SA,1.934367,112.22889330,30.9800
14,IRBR3.SA,1.929939,93.12458940,37.2500
15,BRFS3.SA,1.715007,81.14162290,37.9900
16,RAIL3.SA,1.436342,105.37530590,24.5000
17,RENT3.SA,1.385720,56.08437060,44.4100
18,SUZB3.SA,1.358909,72.58593180,33.6500
19,BBSE3.SA,1.285728,67.16011670,34.4100
20,VIVT4.SA,1.245342,41.51318680,53.9200
21,UGPA3.SA,1.162794,108.51596310,19.2600
22,MGLU3.SA,1.154673,55.41843040,37.4500
23,RADL3.SA,1.139763,21.35537570,95.9300
24,VBBR3.SA,1.095787,72.81250000,27.0500
25,EQTL3.SA,1.094990,19.82020970,99.3000
26,GNDI3.SA,1.086576,36.49146160,53.5200
27,CCRO3.SA,1.055231,111.56955560,17.0000
28,WEGE3.SA,0.998496,74.06961360,24.2300
29,SBSP3.SA,0.941028,33.99825760,49.7500
30,COGN3.SA,0.926181,149.84044200,11.1100
31,SANB11.SA,0.909494,36.22276610,45.1300
32,AZUL4.SA,0.863211,31.70299560,48.9400
33,CMIG4.SA,0.782291,96.97230920,14.5000
34,LAME4.SA,0.754892,68.80583390,19.7200
35,HYPE3.SA,0.753181,40.75180480,33.2200
36,GGBR4.SA,0.747364,102.62177840,13.0900
37,EMBR3.SA,0.730378,73.58685540,17.8400
38,PCAR4.SA,0.702363,15.63967240,80.7200
39,BRML3.SA,0.664135,84.00578190,14.2100
40,NATU3.SA,0.657368,35.00916020,33.7500
41,EGIE3.SA,0.630012,25.48134010,44.4400
42,BPAC11.SA,0.624133,19.40869270,57.8000
43,ELET3.SA,0.589606,26.96598410,39.3000
44,YDUQ3.SA,0.587695,29.96678970,35.2500
45,KLBN11.SA,0.537565,63.77726420,15.1500
46,TIMS3.SA,0.529364,80.77116600,11.7800
47,ELET6.SA,0.521222,22.59647660,41.4600
48,AMER3.SA,0.520733,19.25470920,48.6100
49,VIIA3.SA,0.497925,114.74043830,7.8000
50,CIEL3.SA,0.489066,111.83868060,7.8600
51,CSNA3.SA,0.472478,64.23872880,13.2200
52,BRKM5.SA,0.467013,26.46324160,31.7200
53,CSAN3.SA,0.463514,15.54047100,53.6100
54,CVCB3.SA,0.460944,14.74210420,56.2000
55,FLRY3.SA,0.443007,30.50826720,26.1000
56,MULT3.SA,0.420891,27.02798540,27.9900
57,QUAL3.SA,0.385880,22.38090990,30.9900
58,BRAP4.SA,0.384678,22.21086010,31.1300
59,CYRE3.SA,0.355470,26.35830960,24.2400
60,TAEE11.SA,0.348389,21.85682800,28.6500
61,ENBR3.SA,0.318015,29.54022250,19.3500
62,MRVE3.SA,0.292681,29.29106670,17.9600
63,MRFG3.SA,0.250219,38.60478070,11.6500
64,GOLL4.SA,0.238161,13.46139170,31.8000
65,IGTA3.SA,0.227027,8.69139230,46.9500
66,USIM5.SA,0.221180,51.36317630,7.7400
67,GOAU4.SA,0.206961,59.70994260,6.2300
68,ECOR3.SA,0.132777,17.10792760,13.9500
69,SMLS3.SA,0.123420,5.88424280,37.7000
