seq,ticker,ponderacao,acoes,preco
2,VALE3.SA,10.983085,315.82775840,43.3700
3,ITUB4.SA,8.131020,473.85626840,21.4000
4,BBDC4.SA,6.168483,387.35976640,19.8600
5,B3SA3.SA,5.688877,204.75695970,34.6500
6,PETR4.SA,5.182949,452.01858350,14.3000
7,ABEV3.SA,4.075817,434.82605980,11.6900
8,PETR3.SA,3.112278,273.14906250,14.2100
9,BBAS3.SA,3.037929,141.84668030,26.7100
10,ITSA4.SA,2.976463,449.40293260,8.2600
11,JBSS3.SA,2.828989,162.06464990,21.7700
12,SUZB3.SA,2.175587,72.58593180,37.3800
13,LREN3.SA,2.020594,78.13845410,32.2500
14,MGLU3.SA,1.988993,66.18340800,37.4800
15,WEGE3.SA,1.926068,74.06961360,32.4300
16,RADL3.SA,1.770567,21.35537570,103.4000
17,VIVT4.SA,1.701616,41.51318680,51.1200
18,RAIL3.SA,1.652693,105.37530590,19.5600
19,BBDC3.SA,1.575186,109.19836940,17.9900
20,GNDI3.SA,1.522372,45.83804830,41.4200
21,EQTL3.SA,1.329213,101.01860850,16.4100
22,BBSE3.SA,1.295662,67.16011670,24.0600
23,RENT3.SA,1.065798,56.08437060,23.7000
24,CCRO3.SA,1.040423,111.56955560,11.6300
25,BRFS3.SA,1.015620,81.14162290,15.6100
26,LAME4.SA,1.001922,69.61212150,17.9500
27,SBSP3.SA,0.998842,33.99825760,36.6400
28,UGPA3.SA,0.997155,108.51596310,11.4600
29,HYPE3.SA,0.889119,40.75180480,27.2100
30,TIMS3.SA,0.827050,80.77116600,12.7700
31,VBBR3.SA,0.818537,72.81250000,14.0200
32,KLBN11.SA,0.805436,63.77726420,15.7500
33,PCAR3.SA,0.802512,15.65042980,63.9500
34,GGBR4.SA,0.790285,102.98808050,9.5700
35,EGIE3.SA,0.780495,25.48134010,38.2000
36,SULA11.SA,0.767518,27.87427520,34.3400
37,AMER3.SA,0.750172,19.45860140,48.0800
38,SANB11.SA,0.718565,36.22276610,24.7400
39,HAPV3.SA,0.697578,21.70602540,40.0800
40,IRBR3.SA,0.695182,93.12455940,9.3100
41,CMIG4.SA,0.655481,96.97230920,8.4300
42,NTCO3.SA,0.648837,34.89396520,23.1900
43,BRML3.SA,0.637545,84.04954190,9.4600
44,CSAN3.SA,0.613848,15.34178320,49.9000
45,CRFB3.SA,0.608592,38.48882190,19.7200
46,ELET3.SA,0.577241,32.48651420,22.1600
47,EMBR3.SA,0.557040,73.59185540,9.4400
48,COGN3.SA,0.537073,173.07624240,3.8700
49,YDUQ3.SA,0.521416,29.96678970,21.7000
50,BRAP4.SA,0.521104,22.21086010,29.2600
51,QUAL3.SA,0.504007,28.07356980,22.3900
52,FLRY3.SA,0.487416,30.39382180,20.0000
53,TOTS3.SA,0.482707,13.44658850,44.7700
54,BPAC11.SA,0.470936,19.57742900,30.0000
55,ELET6.SA,0.451879,22.59647660,24.9400
56,TAEE11.SA,0.445324,21.85682740,25.4100
57,VIIA3.SA,0.428132,114.82586390,4.6500
58,MULT3.SA,0.401582,27.02798540,18.5300
59,CIEL3.SA,0.383814,111.83868060,4.2800
60,AZUL4.SA,0.377956,31.74171830,14.8500
61,ENBR3.SA,0.367139,29.54022250,15.5000
62,CSNA3.SA,0.352320,64.23872880,6.8400
63,BRKM5.SA,0.345235,26.46324160,16.2700
64,MRFG3.SA,0.312147,42.31430920,9.2000
65,CYRE3.SA,0.273910,26.35830960,12.9600
66,MRVE3.SA,0.255619,28.98119540,11.0000
67,GOAU4.SA,0.236974,66.26449080,4.4600
68,IGTA3.SA,0.208444,8.69139230,29.9100
69,USIM5.SA,0.193213,51.37815760,4.6900
70,HGTX3.SA,0.137024,12.63028310,13.5300
71,ECOR3.SA,0.124283,17.10792760,9.0600
72,CVCB3.SA,0.109404,14.51512240,9.4000
73,GOLL4.SA,0.107722,13.46139170,9.9800
74,SMLS3.SA,0.057987,5.88424280,12.2900
