seq,ticker,ponderacao,acoes,preco
2,ITUB4.SA,9.472206,268.04309330,32.9600
3,PETR4.SA,7.397837,403.74146510,17.0900
4,ABEV3.SA,7.382725,441.40043360,15.6000
5,BBDC4.SA,7.300065,202.70169980,33.5900
6,VALE5.SA,4.765901,187.87585540,23.6600
7,PETR3.SA,4.762442,270.84857400,16.4000
8,BRFS3.SA,3.998504,63.47903580,58.7500
9,VALE3.SA,3.632596,126.28072570,26.8300
10,ITSA4.SA,3.002908,311.54660170,8.9900
11,CIEL3.SA,2.760965,66.50684060,38.7200
12,COGN3.SA,2.606853,161.55512720,15.0500
13,BBSE3.SA,2.294877,67.50000000,31.7100
14,UGPA3.SA,2.291105,42.52552260,50.2500
15,BBAS3.SA,2.283118,82.85828880,25.7000
16,B3SA3.SA,2.144458,183.66667020,10.8900
17,EMBR3.SA,1.917356,73.29148250,24.4000
18,PCAR4.SA,1.742888,15.50245240,104.8600
19,BBDC3.SA,1.682855,46.35541270,33.8600
20,JBSS3.SA,1.627670,165.37293680,9.1800
21,SANB11.SA,1.583452,92.36282490,15.9900
22,CCRO3.SA,1.480262,86.12827560,16.0300
23,VIVT4.SA,1.322658,26.13089850,47.2100
24,CMIG4.SA,1.197763,75.89334520,14.7200
25,GGBR4.SA,1.099931,87.60907590,11.7100
26,TIMS3.SA,1.079545,80.48667390,12.5100
27,LREN3.SA,0.938213,12.54757970,69.7400
28,BRML3.SA,0.935638,45.95404340,18.9900
29,CTIP3.SA,0.823131,25.42157680,30.2000
30,YDUQ3.SA,0.821479,31.01987520,24.7000
31,CRUZ3.SA,0.770165,37.80686100,19.0000
32,EGIE3.SA,0.731770,20.39199270,33.4700
33,SBSP3.SA,0.716279,33.99856110,19.6500
34,HYPE3.SA,0.678653,37.21210560,17.0100
35,NATU3.SA,0.655256,16.88273520,36.2000
36,FIBR3.SA,0.647596,22.23080010,27.1700
37,CSNA3.SA,0.640562,70.20566150,8.5100
38,LAME4.SA,0.621021,42.81037590,13.5300
39,OIBR4.SA,0.576918,322.20963190,1.6700
40,CPFE3.SA,0.575105,29.32742380,18.2900
41,RENT3.SA,0.558546,14.91423400,34.9300
42,QUAL3.SA,0.548826,21.59867950,23.7000
43,CESP6.SA,0.501696,18.17913310,25.7400
44,KLBN11.SA,0.490251,38.29611800,11.9400
45,SUZB5.SA,0.487969,45.92609520,9.9100
46,BRKM5.SA,0.469113,26.58203800,16.4600
47,CSAN3.SA,0.440484,10.92655050,37.6000
48,BRAP4.SA,0.424364,22.24861020,17.7900
49,GOAU4.SA,0.405157,26.85774130,14.0700
50,BRPR3.SA,0.401284,29.82284340,12.5500
51,CPLE6.SA,0.365281,10.09471410,33.7500
52,USIM5.SA,0.336024,48.14271770,6.5100
53,CYRE3.SA,0.331126,25.54511270,12.0900
54,HGTX3.SA,0.322434,12.75374470,23.5800
55,ALLL3.SA,0.297146,43.50825830,6.3700
56,ECOR3.SA,0.248900,19.96118590,11.6300
57,ENBR3.SA,0.244649,23.26029240,9.8100
58,DXCO3.SA,0.243005,26.08171590,8.6900
59,MRVE3.SA,0.236015,28.00638890,7.8600
60,MRFG3.SA,0.230644,34.69687360,6.2000
61,ELET6.SA,0.230640,21.97315660,9.7900
62,POMO4.SA,0.228044,53.84711780,3.9500
63,LIGT3.SA,0.213536,9.76294750,20.4000
64,ELET3.SA,0.150935,22.34555470,6.3000
65,PDGR3.SA,0.146391,130.03636990,1.0500
66,GOLL4.SA,0.125741,10.56563780,11.1000
67,GFSA3.SA,0.121167,39.79297110,2.8400
68,EVEN3.SA,0.116575,21.03077380,5.1700
69,ELPL4.SA,0.082226,9.27354260,8.2700
70,RSID3.SA,0.039107,36.11400000,1.0100
