seq,ticker,ponderacao,acoes,preco
2,VALE3.SA,16.230133,384.35707050,96.9600
3,PETR4.SA,6.564748,456.64422480,33.0100
4,ITUB4.SA,5.733063,478.00029240,27.5400
5,BBDC4.SA,4.490837,469.14275370,21.9800
6,B3SA3.SA,4.237318,606.58563180,16.0400
7,PETR3.SA,4.147711,270.33438220,35.2300
8,ABEV3.SA,2.922205,435.99086800,15.3900
9,HAPV3.SA,2.372871,441.17671980,12.3500
10,WEGE3.SA,2.287903,148.48590300,35.3800
11,ITSA4.SA,2.225523,473.60484470,10.7900
12,BBAS3.SA,2.145480,142.05309370,34.6800
13,JBSS3.SA,2.108528,129.07366730,37.5100
14,SUZB3.SA,1.715839,72.67792810,54.2100
15,RENT3.SA,1.612269,59.39443090,62.3300
16,BPAC11.SA,1.509600,130.16559960,26.6300
17,GGBR4.SA,1.464541,109.75344980,30.6400
18,EQTL3.SA,1.352518,112.89060850,27.5100
19,LREN3.SA,1.239080,97.90600060,29.0600
20,RDOR3.SA,1.237539,56.23609430,50.5300
21,CSAN3.SA,1.211921,116.92377440,23.8000
22,VBBR3.SA,1.185527,113.18833650,24.0500
23,RADL3.SA,1.126037,107.10769050,24.1400
24,BBDC3.SA,1.089898,137.88423050,18.1500
25,NTCO3.SA,1.031389,84.42967750,28.0500
26,VIVT3.SA,1.029428,43.34769520,54.5300
27,RAIL3.SA,1.006241,121.60561030,19.0000
28,MGLU3.SA,0.927077,289.62346380,7.3500
29,PRIO3.SA,0.895010,83.91591300,24.4900
30,BRFS3.SA,0.887578,108.17598000,18.8400
31,AMER3.SA,0.846014,57.13523990,34.0000
32,KLBN11.SA,0.840195,81.29943970,23.7300
33,TOTS3.SA,0.832921,51.98519550,36.7900
34,ENEV3.SA,0.826879,126.15683980,15.0500
35,SBSP3.SA,0.759170,34.00019340,51.2700
36,BBSE3.SA,0.757865,67.16296920,25.9100
37,CMIG4.SA,0.740973,111.42146620,15.2700
38,CSNA3.SA,0.731595,64.23987900,26.1500
39,HYPE3.SA,0.700736,41.02535280,39.2200
40,UGPA3.SA,0.691910,108.59523740,14.6300
41,CCRO3.SA,0.691910,111.56935560,14.2400
42,ELET3.SA,0.612781,35.80289080,39.3000
43,SANB11.SA,0.582713,36.27033990,36.8900
44,BIDI11.SA,0.575040,57.78529340,22.8500
45,ASAI3.SA,0.570088,79.43100970,16.4800
46,ENGI11.SA,0.544531,24.84776890,50.3200
47,CPLE6.SA,0.518812,156.33655060,7.6200
48,BRKM5.SA,0.511725,26.46422960,44.4000
49,TIMS3.SA,0.508518,80.86195320,14.4400
50,EGIE3.SA,0.492945,25.52173290,44.3500
51,EMBR3.SA,0.481777,73.45582050,15.0600
52,SULA11.SA,0.430348,28.47710280,34.7000
53,TAEE11.SA,0.421206,21.85682340,44.2500
54,ELET6.SA,0.411438,24.29871270,38.8800
55,CRFB3.SA,0.403260,41.09885610,22.5300
56,LCAM3.SA,0.389228,32.45229750,27.5400
57,BRAP4.SA,0.372604,25.14147530,34.0300
58,GOAU4.SA,0.372223,69.82753210,12.2400
59,RRRP3.SA,0.367948,19.97338240,42.3000
60,BRML3.SA,0.352388,83.41705840,9.7000
61,AZUL4.SA,0.352266,32.77411720,24.6800
62,SOMA3.SA,0.335763,48.91946230,15.7600
63,MRFG3.SA,0.322880,34.82340110,21.2900
64,USIM5.SA,0.308650,51.46806510,13.7700
65,MULT3.SA,0.301440,27.27185480,25.3800
66,VIIA3.SA,0.301020,159.62957530,4.3300
67,CMIN3.SA,0.298672,112.05933650,6.1200
68,YDUQ3.SA,0.287708,30.08331220,21.9600
69,CPFE3.SA,0.272502,18.77325380,33.3300
70,ALPA4.SA,0.267865,22.54637770,27.2800
71,PETZ3.SA,0.251494,30.15535220,19.1500
72,COGN3.SA,0.242826,182.81066760,3.0500
73,ENBR3.SA,0.242278,23.09314050,24.0900
74,CYRE3.SA,0.220021,28.16092830,17.9400
75,FLRY3.SA,0.219491,30.34258210,16.6100
76,QUAL3.SA,0.204738,27.70270770,16.9700
77,LWSA3.SA,0.197635,43.17835480,10.5100
78,IRBR3.SA,0.191887,125.52865310,3.5100
79,DXCO3.SA,0.187124,29.57128710,14.5300
80,PCAR3.SA,0.171698,15.69464740,25.1200
81,MRVE3.SA,0.168355,29.46438790,13.1200
82,CIEL3.SA,0.167454,114.43592280,3.3600
83,BPAN4.SA,0.166389,34.11240680,11.2000
84,CVCB3.SA,0.164547,22.42314290,16.8500
85,IGTI11.SA,0.160316,16.96375600,21.7000
86,BEEF3.SA,0.141633,25.40736390,12.8000
87,GOLL4.SA,0.134117,16.70952140,18.4300
88,ECOR3.SA,0.115237,33.92379140,7.8000
89,JHSF3.SA,0.090595,30.59151420,6.8000
90,EZTC3.SA,0.087183,10.16182360,19.7000
91,CASH3.SA,0.066843,54.81537250,2.8000
92,POSI3.SA,0.031817,7.80537230,9.3600
