seq,ticker,ponderacao,acoes,preco
2,ITUB4.SA,11.332541,268.04309330,36.5000
3,BBDC4.SA,8.624458,243.24203970,30.6100
4,ABEV3.SA,7.858956,359.36274020,18.8800
5,PETR4.SA,4.774841,403.74146510,10.2100
6,ITSA4.SA,3.755151,313.83202480,10.3300
7,CIEL3.SA,3.625334,66.50684060,47.0600
8,BRFS3.SA,3.459230,47.13401840,63.3600
9,VALE5.SA,3.266491,187.87585540,15.0100
10,PETR3.SA,3.162401,270.84857400,10.0800
11,UGPA3.SA,2.924892,37.99440300,66.4600
12,JBSS3.SA,2.840766,165.37293680,14.8300
13,BBSE3.SA,2.620041,67.50000000,33.5100
14,VALE3.SA,2.565645,126.28072570,17.5400
15,B3SA3.SA,2.459758,181.50000000,11.7000
16,BBAS3.SA,2.281366,82.85828880,23.7700
17,PCAR4.SA,1.737303,15.54241590,96.5000
18,EMBR3.SA,1.698943,60.33427110,24.3100
19,COGN3.SA,1.660215,135.21614250,10.6000
20,CCRO3.SA,1.655091,86.12827560,16.5900
21,BBDC3.SA,1.608068,44.56731510,31.1500
22,VIVT4.SA,1.489187,26.13089850,49.2000
23,LREN3.SA,1.359259,12.67110430,92.6100
24,CMIG4.SA,1.172707,75.89334520,13.3400
25,FIBR3.SA,1.142033,22.23080010,44.3500
26,CRUZ3.SA,1.120652,37.80686100,25.5900
27,GGBR4.SA,1.038137,87.60907590,10.2300
28,TIMS3.SA,0.977743,80.77530670,10.4500
29,CTIP3.SA,0.969456,25.55566420,32.7500
30,BRML3.SA,0.933116,45.95404340,17.5300
31,HYPE3.SA,0.869832,37.21210560,20.1800
32,EGIE3.SA,0.857425,20.39199270,36.3000
33,LAME4.SA,0.822173,42.81037590,16.5800
34,KLBN11.SA,0.806452,38.29611800,18.1800
35,SUZB5.SA,0.770833,46.11733990,14.4300
36,SBSP3.SA,0.716740,33.99856110,18.2000
37,CPFE3.SA,0.705231,29.32742380,20.7600
38,SANB11.SA,0.679833,40.00761020,14.6700
39,RENT3.SA,0.633838,14.91423400,36.6900
40,YDUQ3.SA,0.624578,28.86554350,18.6800
41,QUAL3.SA,0.580382,21.78492950,23.0000
42,NATU3.SA,0.533674,16.88273520,27.2900
43,CESP6.SA,0.511061,18.17913310,24.2700
44,MULT3.SA,0.488929,7.54424160,55.9500
45,CSNA3.SA,0.452957,70.20566150,5.5700
46,BRPR3.SA,0.446494,29.46983060,13.0800
47,CSAN3.SA,0.446117,13.28986020,28.9800
48,CPLE6.SA,0.410427,10.09483590,35.1000
49,CYRE3.SA,0.400653,25.04638570,13.8100
50,GOAU4.SA,0.343454,26.85774130,11.0400
51,BRKM5.SA,0.337532,26.46656220,11.0100
52,ENBR3.SA,0.293139,23.26029240,10.8800
53,USIM5.SA,0.273805,48.14271770,4.9100
54,DXCO3.SA,0.268168,26.15979360,8.8500
55,BRAP4.SA,0.265689,22.24766860,10.3100
56,MRVE3.SA,0.259238,27.49439750,8.1400
57,HGTX3.SA,0.252470,12.75374470,17.0900
58,OIBR4.SA,0.222068,32.22096310,5.9500
59,ECOR3.SA,0.210325,19.84448590,9.1500
60,RUMO3.SA,0.197346,125.27346150,1.3600
61,ELET6.SA,0.185545,21.97315660,7.2900
62,LIGT3.SA,0.164654,9.76294750,14.5600
63,MRFG3.SA,0.163976,34.69687360,4.0800
64,ELET3.SA,0.154006,22.34555470,5.9500
65,POMO4.SA,0.147697,53.80145780,2.3700
66,EVEN3.SA,0.111571,21.03077380,4.5800
67,GFSA3.SA,0.096781,37.80661620,2.2100
68,GOLL4.SA,0.090755,10.57354570,7.4100
69,PDGR3.SA,0.090375,130.03636990,0.6000
