seq,ticker,ponderacao,acoes,preco
2,ITUB4.SA,11.059998,311.90931610,43.3500
3,BBDC4.SA,8.407885,293.26562710,35.0500
4,VALE3.SA,7.823716,300.11896200,31.8700
5,ABEV3.SA,7.260068,421.84935540,21.0400
6,PETR4.SA,5.162160,412.47957380,15.3000
7,B3SA3.SA,3.987575,203.54748540,23.9500
8,PETR3.SA,3.502966,270.87347210,15.8100
9,BBAS3.SA,3.500649,122.62684760,34.9000
10,ITSA4.SA,3.483254,386.07535920,11.0300
11,BRFS3.SA,2.984821,79.90052450,45.6700
12,UGPA3.SA,2.501359,40.60557930,75.3100
13,COGN3.SA,2.393221,145.92537980,20.0500
14,LREN3.SA,2.075024,70.34932320,36.0600
15,CIEL3.SA,2.008382,111.70719410,21.9800
16,VIVT4.SA,1.713700,41.51106640,50.4700
17,CCRO3.SA,1.616225,111.56955560,17.7100
18,BBSE3.SA,1.572741,67.15808240,28.6300
19,BBDC3.SA,1.483066,54.28456920,33.4000
20,RADL3.SA,1.295858,21.12314730,75.0000
21,EMBR3.SA,1.073411,73.35306870,17.8900
22,JBSS3.SA,1.064398,153.09024710,8.5000
23,LAME4.SA,1.053837,66.92758860,19.2500
24,HYPE3.SA,1.045821,39.70669720,32.2000
25,CPFE3.SA,1.028040,46.17261790,27.2200
26,WEGE3.SA,0.996848,56.94788740,21.4000
27,EQTL3.SA,0.992389,19.80789800,61.2500
28,BRML3.SA,0.964693,83.82185450,14.0700
29,PCAR4.SA,0.952712,15.52968700,75.0000
30,SBSP3.SA,0.925511,33.99855840,33.2800
31,BRKM5.SA,0.918284,26.45857220,42.4300
32,GGBR4.SA,0.898605,99.50894680,11.0400
33,SANB11.SA,0.864194,38.22396450,27.6400
34,RAIL3.SA,0.841960,85.13885950,12.0900
35,FIBR3.SA,0.804470,22.95203970,42.8500
36,YDUQ3.SA,0.781659,30.83600740,30.9900
37,RENT3.SA,0.777057,16.46130850,57.7100
38,KLBN11.SA,0.771065,51.37093370,18.3500
39,TIMS3.SA,0.763657,80.83113150,11.5500
40,QUAL3.SA,0.743627,23.98714950,37.9000
41,SUZB5.SA,0.696746,46.52091710,18.3100
42,EGIE3.SA,0.604489,20.38652310,36.2500
43,CMIG4.SA,0.543393,83.24795130,7.9800
44,MULT3.SA,0.536003,8.93610340,73.3300
45,CSNA3.SA,0.472600,60.12195540,9.6100
46,CSAN3.SA,0.454991,15.36586550,36.2000
47,NATU3.SA,0.439472,17.22022090,31.2000
48,BRAP4.SA,0.436694,22.15249070,24.1000
49,ELET3.SA,0.435909,26.96942410,19.7600
50,ELET6.SA,0.419385,22.59647660,22.6900
51,SMLS3.SA,0.377144,5.72904280,80.4800
52,ENBR3.SA,0.365620,29.52337830,15.1400
53,TAEE11.SA,0.335911,18.45682500,22.2500
54,USIM5.SA,0.325169,51.09659300,7.7800
55,MRVE3.SA,0.318687,28.31447260,13.7600
56,CYRE3.SA,0.275403,24.39784740,13.8000
57,GOAU4.SA,0.247496,57.19718110,5.2900
58,CPLE6.SA,0.233254,10.10136620,28.2300
59,MRFG3.SA,0.213013,40.24991450,6.4700
60,ECOR3.SA,0.173713,18.61268590,11.4100
