VALE3.SA,ITUB4.SA,BBDC4.SA,PETR4.SA,ABEV3.SA,PETR3.SA,B3SA3.SA,ITSA4.SA,BBAS3.SA,SUZB3.SA,LREN3.SA,UGPA3.SA,BBDC3.SA,BRFS3.SA,FIBR3.SA,COGN3.SA,RAIL3.SA,GGBR4.SA,VIVT4.SA,BBSE3.SA,RADL3.SA,BRKM5.SA,JBSS3.SA,WEGE3.SA,EMBR3.SA,CIEL3.SA,PCAR4.SA,SANB11.SA,KLBN11.SA,EQTL3.SA,HYPE3.SA,RENT3.SA,LAME4.SA,CCRO3.SA,TIMS3.SA,BRAP4.SA,MGLU3.SA,BRML3.SA,YDUQ3.SA,EGIE3.SA,SBSP3.SA,CMIG4.SA,FLRY3.SA,CVCB3.SA,CSNA3.SA,CSAN3.SA,MULT3.SA,NATU3.SA,AMER3.SA,GOAU4.SA,TAEE11.SA,USIM5.SA,ELET6.SA,ELET3.SA,ENBR3.SA,MRVE3.SA,QUAL3.SA,CYRE3.SA,IGTA3.SA,SMLS3.SA,CPLE6.SA,MRFG3.SA,VVAR11.SA,GOLL4.SA,ECOR3.SA,^BVSP
31.899999618530273,,20.148895263671875,15.399999618530273,20.700000762939453,15.899999618530273,7.97666597366333,8.626523971557617,34.95000076293945,20.010000228881836,32.55855941772461,37.75,19.249595642089844,45.439998626708984,,19.81999969482422,12.25,10.476189613342285,,28.290000915527344,15.128000259399414,42.720001220703125,8.670000076293945,8.180768966674805,18.059999465942383,21.5,,27.649999618530273,18.299999237060547,12.229999542236328,32.779998779296875,18.520633697509766,,17.530000686645508,11.5600004196167,21.416555404663086,2.4337499141693115,,31.81999969482422,28.736000061035156,33.650001525878906,5.113193988800049,29.09000015258789,40.599998474121094,9.880000114440918,9.182499885559082,24.363332748413086,,22.53583335876465,5.329999923706055,22.34000015258789,7.889999866485596,23.670000076293945,20.532197952270508,15.0,12.454691886901855,37.13999938964844,13.760000228881836,,,2.865000009536743,6.420000076293945,,13.569999694824219,11.420000076293945,74360.0
32.68000030517578,,21.002662658691406,15.979999542236328,21.420000076293945,16.639999389648438,8.156665802001953,8.964974403381348,36.369998931884766,20.010000228881836,33.640838623046875,38.93000030517578,20.205814361572266,47.0,,21.09000015258789,12.800000190734863,10.857142448425293,,28.520000457763672,15.62399959564209,44.52000045776367,8.800000190734863,8.5,18.110000610351562,21.6200008392334,,28.270000457763672,18.760000228881836,12.359999656677246,33.83000183105469,19.047618865966797,,17.799999237060547,11.850000381469727,22.04515266418457,2.4684369564056396,,32.5,29.375999450683594,34.0099983215332,5.408679962158203,29.049999237060547,41.439998626708984,10.859999656677246,9.447500228881836,24.53333282470703,,24.413820266723633,5.619999885559082,22.350000381469727,8.65999984741211,25.350000381469727,21.791719436645508,15.15999984741211,12.77287769317627,37.619998931884766,14.119999885559082,,,2.9010000228881836,6.670000076293945,,14.399999618530273,11.539999961853027,76763.0
32.61000061035156,,20.866060256958008,15.65999984741211,21.200000762939453,16.309999465942383,8.076665878295898,8.902007102966309,36.20000076293945,20.010000228881836,33.66789627075195,39.30500030517578,19.92122459411621,47.95000076293945,,21.229999542236328,12.630000114440918,10.828571319580078,,29.1200008392334,15.781999588012695,44.5099983215332,8.779999732971191,8.538460731506348,17.940000534057617,21.8799991607666,,27.8799991607666,18.739999771118164,12.390000343322754,33.86000061035156,19.190475463867188,,18.100000381469727,11.670000076293945,21.99203109741211,2.484375,,33.310001373291016,29.29599952697754,33.720001220703125,5.273784160614014,29.0,42.279998779296875,10.760000228881836,9.619999885559082,24.899999618530273,,25.372581481933594,5.699999809265137,22.209999084472656,9.020000457763672,25.299999237060547,21.841699600219727,15.369999885559082,12.963788986206055,37.75,14.069999694824219,,,2.8940000534057617,6.71999979019165,,14.300000190734863,11.899999618530273,76591.0
32.27000045776367,,20.883136749267578,15.899999618530273,21.229999542236328,16.56999969482422,7.966666221618652,8.95710277557373,36.790000915527344,20.010000228881836,33.451438903808594,39.07500076293945,19.96106719970703,47.5,,20.3700008392334,12.279999732971191,10.552379608154297,,29.299999237060547,15.946000099182129,44.400001525878906,8.770000457763672,8.573076248168945,17.770000457763672,22.030000686645508,,28.399999618530273,19.059999465942383,12.399999618530273,34.25,18.739681243896484,,17.889999389648438,11.84000015258789,21.7618408203125,2.450000047683716,,31.75,29.743999481201172,33.88999938964844,5.389409065246582,29.520000457763672,42.400001525878906,10.529999732971191,9.545000076293945,25.040000915527344,,24.018455505371094,5.449999809265137,22.920000076293945,8.960000038146973,25.079999923706055,21.461843490600586,15.399999618530273,12.672877311706543,38.0,14.329999923706055,,,2.9130001068115234,6.630000114440918,,15.170000076293945,11.850000381469727,76618.0
32.13999938964844,,20.666847229003906,15.6899995803833,21.06999969482422,16.3700008392334,7.916666030883789,8.91774845123291,37.0,20.010000228881836,33.37928771972656,38.85499954223633,19.84153938293457,46.220001220703125,,20.329999923706055,12.149999618530273,10.247618675231934,,29.049999237060547,15.753999710083008,45.779998779296875,8.569999694824219,8.534614562988281,17.889999389648438,21.729999542236328,,28.780000686645508,19.450000762939453,12.289999961853027,33.90999984741211,18.669841766357422,,17.520000457763672,11.699999809265137,21.540504455566406,2.4906249046325684,,32.47999954223633,29.559999465942383,33.81999969482422,5.305902004241943,29.75,43.470001220703125,10.25,9.467499732971191,24.586666107177734,,24.166717529296875,5.340000152587891,22.799999237060547,9.350000381469727,24.149999618530273,20.802095413208008,15.350000381469727,12.709240913391113,37.61000061035156,14.010000228881836,,,2.884999990463257,6.699999809265137,,15.420000076293945,11.800000190734863,76055.0
31.5,,20.65546417236328,15.890000343322754,21.06999969482422,16.479999542236328,7.863333225250244,8.783943176269531,36.59000015258789,20.010000228881836,33.41536331176758,38.099998474121094,19.864307403564453,45.95000076293945,,20.25,12.489999771118164,10.190476417541504,,29.0,15.770000457763672,46.040000915527344,8.420000076293945,8.534614562988281,17.889999389648438,21.700000762939453,,29.15999984741211,19.059999465942383,12.289999961853027,33.86000061035156,18.790475845336914,,17.489999771118164,11.739999771118164,21.14209747314453,2.4309370517730713,,31.649999618530273,29.327999114990234,34.52000045776367,5.293055057525635,29.729999542236328,42.9900016784668,9.899999618530273,9.362500190734863,24.646665573120117,,23.712047576904297,5.369999885559082,22.450000762939453,9.180000305175781,24.1299991607666,20.712129592895508,15.239999771118164,12.74560546875,37.52000045776367,13.800000190734863,,,2.878000020980835,6.389999866485596,,15.4399995803833,11.510000228881836,75727.0
31.31999969482422,,21.12788200378418,16.190000534057617,21.559999465942383,16.719999313354492,7.97333288192749,8.964974403381348,37.369998931884766,20.010000228881836,33.712989807128906,38.619998931884766,20.09766960144043,46.880001068115234,,20.979999542236328,12.949999809265137,10.619047164916992,,29.1200008392334,15.776000022888184,45.619998931884766,8.489999771118164,8.634614944458008,18.0,21.559999465942383,,30.270000457763672,18.979999542236328,12.300000190734863,34.650001525878906,18.803173065185547,,17.729999542236328,11.859999656677246,20.867639541625977,2.4881250858306885,,32.33000183105469,29.648000717163086,33.939998626708984,5.363715171813965,29.579999923706055,43.54999923706055,10.0,9.587499618530273,24.966665267944336,,24.680692672729492,5.659999847412109,22.350000381469727,9.449999809265137,24.75,21.291908264160156,15.59000015258789,12.909242630004883,38.61000061035156,14.210000038146973,,,2.940999984741211,6.440000057220459,,15.600000381469727,11.710000038146973,76897.0
31.100000381469727,,21.002662658691406,16.079999923706055,21.6299991607666,16.639999389648438,8.013333320617676,8.941361427307129,37.400001525878906,20.010000228881836,33.451438903808594,38.599998474121094,20.086286544799805,46.959999084472656,,19.780000686645508,13.050000190734863,10.495238304138184,,29.100000381469727,15.670000076293945,45.88999938964844,8.600000381469727,8.75,17.799999237060547,21.719999313354492,,29.700000762939453,19.239999771118164,12.36400032043457,34.86000061035156,18.41269874572754,,18.110000610351562,11.850000381469727,20.646303176879883,2.40625,,31.139999389648438,29.600000381469727,33.5,5.370138168334961,29.729999542236328,44.029998779296875,9.649999618530273,9.5625,24.953332901000977,,23.623090744018555,5.570000171661377,22.510000228881836,9.699999809265137,24.260000228881836,21.022010803222656,15.489999771118164,13.009243965148926,37.900001525878906,14.329999923706055,,,2.9010000228881836,6.630000114440918,,15.470000267028809,12.079999923706055,76660.0
31.100000381469727,,21.002662658691406,16.079999923706055,21.6299991607666,16.639999389648438,8.013333320617676,8.941361427307129,37.400001525878906,20.010000228881836,33.451438903808594,38.599998474121094,20.086286544799805,46.959999084472656,,19.780000686645508,13.050000190734863,10.495238304138184,,29.100000381469727,15.670000076293945,45.88999938964844,8.600000381469727,8.75,17.799999237060547,21.719999313354492,,29.700000762939453,19.239999771118164,12.36400032043457,34.86000061035156,18.41269874572754,,18.110000610351562,11.850000381469727,20.646303176879883,2.40625,,31.139999389648438,29.600000381469727,33.5,5.370138168334961,29.729999542236328,44.029998779296875,9.649999618530273,9.5625,24.953332901000977,,23.623090744018555,5.570000171661377,22.510000228881836,9.699999809265137,24.260000228881836,21.022010803222656,15.489999771118164,13.009243965148926,37.900001525878906,14.329999923706055,,,2.9010000228881836,6.630000114440918,,15.470000267028809,12.079999923706055,
32.90999984741211,,20.843292236328125,16.079999923706055,22.1299991607666,16.579999923706055,7.920000076293945,8.933489799499512,37.41999816894531,20.010000228881836,33.18988800048828,39.01499938964844,19.852924346923828,46.65999984741211,,19.440000534057617,13.079999923706055,10.895237922668457,,29.149999618530273,15.680000305175781,45.90999984741211,8.649999618530273,8.826923370361328,17.420000076293945,22.260000228881836,,29.8700008392334,19.260000228881836,12.48799991607666,34.849998474121094,18.352380752563477,,18.3700008392334,11.930000305175781,21.823814392089844,2.2718749046325684,,31.389999389648438,30.07200050354004,32.40999984741211,5.382986068725586,30.950000762939453,44.5,10.220000267028809,9.854999542236328,25.01333236694336,,21.003793716430664,5.670000076293945,22.469999313354492,10.319999694824219,24.360000610351562,21.012014389038086,15.5600004196167,13.163790702819824,37.540000915527344,14.260000228881836,,,2.819999933242798,6.610000133514404,,15.199999809265137,12.25,76990.0
