ITUB4.SA,ABEV3.SA,BBDC4.SA,BRFS3.SA,PETR4.SA,CIEL3.SA,ITSA4.SA,PETR3.SA,UGPA3.SA,JBSS3.SA,VALE5.SA,B3SA3.SA,VALE3.SA,VIVT4.SA,BBSE3.SA,EMBR3.SA,COGN3.SA,BBAS3.SA,BBDC3.SA,KLBN11.SA,FIBR3.SA,LREN3.SA,CCRO3.SA,CTIP3.SA,WEGE3.SA,LAME4.SA,HYPE3.SA,BRKM5.SA,SUZB5.SA,RADL3.SA,EGIE3.SA,EQTL3.SA,PCAR4.SA,SBSP3.SA,SANB11.SA,TIMS3.SA,BRML3.SA,CPFE3.SA,CMIG4.SA,NATU3.SA,GGBR4.SA,CSAN3.SA,YDUQ3.SA,RENT3.SA,QUAL3.SA,MULT3.SA,ENBR3.SA,CPLE6.SA,CESP6.SA,CSNA3.SA,MRVE3.SA,MRFG3.SA,SMLS3.SA,HGTX3.SA,CYRE3.SA,RUMO3.SA,OIBR3.SA,BRAP4.SA,ECOR3.SA,GOAU4.SA,USIM5.SA,^BVSP
18.639118194580078,16.020000457763672,13.445454597473145,62.18000030517578,9.359999656677246,22.98611068725586,5.912116050720215,9.0,25.329999923706055,10.550000190734863,,3.1700000762939453,21.280000686645508,,30.350000381469727,24.850000381469727,14.800000190734863,22.649999618530273,13.334277153015137,14.289999961853027,,12.446208000183105,14.720000267028809,,5.923076152801514,,16.190000534057617,17.40999984741211,,4.998000144958496,26.08799934387207,5.5,,16.799999237060547,12.720000267028809,11.739999771118164,,17.32554054260254,8.222222328186035,,8.733332633972168,6.949999809265137,22.049999237060547,10.618290901184082,26.75,14.75333309173584,8.607786178588867,3.378000020980835,,5.079999923706055,6.572803974151611,5.659999847412109,,,10.449999809265137,,67.5394287109375,12.023018836975098,10.649999618530273,10.819999694824219,4.789999961853027,48512.0
18.7327823638916,15.729999542236328,13.465055465698242,61.0,8.5600004196167,22.20486068725586,5.931457996368408,8.270000457763672,24.655000686645508,10.600000381469727,,3.0833330154418945,20.959999084472656,,29.440000534057617,24.299999237060547,13.720000267028809,22.18000030517578,13.162674903869629,13.9399995803833,,12.100207328796387,14.300000190734863,,5.963460922241211,,16.219999313354492,16.360000610351562,,4.964000225067139,26.1200008392334,5.289999961853027,,16.799999237060547,12.630000114440918,11.460000038146973,,17.101165771484375,8.01024341583252,,8.333333015441895,6.537499904632568,20.729999542236328,10.176870346069336,26.989999771118164,14.733332633972168,8.262685775756836,3.305000066757202,,4.829999923706055,6.454620838165283,5.230000019073486,,,10.720000267028809,,62.688533782958984,11.907922744750977,9.90999984741211,10.3100004196167,4.5,47517.0
19.035812377929688,16.329999923706055,13.90800952911377,61.54999923706055,8.279999732971191,21.759258270263672,5.976587772369385,8.0600004196167,24.690000534057617,10.350000381469727,,3.113332986831665,21.799999237060547,,30.690000534057617,23.860000610351562,12.800000190734863,22.489999771118164,13.513680458068848,14.399999618530273,,12.239590644836426,14.510000228881836,,5.875,,15.850000381469727,16.010000228881836,,5.107999801635742,26.648000717163086,5.5879998207092285,,16.75,12.720000267028809,11.4399995803833,,17.41334342956543,7.939582824707031,,9.20952320098877,6.28000020980835,19.520000457763672,10.382464408874512,27.389999389648438,15.466666221618652,8.400726318359375,3.305000066757202,,5.21999979019165,6.627350807189941,5.150000095367432,,,11.020000457763672,,53.733028411865234,12.439131736755371,9.800000190734863,11.319999694824219,4.71999979019165,48001.0
19.724517822265625,16.559999465942383,14.460723876953125,64.30000305175781,8.670000076293945,21.96180534362793,6.202241897583008,8.449999809265137,25.360000610351562,10.640000343322754,,3.236665964126587,22.600000381469727,,30.200000762939453,23.68000030517578,12.609999656677246,23.479999542236328,14.110387802124023,14.550000190734863,,12.447848320007324,15.600000381469727,,5.807692050933838,,16.799999237060547,16.0,,5.196000099182129,27.31999969482422,5.539999961853027,,17.100000381469727,13.25,11.479999542236328,,18.02792739868164,7.939582824707031,,9.885713577270508,6.372499942779541,18.90999984741211,10.491307258605957,27.0,16.0,8.726105690002441,3.4779999256134033,,5.789999961853027,6.7728071212768555,5.329999923706055,,,11.3100004196167,,52.83747482299805,12.76671028137207,10.579999923706055,12.149999618530273,5.0,49463.0
20.033056259155273,16.540000915527344,14.535202980041504,63.150001525878906,9.229999542236328,22.56944465637207,6.266714096069336,9.020000457763672,25.100000381469727,10.729999542236328,,3.1933329105377197,22.84000015258789,,30.110000610351562,23.0,13.600000381469727,23.559999465942383,14.14158821105957,14.539999961853027,,12.462606430053711,15.779999732971191,,5.905768871307373,,16.760000228881836,16.040000915527344,,5.210000038146973,27.600000381469727,5.5,,17.15999984741211,13.029999732971191,12.0,,18.398632049560547,7.875347137451172,,9.65714168548584,6.449999809265137,19.5,10.312925338745117,26.540000915527344,15.829999923706055,8.97260570526123,3.446000099182129,,5.599999904632568,6.854626178741455,5.429999828338623,,,11.399999618530273,,53.35988235473633,12.952632904052734,10.4399995803833,11.739999771118164,4.75,49943.0
19.157024383544922,16.5,13.90408992767334,61.779998779296875,9.510000228881836,23.043981552124023,6.0475077629089355,9.289999961853027,24.795000076293945,10.479999542236328,,3.109999895095825,22.350000381469727,,29.1299991607666,22.799999237060547,13.279999732971191,22.540000915527344,13.646281242370605,14.550000190734863,,12.019856452941895,15.550000190734863,,5.878846168518066,,16.479999542236328,15.6899995803833,,5.130000114440918,25.479999542236328,5.199999809265137,,16.760000228881836,12.899999618530273,11.729999542236328,,17.393831253051758,7.599132061004639,,9.219046592712402,6.25,19.0,10.34920597076416,26.780000686645508,15.933333396911621,8.716245651245117,3.2980000972747803,,5.360000133514404,6.52734899520874,5.510000228881836,,,10.789999961853027,,52.912105560302734,12.687028884887695,10.079999923706055,11.109999656677246,4.559999942779541,48840.0
18.6942138671875,16.709999084472656,13.657133102416992,62.290000915527344,8.84000015258789,22.4710636138916,5.944352149963379,8.770000457763672,24.31999969482422,10.40999984741211,,3.0199999809265137,22.639999389648438,,29.799999237060547,22.90999984741211,12.119999885559082,22.149999618530273,13.416177749633789,14.460000038146973,,12.183836936950684,15.399999618530273,,5.8461527824401855,,16.260000228881836,15.989999771118164,,5.363999843597412,24.760000228881836,5.142000198364258,,16.530000686645508,12.640000343322754,11.670000076293945,,17.071897506713867,7.348610877990723,,9.0,5.860000133514404,17.040000915527344,10.385486602783203,27.0,15.699999809265137,8.479605674743652,3.197000026702881,,5.269999980926514,6.363710880279541,5.329999923706055,,,10.550000190734863,,45.2999267578125,12.554226875305176,9.979999542236328,10.819999694824219,4.380000114440918,48140.0
18.672176361083984,16.709999084472656,13.700251579284668,60.72999954223633,9.09000015258789,21.6898136138916,5.963694095611572,8.829999923706055,24.55500030517578,10.1899995803833,,3.0266659259796143,22.510000228881836,,29.18000030517578,22.6200008392334,12.9399995803833,22.020000457763672,13.27967643737793,14.329999923706055,,12.142842292785645,15.75,,5.867307186126709,,16.260000228881836,15.819999694824219,,5.25,24.968000411987305,5.188000202178955,,15.600000381469727,12.609999656677246,11.720000267028809,,17.5401611328125,7.451388835906982,,8.742856979370117,6.199999809265137,17.309999465942383,10.412697792053223,26.329999923706055,15.989999771118164,8.666946411132812,3.247999906539917,,5.090000152587891,6.509167194366455,5.179999828338623,,,10.550000190734863,,45.15066909790039,12.881806373596191,10.1899995803833,10.569999694824219,4.21999979019165,48042.0
18.798898696899414,16.760000228881836,13.845291137695312,61.779998779296875,8.90999984741211,21.903934478759766,5.995930194854736,8.5,24.7549991607666,10.130000114440918,,3.0866661071777344,20.700000762939453,,28.68000030517578,21.399999618530273,13.0,22.18000030517578,13.43567943572998,14.050000190734863,,12.036253929138184,16.059999465942383,,5.961537837982178,,16.299999237060547,14.869999885559082,,5.202000141143799,26.31999969482422,5.340000152587891,,15.40999984741211,12.779999732971191,11.6899995803833,,18.310829162597656,7.489930152893066,,8.409523010253906,6.269999980926514,17.780000686645508,10.636431694030762,27.010000228881836,16.020000457763672,8.854286193847656,3.2699999809265137,,4.949999809265137,6.436439037322998,4.860000133514404,,,10.510000228881836,,42.24012756347656,11.863656044006348,10.300000190734863,10.199999809265137,4.090000152587891,47646.0
18.633607864379883,16.790000915527344,13.704172134399414,62.08000183105469,9.3100004196167,21.63194465637207,5.983035087585449,9.25,24.829999923706055,10.649999618530273,,3.0733330249786377,20.940000534057617,,29.25,21.56999969482422,12.600000381469727,22.040000915527344,13.338176727294922,13.949999809265137,,12.170719146728516,16.170000076293945,,5.961537837982178,,17.049999237060547,14.970000267028809,,5.199999809265137,26.280000686645508,5.25,,15.670000076293945,13.199999809265137,11.970000267028809,,17.940134048461914,7.6376729011535645,,8.552379608154297,6.59499979019165,17.09000015258789,10.702946662902832,26.68000030517578,16.799999237060547,8.81484603881836,3.315000057220459,,4.869999885559082,6.254619121551514,5.190000057220459,,,10.680000305175781,,42.09086990356445,11.943337440490723,10.630000114440918,10.319999694824219,4.090000152587891,48026.0
