ITUB4.SA,BBDC4.SA,ABEV3.SA,VALE5.SA,PETR4.SA,VALE3.SA,B3SA3.SA,PETR3.SA,ITSA4.SA,BBAS3.SA,UGPA3.SA,BRFS3.SA,CIEL3.SA,COGN3.SA,BBSE3.SA,LREN3.SA,CCRO3.SA,VIVT4.SA,BBDC3.SA,RADL3.SA,CPFE3.SA,EMBR3.SA,HYPE3.SA,SBSP3.SA,EQTL3.SA,JBSS3.SA,PCAR4.SA,WEGE3.SA,BRML3.SA,SANB11.SA,LAME4.SA,BRKM5.SA,GGBR4.SA,TIMS3.SA,FIBR3.SA,KLBN11.SA,RENT3.SA,EGIE3.SA,CMIG4.SA,QUAL3.SA,RAIL3.SA,SUZB5.SA,CSAN3.SA,MULT3.SA,BRAP4.SA,YDUQ3.SA,NATU3.SA,CSNA3.SA,MRVE3.SA,ELET6.SA,SMLS3.SA,ENBR3.SA,ELET3.SA,GOAU4.SA,MRFG3.SA,CYRE3.SA,CPLE6.SA,USIM5.SA,ECOR3.SA,^BVSP
18.733333587646484,13.256669998168945,19.219999313354492,,9.819999694824219,16.6200008392334,5.966666221618652,12.0600004196167,5.9894890785217285,17.049999237060547,34.85499954223633,47.02000045776367,28.258333206176758,14.300000190734863,27.600000381469727,19.718795776367188,16.889999389648438,,14.10526180267334,12.482000350952148,20.559999465942383,17.649999618530273,23.760000228881836,29.040000915527344,9.760000228881836,9.5,,5.273076057434082,,18.329999923706055,,19.25,5.895237922668457,7.039999961853027,,16.34000015258789,10.521540641784668,30.535999298095703,4.676387786865234,17.860000610351562,4.849999904632568,,8.422499656677246,20.01333236694336,7.897298812866211,17.209999084472656,,8.760000228881836,10.000118255615234,17.420000076293945,,13.5600004196167,12.785140991210938,2.069999933242798,5.610000133514404,10.119999885559082,2.933000087738037,2.0799999237060547,8.15999984741211,52233.0
18.72121238708496,13.303238868713379,19.059999465942383,,9.869999885559082,16.969999313354492,6.0,12.020000457763672,5.981669902801514,17.1299991607666,34.525001525878906,48.91999816894531,28.16666603088379,14.079999923706055,27.649999618530273,20.07135581970215,16.8799991607666,,14.06386661529541,12.45199966430664,22.309999465942383,18.290000915527344,24.399999618530273,29.059999465942383,9.739999771118164,9.90999984741211,,5.211537837982178,,18.59000015258789,,19.760000228881836,6.0,6.900000095367432,,16.520000457763672,10.485260009765625,30.823999404907227,4.901215076446533,18.1299991607666,5.199999809265137,,8.482500076293945,20.260000228881836,8.437360763549805,16.8700008392334,,9.300000190734863,10.136483192443848,18.18000030517578,,13.890000343322754,13.244965553283691,2.109999895095825,5.78000020980835,10.279999732971191,2.9860000610351562,2.119999885559082,8.079999923706055,52569.0
18.58787727355957,13.298065185546875,19.290000915527344,,9.289999961853027,16.059999465942383,5.883333206176758,11.34000015258789,5.911297798156738,17.0,34.69499969482422,48.130001068115234,28.274999618530273,13.850000381469727,26.889999389648438,19.882776260375977,16.299999237060547,,13.960380554199219,12.5,22.15999984741211,17.709999084472656,24.1200008392334,28.829999923706055,9.895999908447266,9.529999732971191,,5.15384578704834,,18.010000228881836,,18.899999618530273,5.714284896850586,6.869999885559082,,16.389999389648438,10.022674560546875,31.0,5.010416030883789,17.709999084472656,5.260000228881836,,8.427499771118164,20.393333435058594,8.056661605834961,16.65999984741211,,8.609999656677246,10.300121307373047,18.719999313354492,,13.890000343322754,13.744775772094727,2.0199999809265137,5.619999885559082,10.069999694824219,3.058000087738037,2.0299999713897705,7.710000038146973,51842.0
18.660606384277344,13.298065185546875,19.18000030517578,,9.5,16.290000915527344,5.8333330154418945,11.6899995803833,5.880021095275879,16.959999084472656,34.58000183105469,48.7599983215332,28.083332061767578,13.569999694824219,26.729999542236328,19.866378784179688,15.9399995803833,,13.89311408996582,12.34000015258789,22.100000381469727,17.760000228881836,23.700000762939453,29.09000015258789,9.814000129699707,9.6899995803833,,5.15384578704834,,18.06999969482422,,18.600000381469727,5.84761905670166,6.809999942779541,,16.110000610351562,10.098260879516602,31.191999435424805,4.856249809265137,18.0,5.309999942779541,,8.572500228881836,20.073333740234375,8.304558753967285,16.0,,9.0600004196167,10.354666709899902,18.579999923706055,,13.880000114440918,13.544852256774902,2.069999933242798,5.550000190734863,9.920000076293945,3.01200008392334,2.069999933242798,7.559999942779541,51902.0
18.84848403930664,13.349807739257812,19.100000381469727,,9.5600004196167,16.020000457763672,5.876666069030762,11.970000267028809,5.926936149597168,16.75,34.86000061035156,49.0099983215332,28.78333282470703,13.5600004196167,26.479999542236328,20.0467586517334,16.149999618530273,,13.950032234191895,12.130000114440918,22.5,17.65999984741211,24.40999984741211,28.389999389648438,9.9399995803833,9.5600004196167,,5.2076921463012695,,18.229999542236328,,18.5,5.723808765411377,6.96999979019165,,15.609999656677246,10.191987037658691,31.368000030517578,4.702083110809326,18.3700008392334,5.380000114440918,,8.550000190734863,20.170000076293945,8.100929260253906,16.200000762939453,,8.539999961853027,10.200119972229004,19.239999771118164,,13.90999984741211,13.824746131896973,2.0199999809265137,5.630000114440918,10.0,2.947999954223633,2.0199999809265137,7.429999828338623,52015.0
19.357574462890625,13.717185974121094,19.399999618530273,,9.84000015258789,16.190000534057617,6.050000190734863,12.300000190734863,6.0989580154418945,17.229999542236328,35.375,49.5,29.16666603088379,14.119999885559082,27.75,20.90766143798828,16.600000381469727,,14.250144004821777,12.39799976348877,22.459999084472656,17.84000015258789,24.709999084472656,29.420000076293945,9.920000076293945,9.880000114440918,,5.269229888916016,,18.739999771118164,,18.40999984741211,5.866665840148926,7.139999866485596,,15.100000381469727,10.491307258605957,31.464000701904297,5.003993034362793,19.350000381469727,5.539999961853027,,8.625,20.42333221435547,8.3134126663208,16.6200008392334,,9.0600004196167,10.391031265258789,19.920000076293945,,13.979999542236328,13.994682312011719,2.0399999618530273,5.599999904632568,10.100000381469727,3.0420000553131104,2.0399999618530273,7.699999809265137,53141.0
19.545454025268555,13.872417449951172,19.399999618530273,,10.359999656677246,16.860000610351562,6.139999866485596,12.890000343322754,6.106777191162109,18.020000457763672,35.654998779296875,50.619998931884766,29.708332061767578,14.119999885559082,27.600000381469727,21.317615509033203,16.670000076293945,,14.281189918518066,12.588000297546387,22.459999084472656,17.709999084472656,24.75,30.09000015258789,9.930000305175781,9.649999618530273,,5.15384578704834,,19.149999618530273,,18.469999313354492,5.971427917480469,7.340000152587891,,15.199999809265137,10.47014331817627,32.15999984741211,5.492187023162842,19.760000228881836,5.630000114440918,,8.6875,20.65333366394043,8.6321382522583,17.200000762939453,,9.140000343322754,10.681943893432617,21.600000381469727,,14.1899995803833,15.174233436584473,2.109999895095825,5.559999942779541,10.180000305175781,3.242000102996826,2.069999933242798,7.800000190734863,53960.0
19.381818771362305,13.758581161499023,19.299999237060547,,10.649999618530273,17.690000534057617,6.233333110809326,13.289999961853027,6.012947082519531,17.790000915527344,35.724998474121094,51.20000076293945,29.66666603088379,14.630000114440918,28.100000381469727,21.399606704711914,16.399999618530273,,14.301886558532715,12.6899995803833,22.350000381469727,17.979999542236328,24.729999542236328,29.799999237060547,9.979999542236328,9.5600004196167,,5.080769062042236,,18.649999618530273,,18.559999465942383,6.3238091468811035,7.309999942779541,,15.399999618530273,10.61224365234375,32.02399826049805,5.485763072967529,20.059999465942383,5.510000228881836,,8.65250015258789,20.196666717529297,8.915449142456055,17.5,,9.569999694824219,10.509215354919434,21.770000457763672,,14.420000076293945,15.454127311706543,2.259999990463257,5.440000057220459,10.050000190734863,3.2300000190734863,2.130000114440918,7.710000038146973,54256.0
19.781818389892578,14.06386661529541,19.100000381469727,,10.630000114440918,17.81999969482422,6.373332977294922,12.989999771118164,6.15369176864624,18.049999237060547,34.95000076293945,50.5099983215332,29.316665649414062,15.029999732971191,28.190000534057617,21.317615509033203,16.110000610351562,,14.519209861755371,12.67199993133545,22.579999923706055,17.8700008392334,24.969999313354492,30.06999969482422,10.029999732971191,10.0,,5.150000095367432,,18.920000076293945,,18.420000076293945,6.609522819519043,7.619999885559082,,15.399999618530273,10.569915771484375,32.215999603271484,5.215971946716309,20.610000610351562,5.349999904632568,,8.600000381469727,20.406665802001953,9.02169132232666,18.100000381469727,,9.640000343322754,10.618307113647461,20.75,,14.5,15.214218139648438,2.309999942779541,5.400000095367432,9.960000038146973,3.256999969482422,2.1500000953674316,7.880000114440918,54598.0
20.3454532623291,14.643394470214844,19.100000381469727,,10.930000305175781,17.350000381469727,6.606666088104248,13.319999694824219,6.42736291885376,19.010000228881836,35.564998626708984,50.91999816894531,29.458332061767578,15.449999809265137,29.040000915527344,21.15363311767578,16.149999618530273,,15.005598068237305,12.616000175476074,22.5,17.8799991607666,25.280000686645508,30.25,9.930000305175781,9.819999694824219,,5.300000190734863,,19.290000915527344,,18.309999465942383,6.466666221618652,7.78000020980835,,15.75,10.733181953430176,32.59199905395508,5.556423187255859,20.389999389648438,5.400000095367432,,8.725000381469727,20.59666633605957,8.862327575683594,18.299999237060547,,9.779999732971191,10.791035652160645,21.5,,14.600000381469727,15.893959999084473,2.3399999141693115,5.380000114440918,10.289999961853027,3.3310000896453857,2.1700000762939453,7.800000190734863,55481.0
