ITUB4.SA,VALE3.SA,BBDC4.SA,PETR4.SA,PETR3.SA,B3SA3.SA,ABEV3.SA,BBAS3.SA,ITSA4.SA,LREN3.SA,JBSS3.SA,BBDC3.SA,IRBR3.SA,MGLU3.SA,SUZB3.SA,RENT3.SA,BRFS3.SA,RAIL3.SA,UGPA3.SA,GNDI3.SA,WEGE3.SA,BBSE3.SA,RADL3.SA,VIVT4.SA,EQTL3.SA,VBBR3.SA,GGBR4.SA,CCRO3.SA,SBSP3.SA,AZUL4.SA,LAME4.SA,SANB11.SA,COGN3.SA,BRML3.SA,EMBR3.SA,BPAC11.SA,HYPE3.SA,PCAR4.SA,YDUQ3.SA,CMIG4.SA,VIIA3.SA,NTCO3.SA,EGIE3.SA,TIMS3.SA,AMER3.SA,ELET3.SA,KLBN11.SA,CSAN3.SA,CIEL3.SA,FLRY3.SA,CSNA3.SA,MULT3.SA,QUAL3.SA,ELET6.SA,BRAP4.SA,CYRE3.SA,BRKM5.SA,TAEE11.SA,CVCB3.SA,MRVE3.SA,ENBR3.SA,GOAU4.SA,GOLL4.SA,USIM5.SA,IGTA3.SA,MRFG3.SA,ECOR3.SA,SMLS3.SA,^BVSP
37.0,51.09000015258789,25.28800392150879,24.059999465942383,26.649999618530273,9.263333320617676,16.149999618530273,48.599998474121094,10.952380180358887,39.277706146240234,12.039999961853027,22.39544105529785,638.71044921875,5.812187194824219,38.599998474121094,29.399999618530273,22.3799991607666,16.950000762939453,27.170000076293945,,8.989999771118164,28.31999969482422,11.34000015258789,,14.982000350952148,26.0,14.476189613342285,12.0,34.369998931884766,36.33000183105469,,45.7400016784668,9.25,,21.540000915527344,6.224999904632568,31.149999618530273,,24.850000381469727,9.475988388061523,4.380000114440918,,34.13999938964844,12.149999618530273,42.501792907714844,24.280773162841797,16.309999465942383,8.925000190734863,9.630000114440918,20.149999618530273,9.210000038146973,24.920000076293945,13.640000343322754,32.2599983215332,27.525453567504883,15.869999885559082,48.310001373291016,24.209999084472656,61.099998474121094,12.640000343322754,14.180000305175781,7.159999847412109,25.450000762939453,9.760000228881836,,5.650000095367432,9.720000267028809,,91012.0
37.61000061035156,49.0,25.532180786132812,24.649999618530273,27.200000762939453,9.666666030883789,16.329999923706055,48.79999923706055,11.047618865966797,38.78166580200195,12.229999542236328,22.85249137878418,631.1962280273438,5.75,36.95000076293945,28.91428565979004,21.489999771118164,17.440000534057617,26.665000915527344,,9.194999694824219,28.6299991607666,11.314000129699707,,15.399999618530273,26.600000381469727,14.380951881408691,12.390000343322754,37.02000045776367,36.369998931884766,,47.25,9.359999656677246,,21.899999618530273,6.482500076293945,31.600000381469727,,24.829999923706055,9.277191162109375,4.309999942779541,,35.2599983215332,11.920000076293945,42.93669509887695,30.988224029541016,16.729999542236328,9.0600004196167,9.399999618530273,20.450000762939453,9.319999694824219,25.100000381469727,13.720000267028809,34.20000076293945,26.47188949584961,16.1299991607666,48.599998474121094,24.280000686645508,60.709999084472656,12.630000114440918,14.770000457763672,7.190000057220459,25.6299991607666,9.550000190734863,,5.690000057220459,9.920000076293945,,91564.0
36.97999954223633,52.189998626708984,25.331829071044922,24.719999313354492,27.510000228881836,9.316665649414062,16.549999237060547,48.79999923706055,11.01298713684082,37.29352951049805,12.550000190734863,22.35161590576172,624.1420288085938,5.574999809265137,37.56999969482422,28.619047164916992,21.450000762939453,17.200000762939453,26.485000610351562,,9.300000190734863,28.350000381469727,11.47599983215332,,15.600000381469727,26.700000762939453,14.761903762817383,12.25,37.86000061035156,36.25,,47.20000076293945,9.369999885559082,,20.799999237060547,6.712500095367432,31.450000762939453,,25.209999084472656,9.184418678283691,4.269999980926514,,35.52000045776367,11.979999542236328,41.51337814331055,30.518402099609375,17.0,9.007499694824219,10.149999618530273,20.850000381469727,9.75,24.59000015258789,13.479999542236328,33.959999084472656,28.260292053222656,15.989999771118164,48.060001373291016,25.239999771118164,59.95000076293945,12.449999809265137,14.880000114440918,7.369999885559082,25.0,10.109999656677246,,5.679999828338623,9.960000038146973,,91841.0
37.04999923706055,51.90999984741211,25.632356643676758,25.110000610351562,28.399999618530273,9.266666412353516,16.479999542236328,48.47999954223633,11.004328727722168,36.43672561645508,12.109999656677246,22.539443969726562,630.4295043945312,5.661561965942383,35.849998474121094,28.08571434020996,21.59000015258789,16.899999618530273,25.674999237060547,,9.154999732971191,27.93000030517578,11.220000267028809,,15.699999809265137,26.850000381469727,14.800000190734863,11.899999618530273,37.0,35.29999923706055,,47.9900016784668,9.130000114440918,,21.229999542236328,6.849999904632568,30.950000762939453,,24.709999084472656,8.91273021697998,4.239999771118164,,35.29999923706055,12.369999885559082,39.674930572509766,28.988983154296875,17.0,8.875,10.0600004196167,21.149999618530273,9.770000457763672,24.239999771118164,13.079999923706055,32.5,28.48162841796875,15.899999618530273,47.720001220703125,24.81999969482422,60.70000076293945,12.5600004196167,14.449999809265137,7.420000076293945,23.899999618530273,10.130000114440918,,5.579999923706055,9.84000015258789,,91699.0
37.52000045776367,52.40999984741211,25.78887939453125,24.959999084472656,28.25,9.293333053588867,16.149999618530273,47.93000030517578,11.151515007019043,37.609195709228516,12.300000190734863,22.78988265991211,636.4102172851562,5.615937232971191,36.20000076293945,28.104761123657227,22.93000030517578,17.1200008392334,25.25,,9.079999923706055,27.520000457763672,11.630000114440918,,15.739999771118164,25.950000762939453,14.819046974182129,12.239999771118164,37.13999938964844,34.720001220703125,,46.36000061035156,9.199999809265137,,21.360000610351562,6.552499771118164,30.899999618530273,,24.940000534057617,8.866344451904297,4.039999961853027,,35.70000076293945,12.84000015258789,41.51337814331055,30.468421936035156,17.06999969482422,8.97249984741211,9.720000267028809,21.399999618530273,9.800000190734863,24.06999969482422,13.300000190734863,33.59000015258789,28.277999877929688,15.789999961853027,47.689998626708984,24.799999237060547,58.709999084472656,13.050000190734863,14.5,7.369999885559082,23.59000015258789,9.770000457763672,,5.559999942779541,9.819999694824219,,92032.0
38.09000015258789,53.689998626708984,26.233407974243164,25.479999542236328,28.81999969482422,9.336666107177734,16.3799991607666,47.79999923706055,11.298701286315918,38.420902252197266,12.199999809265137,23.265714645385742,634.7233276367188,5.597187042236328,38.369998931884766,28.761903762817383,23.549999237060547,17.200000762939453,26.059999465942383,,9.180000305175781,26.649999618530273,12.222000122070312,,15.989999771118164,26.010000228881836,15.2380952835083,12.699999809265137,37.599998474121094,35.150001525878906,,47.0,9.579999923706055,,21.280000686645508,6.5625,30.600000381469727,,26.709999084472656,9.005501747131348,4.010000228881836,,36.650001525878906,12.989999771118164,44.26116943359375,30.588375091552734,17.450000762939453,9.704999923706055,10.130000114440918,21.079999923706055,9.880000114440918,24.3700008392334,13.640000343322754,33.93000030517578,29.039396286010742,15.850000381469727,48.0099983215332,24.799999237060547,59.06999969482422,13.59000015258789,14.59000015258789,7.550000190734863,23.479999542236328,10.09000015258789,,5.590000152587891,10.010000228881836,,93613.0
37.83000183105469,53.099998474121094,26.152015686035156,25.260000228881836,28.68000030517578,9.423333168029785,16.850000381469727,48.5,11.220779418945312,38.47501754760742,12.15999984741211,23.334585189819336,621.6884155273438,5.651562213897705,38.86000061035156,28.619047164916992,23.450000762939453,17.469999313354492,26.735000610351562,,9.25,27.399999618530273,12.704000473022461,,16.197999954223633,25.75,14.84761905670166,12.90999984741211,37.83000183105469,35.90999984741211,,47.4900016784668,9.65999984741211,,20.989999771118164,6.482500076293945,30.899999618530273,,27.100000381469727,9.164539337158203,4.420000076293945,,36.220001220703125,12.5,45.96124267578125,30.988224029541016,17.389999389648438,9.9350004196167,11.09000015258789,21.479999542236328,9.979999542236328,24.170000076293945,13.680000305175781,34.369998931884766,28.950862884521484,16.100000381469727,47.5099983215332,25.0,60.0,13.460000038146973,14.729999542236328,7.519999980926514,23.25,10.329999923706055,,5.510000228881836,10.199999809265137,,93806.0
37.599998474121094,52.380001068115234,25.982969284057617,24.989999771118164,28.5,9.623332977294922,17.290000915527344,48.70000076293945,11.082250595092773,37.61821365356445,12.479999542236328,23.240671157836914,609.1902465820312,5.550000190734863,38.86000061035156,28.076190948486328,22.950000762939453,17.420000076293945,26.594999313354492,,9.345000267028809,27.75,12.800000190734863,,16.266000747680664,25.799999237060547,14.495238304138184,13.399999618530273,39.4900016784668,37.20000076293945,,47.38999938964844,9.850000381469727,,21.530000686645508,6.474999904632568,32.97999954223633,,27.3700008392334,9.184418678283691,4.510000228881836,,36.81999969482422,12.460000038146973,44.55769348144531,30.948238372802734,17.15999984741211,9.737500190734863,10.710000038146973,21.350000381469727,9.859999656677246,23.690000534057617,14.199999809265137,34.29999923706055,28.853473663330078,16.549999237060547,48.18000030517578,25.489999771118164,59.0,13.34000015258789,14.789999961853027,7.340000152587891,24.959999084472656,10.180000305175781,,5.550000190734863,10.449999809265137,,93658.0
37.880001068115234,52.599998474121094,26.289756774902344,24.850000381469727,28.399999618530273,9.836666107177734,17.540000915527344,49.83000183105469,11.246752738952637,36.932769775390625,12.6899995803833,23.265714645385742,606.506591796875,5.59375,39.0,27.97142791748047,22.670000076293945,18.0,26.78499984741211,,9.449999809265137,28.0,12.753999710083008,,16.642000198364258,26.299999237060547,14.476189613342285,14.0,41.599998474121094,37.470001220703125,,48.369998931884766,10.199999809265137,,21.6200008392334,6.409999847412109,33.0099983215332,,28.600000381469727,9.237430572509766,4.820000171661377,,37.310001373291016,12.460000038146973,45.07167053222656,30.928247451782227,17.81999969482422,9.800000190734863,10.899999618530273,22.200000762939453,9.770000457763672,23.709999084472656,14.800000190734863,34.09000015258789,28.959716796875,16.850000381469727,48.279998779296875,25.520000457763672,59.0099983215332,13.880000114440918,14.960000038146973,7.340000152587891,25.15999984741211,9.869999885559082,,5.71999979019165,10.710000038146973,,94474.0
37.290000915527344,52.349998474121094,26.239669799804688,24.829999923706055,28.309999465942383,9.739999771118164,17.700000762939453,49.25,11.177489280700684,36.7974853515625,12.619999885559082,23.353368759155273,613.4074096679688,5.5303120613098145,42.29999923706055,27.457141876220703,22.43000030517578,17.850000381469727,26.549999237060547,,9.265000343322754,28.1299991607666,12.944000244140625,,16.711999893188477,26.06999969482422,14.190476417541504,13.460000038146973,41.599998474121094,37.0,,47.0,10.09000015258789,,21.760000228881836,6.400000095367432,33.0099983215332,,29.0,9.164539337158203,4.980000019073486,,37.15999984741211,12.479999542236328,45.71413803100586,30.068572998046875,18.34000015258789,9.90250015258789,10.5,21.709999084472656,9.619999885559082,24.149999618530273,14.649999618530273,32.86000061035156,28.69411277770996,16.5,48.33000183105469,25.149999618530273,59.459999084472656,13.800000190734863,15.300000190734863,7.199999809265137,24.3700008392334,9.739999771118164,,5.71999979019165,10.539999961853027,,94056.0
