ITUB4.SA,ABEV3.SA,BBDC4.SA,PETR4.SA,BRFS3.SA,PETR3.SA,ITSA4.SA,CIEL3.SA,VALE5.SA,B3SA3.SA,UGPA3.SA,BBAS3.SA,VALE3.SA,COGN3.SA,BBSE3.SA,VIVT4.SA,JBSS3.SA,BBDC3.SA,LREN3.SA,CCRO3.SA,RADL3.SA,CTIP3.SA,HYPE3.SA,LAME4.SA,EMBR3.SA,SBSP3.SA,WEGE3.SA,EQTL3.SA,SANB11.SA,PCAR4.SA,CPFE3.SA,EGIE3.SA,GGBR4.SA,KLBN11.SA,BRML3.SA,CMIG4.SA,BRKM5.SA,TIMS3.SA,RENT3.SA,CSAN3.SA,CSNA3.SA,NATU3.SA,FIBR3.SA,RUMO3.SA,MULT3.SA,YDUQ3.SA,QUAL3.SA,SUZB5.SA,CPLE6.SA,ENBR3.SA,MRVE3.SA,SMLS3.SA,CYRE3.SA,BRAP4.SA,GOAU4.SA,MRFG3.SA,ECOR3.SA,USIM5.SA,^BVSP
16.951515197753906,20.059999465942383,10.588589668273926,7.769999980926514,71.44999694824219,9.149999618530273,5.27439022064209,26.90972137451172,,3.926666021347046,34.6150016784668,15.920000076293945,17.81999969482422,8.529999732971191,26.670000076293945,,16.81999969482422,11.704835891723633,15.898021697998047,12.300000190734863,8.12600040435791,,15.829999923706055,,25.299999237060547,17.030000686645508,6.2846150398254395,6.894000053405762,13.449999809265137,,14.67208194732666,26.760000228881836,5.390476226806641,22.780000686645508,,4.515798091888428,17.989999771118164,7.769999980926514,7.4225239753723145,5.332499980926514,3.7799999713897705,,,,14.543333053588867,15.670000076293945,15.479999542236328,,3.242000102996826,11.812289237976074,6.000070095062256,,8.329999923706055,7.791057109832764,3.009999990463257,6.829999923706055,6.650000095367432,3.1600000858306885,47033.0
17.30908966064453,20.350000381469727,10.899049758911133,7.820000171661377,71.31999969482422,9.399999618530273,5.395232200622559,26.66666603088379,,3.8499999046325684,34.5,16.15999984741211,18.139999389648438,8.8100004196167,26.959999084472656,,16.799999237060547,11.976279258728027,15.701244354248047,11.930000305175781,7.869999885559082,,15.989999771118164,,25.739999771118164,17.200000762939453,6.438460826873779,6.809999942779541,13.829999923706055,,14.681838035583496,26.559999465942383,5.67618989944458,23.3700008392334,,4.560762882232666,18.06999969482422,7.800000190734863,7.688586235046387,5.304999828338623,4.090000152587891,,,,14.539999961853027,15.949999809265137,16.020000457763672,,3.2850000858306885,11.4967679977417,6.100071907043457,,8.649999618530273,7.835324764251709,3.140000104904175,6.860000133514404,6.820000171661377,3.299999952316284,47598.0
17.466665267944336,19.889999389648438,11.00253677368164,8.1899995803833,68.9000015258789,9.890000343322754,5.473423957824707,26.9375,,3.846666097640991,34.375,16.530000686645508,18.309999465942383,8.960000038146973,26.979999542236328,,16.200000762939453,12.121360778808594,15.988211631774902,11.779999732971191,8.045999526977539,,16.530000686645508,,25.399999618530273,16.979999542236328,6.423076152801514,6.800000190734863,13.9399995803833,,14.535507202148438,26.360000610351562,5.723808765411377,22.8700008392334,,4.477256774902344,18.93000030517578,7.78000020980835,7.52834415435791,5.5625,4.440000057220459,,,,14.5600004196167,14.829999923706055,16.700000762939453,,3.2079999446868896,11.743268966674805,6.100071907043457,,8.800000190734863,7.9238600730896,3.2100000381469727,6.980000019073486,6.570000171661377,3.319999933242798,47735.0
17.96363639831543,20.0,11.397668838500977,8.470000267028809,66.47000122070312,10.399999618530273,5.644023895263672,26.958332061767578,,3.856666088104248,34.42499923706055,17.93000030517578,20.149999618530273,9.430000305175781,28.299999237060547,,15.75,12.542567253112793,16.39816665649414,12.079999923706055,8.338000297546387,,17.25,,26.280000686645508,17.350000381469727,6.476922988891602,6.900000095367432,15.170000076293945,,14.769636154174805,26.29599952697754,6.123808860778809,23.420000076293945,,4.541492938995361,18.940000534057617,7.829999923706055,7.649281024932861,5.789999961853027,4.699999809265137,,,,14.453332901000977,15.319999694824219,16.59000015258789,,3.1700000762939453,11.644667625427246,6.345529079437256,,8.729999542236328,8.393094062805176,3.380000114440918,6.809999942779541,6.639999866485596,3.390000104904175,48914.0
18.030302047729492,19.68000030517578,11.407076835632324,8.75,66.0,10.75,5.665349006652832,27.11111068725586,,3.890000104904175,34.35499954223633,17.670000076293945,20.059999465942383,9.529999732971191,28.260000228881836,,15.600000381469727,12.565966606140137,16.38996696472168,12.359999656677246,8.447999954223633,,17.25,,26.25,17.719999313354492,6.25,6.863999843597412,15.180000305175781,,15.296425819396973,26.559999465942383,6.35237979888916,22.6200008392334,,4.528645038604736,19.049999237060547,7.800000190734863,7.876039028167725,5.637499809265137,5.0,,,,15.16333293914795,16.200000762939453,16.8799991607666,,3.132999897003174,11.822149276733398,6.300074100494385,,8.8100004196167,8.322265625,3.4800000190734863,6.880000114440918,6.920000076293945,3.6700000762939453,49107.0
17.909090042114258,19.790000915527344,11.284773826599121,8.800000190734863,66.62000274658203,10.710000038146973,5.707999229431152,27.40277671813965,,3.9733328819274902,34.40999984741211,18.510000228881836,20.790000915527344,9.859999656677246,29.290000915527344,,15.0,12.472366333007812,16.01280975341797,12.699999809265137,8.265999794006348,,17.690000534057617,,26.510000228881836,17.5,6.138461112976074,6.915999889373779,15.5,,14.994009971618652,26.31999969482422,6.390476226806641,22.3799991607666,,4.625,18.950000762939453,7.800000190734863,8.045351028442383,5.849999904632568,5.329999923706055,,,,15.143333435058594,16.719999313354492,17.34000015258789,,3.1700000762939453,11.595368385314941,6.52734899520874,,9.050000190734863,8.375387191772461,3.3499999046325684,6.659999847412109,6.949999809265137,3.7300000190734863,49338.0
16.951515197753906,18.700000762939453,10.668557167053223,8.130000114440918,66.06999969482422,9.84000015258789,5.487639904022217,26.35416603088379,,3.923332929611206,34.0,16.969999313354492,18.579999923706055,9.050000190734863,28.850000381469727,,15.0,11.775035858154297,15.701244354248047,12.739999771118164,8.149999618530273,,16.56999969482422,,25.65999984741211,17.5,6.2846150398254395,6.900000095367432,14.119999885559082,,14.974498748779297,26.280000686645508,6.0,22.899999618530273,,4.65711784362793,18.850000381469727,7.75,7.860921859741211,5.612500190734863,4.659999847412109,,,,14.963333129882812,16.059999465942383,16.549999237060547,,3.2279999256134033,11.743268966674805,6.445529937744141,,8.949999809265137,7.552013874053955,3.059999942779541,6.489999771118164,6.860000133514404,3.299999952316284,47363.0
16.7939395904541,18.399999618530273,10.612109184265137,7.960000038146973,64.19999694824219,9.5600004196167,5.359690189361572,25.69444465637207,,3.7666659355163574,33.630001068115234,16.809999465942383,18.700000762939453,8.899999618530273,28.200000762939453,,14.739999771118164,11.793757438659668,15.57825756072998,12.399999618530273,7.992000102996826,,16.420000076293945,,25.079999923706055,17.25,6.211537837982178,6.829999923706055,13.90999984741211,,14.486729621887207,26.040000915527344,6.009522914886475,22.540000915527344,,4.605729103088379,18.920000076293945,7.75,7.679515838623047,5.637499809265137,4.440000057220459,,,,14.683333396911621,16.0,16.739999771118164,,3.188999891281128,11.506628036499023,6.418257236480713,,8.90999984741211,7.702523231506348,3.0199999809265137,6.239999771118164,6.739999771118164,3.299999952316284,46710.0
16.51515007019043,19.110000610351562,10.574478149414062,8.0,65.95999908447266,9.65999984741211,5.338365077972412,26.333332061767578,,3.8399999141693115,33.25,16.56999969482422,18.969999313354492,9.930000305175781,28.209999084472656,,14.819999694824219,11.71419620513916,15.988211631774902,12.819999694824219,8.069999694824219,,16.450000762939453,,25.90999984741211,17.040000915527344,6.226922988891602,6.921999931335449,14.050000190734863,,14.681838035583496,26.56800079345703,6.085713863372803,22.43000030517578,,4.663540840148926,18.68000030517578,7.809999942779541,7.52834415435791,5.550000190734863,4.690000057220459,,,,14.539999961853027,16.610000610351562,16.65999984741211,,3.25,11.881308555603027,6.572803974151611,,8.84000015258789,7.897298812866211,3.0199999809265137,6.429999828338623,6.800000190734863,3.359999895095825,47161.0
16.266666412353516,19.290000915527344,10.372207641601562,7.949999809265137,67.30000305175781,9.699999809265137,5.245956897735596,26.97916603088379,,3.813333034515381,33.97999954223633,16.280000686645508,18.420000076293945,10.0,28.700000762939453,,15.119999885559082,11.578474044799805,16.47195816040039,13.069999694824219,8.130000114440918,,16.200000762939453,,26.450000762939453,17.0,6.15384578704834,6.880000114440918,14.399999618530273,,14.340399742126465,26.944000244140625,5.904760837554932,22.579999923706055,,4.5671868324279785,19.809999465942383,7.739999771118164,7.649281024932861,5.639999866485596,5.019999980926514,,,,14.739999771118164,16.479999542236328,16.75,,3.2699999809265137,11.516488075256348,6.600078105926514,,9.09000015258789,7.737936973571777,3.0399999618530273,6.480000019073486,6.889999866485596,3.3299999237060547,47236.0
