VALE3.SA,ITUB4.SA,BBDC4.SA,PETR4.SA,PETR3.SA,ABEV3.SA,B3SA3.SA,BBAS3.SA,ITSA4.SA,LREN3.SA,SUZB3.SA,JBSS3.SA,UGPA3.SA,BBDC3.SA,RAIL3.SA,VIVT4.SA,BRFS3.SA,RENT3.SA,BBSE3.SA,SANB11.SA,GGBR4.SA,EQTL3.SA,COGN3.SA,PCAR4.SA,EMBR3.SA,BRKM5.SA,RADL3.SA,CMIG4.SA,WEGE3.SA,CCRO3.SA,SBSP3.SA,LAME4.SA,MGLU3.SA,EGIE3.SA,CIEL3.SA,CSNA3.SA,BRML3.SA,HYPE3.SA,KLBN11.SA,ELET3.SA,TIMS3.SA,ELET6.SA,YDUQ3.SA,CVCB3.SA,VBBR3.SA,NATU3.SA,BRAP4.SA,AMER3.SA,CSAN3.SA,FLRY3.SA,MULT3.SA,TAEE11.SA,USIM5.SA,ENBR3.SA,GOAU4.SA,CYRE3.SA,MRVE3.SA,QUAL3.SA,GOLL4.SA,IGTA3.SA,SMLS3.SA,MRFG3.SA,ECOR3.SA,VIIA3.SA,LOGG3.SA,^BVSP
43.0,34.03333282470703,22.2764835357666,20.899999618530273,22.739999771118164,23.850000381469727,8.829999923706055,40.25,10.791027069091797,30.772798538208008,33.529998779296875,9.399999618530273,35.150001525878906,21.34986114501953,12.800000190734863,,22.920000076293945,26.95237922668457,28.739999771118164,39.5099983215332,14.895237922668457,14.27400016784668,13.489999771118164,,21.299999237060547,46.59000015258789,14.88599967956543,5.506674766540527,8.584614753723145,12.140000343322754,34.400001525878906,,3.059999942779541,30.79199981689453,20.450000762939453,8.9399995803833,,35.439998626708984,20.3799991607666,20.922048568725586,14.109999656677246,23.610000610351562,34.599998474121094,58.9900016784668,22.350000381469727,,28.313413619995117,24.641155242919922,10.15999984741211,26.649999618530273,22.773332595825195,21.510000228881836,10.930000305175781,13.279999732971191,7.159999847412109,15.319999694824219,14.581990242004395,22.1200008392334,21.350000381469727,,,5.829999923706055,8.300000190734863,8.300000190734863,,84666.0
42.869998931884766,33.71333312988281,22.514400482177734,20.709999084472656,22.799999237060547,24.200000762939453,8.816665649414062,39.720001220703125,10.735930442810059,30.46615219116211,34.400001525878906,9.100000381469727,34.349998474121094,21.63786506652832,12.829999923706055,,23.149999618530273,27.428571701049805,28.3700008392334,39.90999984741211,14.980952262878418,14.196000099182129,13.220000267028809,,21.600000381469727,46.220001220703125,14.84000015258789,5.559688091278076,8.584614753723145,12.130000114440918,34.720001220703125,,3.03125,30.368000030517578,20.489999771118164,8.789999961853027,,35.349998474121094,20.850000381469727,21.291908264160156,14.739999771118164,24.09000015258789,34.0,57.209999084472656,22.459999084472656,,28.224878311157227,25.204551696777344,10.149999618530273,26.3799991607666,22.466665267944336,21.6200008392334,10.720000267028809,13.149999618530273,7.159999847412109,14.960000038146973,14.272894859313965,22.40999984741211,21.34000015258789,,,5.949999809265137,8.489999771118164,8.420000076293945,,84623.0
42.54999923706055,33.93333435058594,22.320310592651367,20.3799991607666,22.719999313354492,24.190000534057617,8.723333358764648,40.04999923706055,10.74380111694336,30.601438522338867,35.88999938964844,9.100000381469727,34.54499816894531,21.72551918029785,12.4399995803833,,23.059999465942383,28.0,28.299999237060547,39.529998779296875,14.619047164916992,14.350000381469727,12.8100004196167,,21.280000686645508,46.31999969482422,14.432000160217285,5.493422031402588,8.588460922241211,12.010000228881836,34.25,,3.015625,30.535999298095703,20.049999237060547,8.600000381469727,,36.060001373291016,21.450000762939453,21.611787796020508,14.34000015258789,24.899999618530273,34.40999984741211,57.349998474121094,22.290000915527344,,27.923860549926758,24.463241577148438,10.074999809265137,26.100000381469727,22.190000534057617,21.920000076293945,10.5,13.25,7.050000190734863,14.65999984741211,14.200166702270508,22.0,20.559999465942383,,,6.059999942779541,8.670000076293945,8.1899995803833,,84360.0
43.25,34.0,22.38918113708496,21.149999618530273,23.34000015258789,24.030000686645508,8.923333168029785,41.220001220703125,10.71231746673584,30.808874130249023,36.5,8.930000305175781,34.54999923706055,21.318557739257812,13.09000015258789,,22.049999237060547,27.66666603088379,28.790000915527344,39.70000076293945,15.600000381469727,14.5,13.15999984741211,,21.770000457763672,46.959999084472656,14.0,5.506674766540527,8.55384635925293,12.239999771118164,34.36000061035156,,3.084062099456787,30.90399932861328,20.079999923706055,8.869999885559082,,36.689998626708984,21.270000457763672,22.341510772705078,14.600000381469727,25.700000762939453,35.5,58.0,22.670000076293945,,28.455068588256836,25.056289672851562,9.967499732971191,26.110000610351562,22.31999969482422,21.719999313354492,10.579999923706055,13.329999923706055,7.510000228881836,15.199999809265137,14.009256362915039,21.889999389648438,20.989999771118164,,,6.25,8.970000267028809,8.140000343322754,,85210.0
42.7400016784668,34.166664123535156,22.320310592651367,21.280000686645508,23.579999923706055,23.25,8.936665534973145,40.68000030517578,10.625737190246582,30.56536293029785,37.9900016784668,9.100000381469727,34.5,21.155771255493164,13.600000381469727,,22.360000610351562,27.628570556640625,28.549999237060547,38.81999969482422,15.36190414428711,14.284000396728516,13.34000015258789,,21.649999618530273,46.41999816894531,13.579999923706055,5.453662872314453,8.369230270385742,12.100000381469727,34.11000061035156,,3.065624952316284,30.56800079345703,20.219999313354492,8.619999885559082,,36.20000076293945,21.219999313354492,20.292287826538086,14.550000190734863,23.600000381469727,35.34000015258789,58.70000076293945,23.219999313354492,,28.455068588256836,24.305095672607422,9.895000457763672,26.040000915527344,22.133333206176758,21.239999771118164,10.430000305175781,13.220000267028809,7.449999809265137,15.390000343322754,14.29107666015625,21.59000015258789,23.889999389648438,,,6.21999979019165,9.029999732971191,8.140000343322754,,84820.0
42.95000076293945,33.40666580200195,21.475080490112305,20.530000686645508,22.899999618530273,23.290000915527344,8.733332633972168,39.20000076293945,10.413223266601562,29.852861404418945,36.970001220703125,8.989999771118164,34.20000076293945,20.12897491455078,13.539999961853027,,21.360000610351562,27.428571701049805,28.450000762939453,38.220001220703125,15.05714225769043,14.199999809265137,13.239999771118164,,20.989999771118164,46.900001525878906,13.399999618530273,5.321131229400635,8.192307472229004,12.029999732971191,33.5,,3.0196869373321533,30.239999771118164,20.450000762939453,8.390000343322754,,36.20000076293945,21.1200008392334,18.353025436401367,14.479999542236328,22.010000228881836,34.650001525878906,57.689998626708984,23.399999618530273,,28.508188247680664,24.581850051879883,9.699999809265137,25.8799991607666,21.59666633605957,20.5,10.0600004196167,13.449999809265137,7.25,14.760000228881836,14.063801765441895,21.399999618530273,22.90999984741211,,,7.389999866485596,8.800000190734863,7.880000114440918,,83307.0
44.84000015258789,33.573333740234375,21.656648635864258,21.399999618530273,23.799999237060547,23.799999237060547,8.760000228881836,38.72999954223633,10.460448265075684,29.410930633544922,36.77000045776367,8.960000038146973,34.0,20.316804885864258,13.75,,21.40999984741211,28.180952072143555,28.649999618530273,38.25,15.371427536010742,14.399999618530273,13.180000305175781,,22.399999618530273,48.20000076293945,13.800000190734863,5.334384918212891,8.269229888916016,12.210000038146973,33.36000061035156,,2.965625047683716,30.799999237060547,19.780000686645508,8.550000190734863,,35.02000045776367,21.0,19.012775421142578,14.6899995803833,23.06999969482422,33.75,58.040000915527344,23.5,,29.924745559692383,24.305095672607422,9.727499961853027,26.260000228881836,22.123332977294922,20.649999618530273,10.109999656677246,13.770000457763672,7.420000076293945,14.770000457763672,13.945618629455566,21.440000534057617,22.450000762939453,,,8.699999809265137,8.850000381469727,7.75,,84510.0
44.63999938964844,34.12666702270508,22.163785934448242,21.799999237060547,24.350000381469727,23.850000381469727,8.850000381469727,39.04999923706055,10.452576637268066,29.08624839782715,35.70000076293945,9.180000305175781,33.5,20.81768035888672,14.050000190734863,,22.540000915527344,28.0285701751709,28.219999313354492,39.0,15.257142066955566,14.300000190734863,13.699999809265137,,23.290000915527344,47.790000915527344,13.9399995803833,5.440410137176514,8.311537742614746,12.25,33.97999954223633,,3.0271871089935303,30.399999618530273,19.700000762939453,8.789999961853027,,35.38999938964844,20.809999465942383,18.682899475097656,14.770000457763672,23.149999618530273,33.83000183105469,58.2400016784668,23.420000076293945,,29.85391616821289,24.226022720336914,10.114999771118164,27.010000228881836,21.69333267211914,20.799999237060547,10.210000038146973,13.5,7.420000076293945,14.5600004196167,13.354702949523926,22.010000228881836,21.809999465942383,,,8.199999809265137,9.09000015258789,7.889999866485596,,85246.0
44.810001373291016,34.426666259765625,21.763084411621094,21.68000030517578,24.389999389648438,23.290000915527344,8.963333129882812,38.95000076293945,10.617865562438965,29.89795684814453,36.349998474121094,9.329999923706055,33.150001525878906,20.391935348510742,14.09000015258789,,22.709999084472656,28.123809814453125,28.0,39.400001525878906,15.666666030883789,14.279999732971191,14.100000381469727,,23.020000457763672,48.130001068115234,14.220000267028809,5.566314220428467,8.407691955566406,12.6899995803833,34.099998474121094,,3.109687089920044,30.600000381469727,19.5,8.859999656677246,,36.13999938964844,20.600000381469727,19.272676467895508,14.859999656677246,23.399999618530273,33.91999816894531,58.68000030517578,23.299999237060547,,29.969011306762695,25.847021102905273,10.109999656677246,27.299999237060547,21.489999771118164,20.770000457763672,10.539999961853027,13.520000457763672,7.699999809265137,14.6899995803833,13.772890090942383,22.8700008392334,22.0,,,8.319999694824219,9.489999771118164,8.0,,85444.0
44.97999954223633,33.62666702270508,21.28725242614746,21.200000762939453,23.729999542236328,23.260000228881836,8.806666374206543,37.63999938964844,10.389610290527344,30.060298919677734,36.25,9.119999885559082,32.97999954223633,19.941146850585938,13.970000267028809,,21.670000076293945,28.08571434020996,27.940000534057617,38.79999923706055,15.628570556640625,14.220000267028809,14.239999771118164,,23.06999969482422,47.459999084472656,13.949999809265137,5.420529842376709,8.480769157409668,12.550000190734863,34.150001525878906,,3.070312023162842,30.68000030517578,18.739999771118164,8.760000228881836,,36.11000061035156,20.3799991607666,19.21269989013672,14.760000228881836,23.059999465942383,33.900001525878906,58.29999923706055,23.200000762939453,,30.10181427001953,25.787715911865234,9.862500190734863,26.8799991607666,21.466665267944336,20.5,10.520000457763672,13.449999809265137,7.75,14.199999809265137,13.491067886352539,22.649999618530273,21.200000762939453,,,8.300000190734863,9.25,7.940000057220459,,84334.0
