VALE3.SA,ITUB4.SA,B3SA3.SA,PETR4.SA,BBDC4.SA,PETR3.SA,MGLU3.SA,ABEV3.SA,WEGE3.SA,ITSA4.SA,GNDI3.SA,BBAS3.SA,NTCO3.SA,RENT3.SA,SUZB3.SA,JBSS3.SA,LREN3.SA,VIIA3.SA,RAIL3.SA,RADL3.SA,LAME4.SA,VBBR3.SA,BBDC3.SA,EQTL3.SA,UGPA3.SA,GGBR4.SA,AMER3.SA,VIVT4.SA,BPAC11.SA,BBSE3.SA,SBSP3.SA,KLBN11.SA,BRFS3.SA,CCRO3.SA,HAPV3.SA,TOTS3.SA,HYPE3.SA,SULA11.SA,PCAR3.SA,ELET3.SA,CSNA3.SA,TIMS3.SA,EGIE3.SA,ENGI11.SA,COGN3.SA,IRBR3.SA,BRAP4.SA,CMIG4.SA,SANB11.SA,QUAL3.SA,CSAN3.SA,YDUQ3.SA,AZUL4.SA,CRFB3.SA,FLRY3.SA,BRML3.SA,ELET6.SA,CYRE3.SA,GOAU4.SA,TAEE11.SA,MULT3.SA,BRKM5.SA,MRFG3.SA,CPFE3.SA,ENBR3.SA,USIM5.SA,MRVE3.SA,PRIO3.SA,EMBR3.SA,CIEL3.SA,EZTC3.SA,BEEF3.SA,IGTA3.SA,GOLL4.SA,CVCB3.SA,HGTX3.SA,ECOR3.SA,^BVSP
45.099998474121094,33.279998779296875,14.366665840148926,26.719999313354492,24.154769897460938,28.899999618530273,9.125,18.860000610351562,11.914999961853027,10.952380180358887,,43.41999816894531,,40.666664123535156,32.779998779296875,31.5,48.12623977661133,7.46999979019165,23.8700008392334,19.040000915527344,,26.450000762939453,22.366640090942383,19.54800033569336,19.31999969482422,12.0,48.11000061035156,,14.069999694824219,33.599998474121094,49.0,14.9399995803833,37.540000915527344,16.81999969482422,10.5,19.266666412353516,32.599998474121094,,90.0,37.535736083984375,12.770000457763672,11.520000457763672,43.61000061035156,48.689998626708984,10.800000190734863,842.82177734375,26.20628547668457,9.336830139160156,43.7599983215332,30.770000457763672,13.175000190734863,33.95000076293945,47.90999984741211,20.399999618530273,24.860000610351562,,40.099998474121094,23.350000381469727,5.989999771118164,27.950000762939453,27.270000457763672,30.739999771118164,11.65999984741211,32.150001525878906,19.049999237060547,7.480000019073486,17.799999237060547,3.380000114440918,17.469999313354492,7.510000228881836,35.5,10.157435417175293,,31.0,54.97999954223633,,13.65999984741211,101031.0
45.439998626708984,33.290000915527344,14.533332824707031,26.739999771118164,24.222389221191406,29.1200008392334,9.324999809265137,18.579999923706055,11.84000015258789,10.822509765625,,45.290000915527344,,41.08571243286133,32.33000183105469,31.899999618530273,48.39410400390625,7.800000190734863,24.25,19.11199951171875,,26.850000381469727,22.39669418334961,19.700000762939453,19.0,12.171427726745605,48.099998474121094,,13.537500381469727,33.43000030517578,50.45000076293945,14.8100004196167,36.5099983215332,16.989999771118164,10.800000190734863,20.0,32.79999923706055,,89.98999786376953,38.185489654541016,13.079999923706055,11.539999961853027,43.970001220703125,48.70000076293945,10.90999984741211,818.89892578125,26.799467086791992,9.237430572509766,44.400001525878906,30.479999542236328,13.274999618530273,34.439998626708984,49.88999938964844,20.200000762939453,25.0,,40.5,24.40999984741211,6.050000190734863,28.190000534057617,27.5,30.610000610351562,11.619999885559082,32.599998474121094,19.1200008392334,7.480000019073486,18.030000686645508,3.381999969482422,17.950000762939453,7.820000171661377,36.63999938964844,10.206600189208984,,32.70000076293945,54.90999984741211,,13.850000381469727,101516.0
46.59000015258789,33.45000076293945,14.850000381469727,26.510000228881836,24.47032356262207,28.850000381469727,9.694999694824219,19.209999084472656,11.805000305175781,10.831168174743652,,45.599998474121094,,41.761905670166016,32.83000183105469,31.549999237060547,48.57268142700195,7.889999866485596,24.489999771118164,20.299999237060547,,26.969999313354492,22.48685073852539,20.07200050354004,18.649999618530273,12.409523010253906,49.0,,12.957500457763672,33.47999954223633,50.540000915527344,14.899999618530273,37.380001068115234,16.979999542236328,10.800000190734863,19.833332061767578,33.18000030517578,,89.98999786376953,38.835243225097656,13.300000190734863,11.569999694824219,44.0099983215332,49.7400016784668,11.100000381469727,836.1510009765625,27.764497756958008,9.25068473815918,44.59000015258789,30.600000381469727,13.40250015258789,35.04999923706055,50.95000076293945,20.469999313354492,25.0,,40.9900016784668,25.100000381469727,6.139999866485596,28.200000762939453,28.020000457763672,29.860000610351562,11.869999885559082,33.02000045776367,19.260000228881836,7.590000152587891,18.260000228881836,3.4200000762939453,17.719999313354492,7.710000038146973,37.63999938964844,10.491754531860352,,33.060001373291016,55.68000030517578,,13.829999923706055,102551.0
46.040000915527344,32.83000183105469,14.333333015441895,26.170000076293945,24.312545776367188,28.399999618530273,9.600000381469727,18.8700008392334,11.425000190734863,10.545454025268555,,43.79999923706055,,41.14285659790039,32.25,31.079999923706055,48.017112731933594,7.829999923706055,23.889999389648438,20.426000595092773,,26.5,22.141246795654297,19.538000106811523,18.280000686645508,12.171427726745605,48.869998931884766,,12.654999732971191,32.5,48.470001220703125,14.720000267028809,36.7400016784668,16.549999237060547,10.862000465393066,19.600000381469727,33.060001373291016,,89.98999786376953,35.76640701293945,12.989999771118164,11.390000343322754,42.93000030517578,49.52000045776367,10.800000190734863,809.6978149414062,27.383798599243164,9.1314058303833,43.52000045776367,29.700000762939453,12.8725004196167,33.959999084472656,50.59000015258789,19.979999542236328,24.200000762939453,,38.279998779296875,24.5,5.980000019073486,27.389999389648438,27.059999465942383,28.799999237060547,11.84000015258789,32.849998474121094,18.68000030517578,7.409999847412109,17.670000076293945,3.3320000171661377,17.34000015258789,7.639999866485596,37.43000030517578,10.373760223388672,,32.38999938964844,54.529998779296875,,13.369999885559082,100573.0
45.31999969482422,32.689998626708984,14.433333396911621,26.020000457763672,24.290006637573242,28.219999313354492,9.5,18.600000381469727,11.404999732971191,10.510822296142578,,43.0099983215332,,40.904762268066406,31.639999389648438,30.649999618530273,48.03695297241211,7.71999979019165,23.860000610351562,20.00200080871582,,26.5,22.231403350830078,19.288000106811523,18.40999984741211,11.952380180358887,47.66999816894531,,12.862500190734863,32.2400016784668,49.279998779296875,14.430000305175781,37.209999084472656,16.719999313354492,10.8100004196167,19.566665649414062,33.16999816894531,,89.98999786376953,35.966331481933594,12.430000305175781,11.369999885559082,42.66999816894531,48.79999923706055,10.399999618530273,816.1385498046875,27.082778930664062,9.151286125183105,43.59000015258789,30.200000762939453,13.154999732971191,33.349998474121094,50.20000076293945,19.190000534057617,24.049999237060547,,37.790000915527344,24.399999618530273,5.849999904632568,27.450000762939453,27.049999237060547,27.989999771118164,11.470000267028809,32.61000061035156,18.989999771118164,7.349999904632568,17.399999618530273,3.200000047683716,17.010000228881836,7.5,37.880001068115234,10.206600189208984,,32.099998474121094,53.849998474121094,,13.40999984741211,99981.0
45.66999816894531,33.209999084472656,14.633333206176758,26.520000457763672,24.981216430664062,28.93000030517578,9.912500381469727,18.670000076293945,11.4350004196167,10.675324440002441,,44.20000076293945,,41.02857208251953,32.22999954223633,29.450000762939453,48.54291915893555,7.590000152587891,23.950000762939453,20.29199981689453,,26.6299991607666,23.117956161499023,19.51799964904785,19.25,11.923809051513672,49.4900016784668,,13.045000076293945,32.79999923706055,50.119998931884766,14.550000190734863,36.599998474121094,16.799999237060547,10.920000076293945,19.60333251953125,33.349998474121094,,89.98999786376953,35.5265007019043,12.430000305175781,11.460000038146973,42.47999954223633,49.25,10.550000190734863,826.9498901367188,27.127046585083008,9.144659996032715,44.720001220703125,30.969999313354492,13.454999923706055,34.099998474121094,49.5,19.209999084472656,24.209999084472656,,37.869998931884766,24.260000228881836,5.829999923706055,27.5,27.530000686645508,28.469999313354492,11.489999771118164,32.70000076293945,18.860000610351562,7.300000190734863,17.829999923706055,3.2339999675750732,17.100000381469727,7.650000095367432,37.79999923706055,10.127936363220215,,33.099998474121094,53.79999923706055,,13.5,101249.0
47.2400016784668,33.45000076293945,14.686665534973145,26.739999771118164,25.26671600341797,29.06999969482422,9.734999656677246,18.420000076293945,11.484999656677246,10.761903762817383,,44.400001525878906,,40.06666564941406,33.95000076293945,29.149999618530273,48.20560836791992,7.53000020980835,23.639999389648438,20.142000198364258,,26.579999923706055,23.253192901611328,19.780000686645508,18.649999618530273,12.36190414428711,49.099998474121094,,13.425000190734863,33.04999923706055,49.79999923706055,14.649999618530273,36.86000061035156,16.81999969482422,10.979999542236328,19.27666664123535,33.400001525878906,,81.5,35.286590576171875,13.09000015258789,11.539999961853027,42.20000076293945,49.29999923706055,10.380000114440918,824.1895141601562,27.879592895507812,9.058513641357422,45.619998931884766,30.329999923706055,13.6274995803833,36.279998779296875,49.68000030517578,18.899999618530273,24.209999084472656,,37.4900016784668,24.56999969482422,6.119999885559082,27.420000076293945,27.5,28.3799991607666,11.449999809265137,32.70000076293945,18.59000015258789,7.46999979019165,17.8700008392334,3.23799991607666,17.049999237060547,7.46999979019165,37.70000076293945,10.147602081298828,,33.099998474121094,52.630001068115234,,13.399999618530273,101817.0
48.63999938964844,33.880001068115234,15.016666412353516,27.260000228881836,25.552215576171875,29.5,10.125,18.579999923706055,11.835000038146973,10.995670318603516,,45.22999954223633,,41.238094329833984,35.2400016784668,29.399999618530273,49.89215850830078,7.75,24.170000076293945,20.195999145507812,,27.309999465942383,23.591283798217773,20.243999481201172,19.200000762939453,12.65714168548584,53.0,,13.702500343322754,34.2599983215332,50.43000030517578,15.289999961853027,37.099998474121094,17.579999923706055,11.253999710083008,19.16666603088379,34.0,,81.5,34.786781311035156,13.319999694824219,11.640000343322754,43.11000061035156,49.689998626708984,10.649999618530273,836.3810424804688,28.614431381225586,9.191044807434082,45.91999816894531,32.099998474121094,13.920000076293945,36.790000915527344,50.400001525878906,19.3700008392334,24.600000381469727,,36.7400016784668,24.90999984741211,6.309999942779541,27.969999313354492,27.950000762939453,29.190000534057617,11.65999984741211,32.9900016784668,18.940000534057617,7.670000076293945,17.8799991607666,3.4000000953674316,17.270000457763672,7.75,38.0,10.216432571411133,,34.650001525878906,53.150001525878906,,14.069999694824219,103832.0
47.9900016784668,34.45000076293945,15.053333282470703,27.309999465942383,25.9128475189209,29.670000076293945,10.542499542236328,18.719999313354492,11.875,11.177489280700684,,45.0,,41.9619026184082,34.81999969482422,29.0,50.328678131103516,7.78000020980835,24.25,20.209999084472656,,27.479999542236328,23.9368896484375,20.59000015258789,19.290000915527344,12.619047164916992,54.0,,13.932499885559082,34.2599983215332,50.15999984741211,15.430000305175781,36.380001068115234,17.43000030517578,11.300000190734863,19.133333206176758,34.11000061035156,,81.5,34.32695388793945,13.239999771118164,11.470000267028809,43.81999969482422,49.220001220703125,10.670000076293945,847.8823852539062,28.561309814453125,9.191044807434082,46.630001068115234,32.459999084472656,14.03499984741211,37.20000076293945,51.18000030517578,19.31999969482422,24.760000228881836,,36.099998474121094,25.25,6.300000190734863,28.06999969482422,28.389999389648438,29.329999923706055,11.510000228881836,32.54999923706055,18.75,7.590000152587891,17.93000030517578,3.3980000019073486,17.350000381469727,7.78000020980835,38.209999084472656,10.550752639770508,,35.599998474121094,53.77000045776367,,14.140000343322754,104302.0
47.90999984741211,34.369998931884766,14.836666107177734,27.600000381469727,26.123214721679688,30.06999969482422,10.449999809265137,18.889999389648438,11.890000343322754,11.194805145263672,,44.380001068115234,,42.771427154541016,35.11000061035156,29.100000381469727,50.894168853759766,7.789999961853027,23.690000534057617,20.224000930786133,,26.850000381469727,24.169797897338867,19.56999969482422,19.299999237060547,12.84761905670166,54.79999923706055,,14.147500038146973,34.40999984741211,50.380001068115234,15.670000076293945,35.9900016784668,17.799999237060547,11.260000228881836,18.983333587646484,34.290000915527344,,81.5,34.84675979614258,13.619999885559082,11.380000114440918,43.220001220703125,47.369998931884766,10.510000228881836,850.6427612304688,28.720672607421875,9.210925102233887,46.099998474121094,32.220001220703125,14.125,38.0,51.209999084472656,19.399999618530273,24.600000381469727,,36.439998626708984,25.520000457763672,6.369999885559082,27.809999465942383,28.829999923706055,29.459999084472656,11.430000305175781,31.860000610351562,18.690000534057617,7.699999809265137,17.440000534057617,3.388000011444092,17.5,7.579999923706055,39.43000030517578,10.422924041748047,,35.75,53.650001525878906,,14.0600004196167,104490.0
