VALE3.SA,ITUB4.SA,PETR4.SA,BBDC4.SA,PETR3.SA,B3SA3.SA,ABEV3.SA,WEGE3.SA,ITSA4.SA,JBSS3.SA,GNDI3.SA,BBAS3.SA,MGLU3.SA,NTCO3.SA,SUZB3.SA,BPAC11.SA,RENT3.SA,LREN3.SA,GGBR4.SA,VBBR3.SA,CSAN3.SA,EQTL3.SA,BBDC3.SA,RADL3.SA,BIDI11.SA,PRIO3.SA,BRFS3.SA,RDOR3.SA,RAIL3.SA,ENEV3.SA,KLBN11.SA,VIVT3.SA,CSNA3.SA,EMBR3.SA,TOTS3.SA,HAPV3.SA,AMER3.SA,UGPA3.SA,CMIG4.SA,BRKM5.SA,ASAI3.SA,ELET3.SA,BBSE3.SA,SANB11.SA,CCRO3.SA,HYPE3.SA,VIIA3.SA,BRAP4.SA,SBSP3.SA,AZUL4.SA,ENGI11.SA,CPLE6.SA,LWSA3.SA,EGIE3.SA,TIMS3.SA,ELET6.SA,MRFG3.SA,ALPA4.SA,GOAU4.SA,USIM5.SA,LCAM3.SA,TAEE11.SA,SOMA3.SA,YDUQ3.SA,SULA11.SA,CRFB3.SA,BRML3.SA,FLRY3.SA,PETZ3.SA,IRBR3.SA,BPAN4.SA,QUAL3.SA,COGN3.SA,MULT3.SA,CYRE3.SA,CVCB3.SA,CPFE3.SA,DXCO3.SA,LAME4.SA,ENBR3.SA,PCAR3.SA,MRVE3.SA,GOLL4.SA,CASH3.SA,BIDI4.SA,ECOR3.SA,IGTA3.SA,CIEL3.SA,BEEF3.SA,EZTC3.SA,JHSF3.SA,^BVSP
58.86000061035156,22.520000457763672,,16.11570167541504,19.950000762939453,18.176666259765625,12.699999809265137,33.45000076293945,7.705626964569092,20.510000228881836,,29.790000915527344,22.975000381469727,48.58000183105469,46.5,18.627500534057617,57.119998931884766,40.40778732299805,19.761903762817383,21.0,17.582500457763672,21.450000762939453,14.917354583740234,24.09000015258789,,7.105999946594238,18.510000228881836,,19.530000686645508,11.75,24.31999969482422,44.0,16.540000915527344,6.46999979019165,27.510000228881836,12.600000381469727,89.2300033569336,19.520000457763672,7.085398197174072,21.31999969482422,,30.260000228881836,24.610000610351562,27.899999618530273,12.8100004196167,30.299999237060547,17.8700008392334,39.70783615112305,47.09000015258789,25.700000762939453,41.04999923706055,6.199999809265137,15.962499618530273,40.849998474121094,13.069999694824219,31.020000457763672,15.199999809265137,39.880001068115234,9.359999656677246,10.069999694824219,,28.1200008392334,10.039999961853027,28.0,,20.719999313354492,,26.610000610351562,14.899999618530273,201.62274169921875,8.329999923706055,32.79999923706055,5.519999980926514,20.549999237060547,24.299999237060547,15.710000038146973,27.780000686645508,14.776859283447266,,17.639999389648438,9.300453186035156,16.729999542236328,17.899999618530273,,,12.100000381469727,,3.9700000286102295,11.550000190734863,37.189998626708984,7.46999979019165,95479.0
58.31999969482422,22.59000015258789,,16.231403350830078,19.18000030517578,17.753332138061523,12.529999732971191,33.525001525878906,7.72294282913208,20.079999923706055,,29.709999084472656,22.012500762939453,48.939998626708984,46.33000183105469,18.020000457763672,56.70000076293945,39.45538330078125,19.619047164916992,20.360000610351562,17.06999969482422,21.030000686645508,14.97520637512207,23.899999618530273,,6.854000091552734,18.040000915527344,,18.950000762939453,11.774999618530273,23.8799991607666,43.709999084472656,16.780000686645508,6.489999771118164,27.049999237060547,12.359999656677246,87.33999633789062,19.1299991607666,7.002608776092529,20.790000915527344,,29.670000076293945,24.399999618530273,28.399999618530273,12.430000305175781,30.299999237060547,17.309999465942383,39.10580062866211,45.459999084472656,24.270000457763672,40.0099983215332,6.159999847412109,15.6225004196167,40.08000183105469,12.970000267028809,30.329999923706055,14.9399995803833,39.25,9.25,10.020000457763672,,28.010000228881836,10.199999809265137,27.110000610351562,,20.360000610351562,,26.31999969482422,14.520000457763672,201.3738250732422,8.390000343322754,32.119998931884766,5.400000095367432,20.260000228881836,23.440000534057617,14.880000114440918,27.420000076293945,14.388428688049316,,17.5,9.079328536987305,16.469999313354492,17.389999389648438,,,11.819999694824219,,3.930000066757202,11.25,35.58000183105469,7.25,94016.0
59.59000015258789,22.829999923706055,,16.46280860900879,20.1200008392334,18.583332061767578,12.8100004196167,35.09000015258789,7.757575035095215,20.459999084472656,,30.229999542236328,22.53499984741211,48.95000076293945,47.400001525878906,18.577499389648438,57.25,39.792694091796875,20.761903762817383,20.56999969482422,17.172500610351562,21.6299991607666,15.305785179138184,24.559999465942383,,7.306000232696533,18.020000457763672,,18.8700008392334,11.774999618530273,24.270000457763672,43.5,17.719999313354492,6.420000076293945,27.0,12.673999786376953,87.01000213623047,19.360000610351562,7.244078159332275,21.049999237060547,,31.290000915527344,24.459999084472656,28.469999313354492,12.600000381469727,31.09000015258789,17.8700008392334,40.25674819946289,45.83000183105469,24.309999465942383,40.90999984741211,6.255000114440918,15.390000343322754,40.5,13.15999984741211,31.549999237060547,15.050000190734863,39.11000061035156,9.859999656677246,10.569999694824219,,28.06999969482422,10.020000457763672,27.719999313354492,,20.520000457763672,,27.209999084472656,14.0,215.3131866455078,8.449999809265137,32.77000045776367,5.309999942779541,20.68000030517578,23.559999465942383,14.460000038146973,27.549999237060547,15.446279525756836,,17.5,9.025040626525879,16.420000076293945,17.65999984741211,,,11.920000076293945,,3.9100000858306885,11.350000381469727,35.36000061035156,7.239999771118164,96089.0
58.619998931884766,22.8700008392334,,16.404958724975586,19.989999771118164,17.920000076293945,13.34000015258789,35.7400016784668,7.774890899658203,20.110000610351562,,30.030000686645508,22.325000762939453,47.650001525878906,47.939998626708984,18.522499084472656,57.310001373291016,39.881980895996094,20.66666603088379,20.219999313354492,16.967500686645508,21.360000610351562,15.214876174926758,24.639999389648438,,7.145999908447266,17.90999984741211,,18.799999237060547,11.587499618530273,24.059999465942383,44.130001068115234,17.68000030517578,6.619999885559082,26.700000762939453,12.447999954223633,89.12999725341797,19.200000762939453,7.18888521194458,22.0,,31.260000228881836,24.309999465942383,28.540000915527344,12.449999809265137,31.489999771118164,18.170000076293945,39.530765533447266,45.689998626708984,25.889999389648438,40.47999954223633,6.294000148773193,15.177499771118164,40.33000183105469,13.180000305175781,31.670000076293945,14.5,39.83000183105469,9.720000267028809,10.319999694824219,,28.020000457763672,9.90999984741211,27.43000030517578,,20.639999389648438,,27.860000610351562,14.0,178.4734649658203,8.479999542236328,32.31999969482422,5.239999771118164,21.149999618530273,24.299999237060547,15.8100004196167,27.829999923706055,15.983470916748047,,17.549999237060547,9.070059776306152,16.56999969482422,18.950000762939453,,,11.75,,3.9000000953674316,10.949999809265137,35.959999084472656,7.269999980926514,95615.0
60.16999816894531,22.700000762939453,,16.231403350830078,19.90999984741211,17.90333366394043,13.529999732971191,36.584999084472656,7.705626964569092,19.959999084472656,,29.809999465942383,22.235000610351562,47.310001373291016,48.38999938964844,18.167499542236328,56.88999938964844,39.33633041381836,21.333332061767578,20.0,16.987499237060547,21.079999923706055,15.016528129577637,24.90999984741211,,7.296000003814697,17.700000762939453,,18.43000030517578,11.5024995803833,24.440000534057617,43.54999923706055,18.0,6.369999885559082,26.950000762939453,12.550000190734863,88.62999725341797,18.6200008392334,7.175086975097656,22.219999313354492,,31.31999969482422,24.0,28.469999313354492,12.109999656677246,31.25,17.90999984741211,40.097389221191406,45.34000015258789,24.969999313354492,40.150001525878906,6.260000228881836,15.550000190734863,40.25,13.149999618530273,31.399999618530273,14.550000190734863,40.279998779296875,10.029999732971191,10.59000015258789,,28.1200008392334,9.699999809265137,27.25,,20.489999771118164,,27.450000762939453,14.380000114440918,160.3025360107422,8.220000267028809,31.489999771118164,5.199999809265137,21.600000381469727,24.5,14.899999618530273,27.450000762939453,16.520660400390625,,17.530000686645508,9.164071083068848,16.75,18.299999237060547,,,11.399999618530273,,3.700000047683716,11.029999732971191,36.029998779296875,7.510000228881836,95526.0
61.290000915527344,24.06999969482422,,17.06611442565918,20.59000015258789,18.28333282470703,13.680000305175781,37.59000015258789,8.077921867370605,20.1200008392334,,31.25,22.967500686645508,47.0,49.27000045776367,18.392499923706055,59.959999084472656,39.594276428222656,21.190475463867188,20.329999923706055,17.100000381469727,21.25,15.867768287658691,25.31999969482422,,7.239999771118164,17.93000030517578,,18.469999313354492,11.649999618530273,24.889999389648438,44.709999084472656,17.850000381469727,6.690000057220459,27.440000534057617,13.005999565124512,87.19999694824219,19.190000534057617,7.319968223571777,21.979999542236328,,30.8700008392334,24.5,30.84000015258789,12.6899995803833,31.200000762939453,18.389999389648438,40.54891586303711,45.90999984741211,25.1299991607666,40.31999969482422,6.46999979019165,15.630000114440918,40.52000045776367,13.579999923706055,31.15999984741211,14.680000305175781,40.38999938964844,9.930000305175781,10.319999694824219,,28.1200008392334,9.84000015258789,27.84000015258789,,20.860000610351562,,28.100000381469727,14.229999542236328,192.6617431640625,8.6899995803833,32.130001068115234,5.380000114440918,21.59000015258789,25.079999923706055,14.9399995803833,27.809999465942383,16.818180084228516,,17.84000015258789,9.096542358398438,16.809999465942383,18.510000228881836,,,11.770000457763672,,3.799999952316284,11.270000457763672,36.619998931884766,7.699999809265137,97920.0
61.599998474121094,24.0,,17.14049530029297,19.90999984741211,18.236665725708008,13.569999694824219,38.45000076293945,8.103896141052246,19.299999237060547,,31.040000915527344,24.537500381469727,46.97999954223633,48.95000076293945,18.237499237060547,60.150001525878906,38.899810791015625,20.761903762817383,20.100000381469727,16.559999465942383,20.8700008392334,15.834710121154785,25.25,,7.113999843597412,17.450000762939453,,18.020000457763672,12.024999618530273,24.18000030517578,44.349998474121094,17.760000228881836,6.690000057220459,27.0,12.911999702453613,89.02999877929688,18.850000381469727,7.368261814117432,21.31999969482422,,30.90999984741211,24.200000762939453,31.399999618530273,12.619999885559082,30.899999618530273,18.90999984741211,40.75254440307617,45.25,25.299999237060547,39.95000076293945,6.438000202178955,15.737500190734863,39.900001525878906,13.460000038146973,30.790000915527344,14.199999809265137,40.27000045776367,9.819999694824219,10.119999885559082,,28.0,9.789999961853027,27.3700008392334,,20.8700008392334,,27.719999313354492,14.699999809265137,178.72238159179688,8.729999542236328,31.6299991607666,5.25,21.360000610351562,26.229999542236328,15.569999694824219,27.56999969482422,17.041322708129883,,17.739999771118164,8.957511901855469,18.239999771118164,19.110000610351562,,,11.65999984741211,,3.7100000381469727,11.010000228881836,37.709999084472656,7.960000038146973,97483.0
62.13999938964844,23.770000457763672,,17.239669799804688,20.1299991607666,18.266666412353516,13.75,39.57500076293945,8.06926441192627,19.670000076293945,,31.049999237060547,26.0,48.86000061035156,48.95000076293945,17.9375,59.369998931884766,39.54467010498047,20.933332443237305,20.399999618530273,16.809999465942383,20.600000381469727,15.842974662780762,25.690000534057617,,7.105999946594238,18.09000015258789,,17.940000534057617,11.842499732971191,24.65999984741211,44.47999954223633,18.309999465942383,6.489999771118164,27.84000015258789,13.187999725341797,95.0199966430664,18.600000381469727,7.388959884643555,21.709999084472656,,31.25,24.540000915527344,31.780000686645508,12.680000305175781,30.559999465942383,19.440000534057617,41.97432327270508,46.70000076293945,25.190000534057617,40.560001373291016,6.443999767303467,16.40250015258789,40.18000030517578,13.460000038146973,31.5,14.869999885559082,40.349998474121094,9.869999885559082,10.149999618530273,,27.979999542236328,9.550000190734863,26.649999618530273,,20.889999389648438,,28.059999465942383,15.199999809265137,177.72671508789062,8.649999618530273,31.809999465942383,5.210000038146973,21.149999618530273,26.420000076293945,15.59000015258789,27.579999923706055,16.942148208618164,,17.760000228881836,8.778759002685547,17.84000015258789,19.15999984741211,,,11.470000267028809,,3.700000047683716,11.15999984741211,37.470001220703125,7.880000114440918,98503.0
63.0,23.700000762939453,,17.25619888305664,20.010000228881836,18.793333053588867,13.800000190734863,40.290000915527344,8.043290138244629,21.479999542236328,,30.850000381469727,25.68000030517578,49.400001525878906,48.189998626708984,18.65250015258789,61.689998626708984,38.84028625488281,21.05714225769043,20.600000381469727,17.25,20.8799991607666,15.876032829284668,26.389999389648438,,7.676000118255615,18.6299991607666,,18.93000030517578,12.045000076293945,24.450000762939453,44.29999923706055,18.399999618530273,6.570000171661377,28.350000381469727,13.473999977111816,95.61000061035156,18.43000030517578,7.513144016265869,21.450000762939453,,31.510000228881836,24.729999542236328,32.16999816894531,13.239999771118164,30.940000534057617,19.270000457763672,42.478973388671875,46.70000076293945,25.809999465942383,40.79999923706055,6.626999855041504,17.212499618530273,40.47999954223633,13.1899995803833,31.65999984741211,15.350000381469727,40.54999923706055,9.880000114440918,10.229999542236328,,28.059999465942383,9.25,26.540000915527344,,20.979999542236328,,28.399999618530273,15.460000038146973,178.22454833984375,8.569999694824219,32.869998931884766,5.21999979019165,21.170000076293945,26.010000228881836,15.420000076293945,27.799999237060547,17.033056259155273,,18.030000686645508,8.752277374267578,17.670000076293945,19.6200008392334,,,11.819999694824219,,3.6700000762939453,11.449999809265137,37.33000183105469,7.800000190734863,99334.0
62.470001220703125,23.489999771118164,,17.14049530029297,19.790000915527344,18.536666870117188,13.4399995803833,40.3849983215332,8.008658409118652,22.399999618530273,,31.059999465942383,25.510000228881836,49.70000076293945,48.36000061035156,18.510000228881836,62.380001068115234,39.38593673706055,21.59047508239746,20.270000457763672,17.594999313354492,20.860000610351562,15.842974662780762,25.989999771118164,,7.245999813079834,18.56999969482422,,19.0,12.192500114440918,24.81999969482422,44.400001525878906,19.450000762939453,6.599999904632568,28.440000534057617,13.291999816894531,94.54000091552734,18.81999969482422,7.533841133117676,21.15999984741211,,31.90999984741211,24.790000915527344,31.700000762939453,13.25,30.56999969482422,19.459999084472656,42.638336181640625,46.0,25.729999542236328,41.68000030517578,6.704999923706055,16.857500076293945,40.650001525878906,13.069999694824219,32.08000183105469,15.489999771118164,41.150001525878906,10.119999885559082,10.850000381469727,,28.010000228881836,9.140000343322754,26.690000534057617,,20.700000762939453,,28.079999923706055,15.850000381469727,174.24188232421875,8.460000038146973,32.83000183105469,5.039999961853027,21.200000762939453,26.290000915527344,15.399999618530273,28.079999923706055,17.0,,17.979999542236328,8.670183181762695,18.15999984741211,19.530000686645508,,,11.779999732971191,,3.6500000953674316,11.399999618530273,38.0,7.78000020980835,99054.0
