VALE5.SA,PETR4.SA,ITUB4.SA,BBDC4.SA,BBAS3.SA,ITSA4.SA,CSNA3.SA,PETR3.SA,B3SA3.SA,USIM5.SA,VALE3.SA,GGBR4.SA,CIEL3.SA,ABEV3.SA,CMIG4.SA,CCRO3.SA,GFSA3.SA,PDGR3.SA,BRML3.SA,TIMS3.SA,HYPE3.SA,OIBR4.SA,BRFS3.SA,MRVE3.SA,CYRE3.SA,JBSS3.SA,SANB11.SA,SBSP3.SA,NATU3.SA,SUZB5.SA,HGTX3.SA,LREN3.SA,VIVT4.SA,BRKM5.SA,PCAR4.SA,CTIP3.SA,KLBN4.SA,FIBR3.SA,LAME4.SA,BBDC3.SA,COGN3.SA,DASA3.SA,GOLL4.SA,EMBR3.SA,UGPA3.SA,BRPR3.SA,BRAP4.SA,ELET6.SA,AEDU3.SA,RENT3.SA,CSAN3.SA,ENBR3.SA,ELPL4.SA,ELET3.SA,DXCO3.SA,CRUZ3.SA,GOAU4.SA,RSID3.SA,CESP6.SA,ALLL3.SA,LIGT3.SA,CPFE3.SA,MRFG3.SA,CPLE6.SA,PRML3.SA,BISA3.SA,AMER3.SA,OIBR3.SA,MMXM3.SA,USIM3.SA,TESA3.SA,TRPL4.SA,^BVSP
37.459999084472656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.350000381469727,,,,,,,,,,,,,,,13.59000015258789,,,,,,,,,,,,19.950904846191406,,,,,,,,
37.7400016784668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.520000457763672,,,,,,,,,,,,,,,13.449999809265137,,,,,,,,,,,,19.755308151245117,,,,,,,,
37.7400016784668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.520000457763672,,,,,,,,,,,,,,,13.449999809265137,,,,,,,,,,,,19.755308151245117,,,,,,,,
37.7400016784668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.520000457763672,,,,,,,,,,,,,,,13.449999809265137,,,,,,,,,,,,19.755308151245117,,,,,,,,
37.40999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1299991607666,,,,,,,,,,,,,,,13.329999923706055,,,,,,,,,,,,18.679523468017578,,,,,,,,
36.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.479999542236328,,,,,,,,,,,,,,,13.989999771118164,,,,,,,,,,,,19.950904846191406,,,,,,,,
36.470001220703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.899999618530273,,,,,,,,,,,,,,,13.600000381469727,,,,,,,,,,,,19.657508850097656,,,,,,,,
36.09000015258789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.299999237060547,,,,,,,,,,,,,,,13.149999618530273,,,,,,,,,,,,18.875120162963867,,,,,,,,
34.79999923706055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.649999618530273,,,,,,,,,,,,,,,12.609999656677246,,,,,,,,,,,,18.288328170776367,,,,,,,,
34.81999969482422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.479999542236328,,,,,,,,,,,,,,,12.430000305175781,,,,,,,,,,,,18.972919464111328,,,,,,,,
34.099998474121094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.34000015258789,,,,,,,,,,,,,,,12.399999618530273,,,,,,,,,,,,19.657508850097656,,,,,,,,
34.279998779296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1299991607666,,,,,,,,,,,,,,,12.40999984741211,,,,,,,,,,,,19.266315460205078,,,,,,,,
35.150001525878906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.149999618530273,,,,,,,,,,,,,,,12.649999618530273,,,,,,,,,,,,19.559709548950195,,,,,,,,
35.45000076293945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.81999969482422,,,,,,,,,,,,,,,11.899999618530273,,,,,,,,,,,,19.461912155151367,,,,,,,,
