ITUB4.SA,VALE3.SA,BBDC4.SA,ABEV3.SA,PETR4.SA,PETR3.SA,B3SA3.SA,ITSA4.SA,BBAS3.SA,UGPA3.SA,BRFS3.SA,COGN3.SA,CIEL3.SA,LREN3.SA,VIVT4.SA,BBSE3.SA,RADL3.SA,CCRO3.SA,BBDC3.SA,JBSS3.SA,EMBR3.SA,RAIL3.SA,HYPE3.SA,WEGE3.SA,EQTL3.SA,GGBR4.SA,SANB11.SA,PCAR4.SA,SBSP3.SA,BRKM5.SA,LAME4.SA,RENT3.SA,FIBR3.SA,TIMS3.SA,YDUQ3.SA,BRML3.SA,FLRY3.SA,KLBN11.SA,SUZB3.SA,QUAL3.SA,EGIE3.SA,CMIG4.SA,BRAP4.SA,CSAN3.SA,MULT3.SA,NATU3.SA,MGLU3.SA,CSNA3.SA,ELET3.SA,ELET6.SA,USIM5.SA,SMLS3.SA,MRVE3.SA,ENBR3.SA,TAEE11.SA,SAPR11.SA,GOAU4.SA,IGTA3.SA,VVAR11.SA,CYRE3.SA,MRFG3.SA,CPLE6.SA,ECOR3.SA,CPFE3.SA,^BVSP
22.35333251953125,25.059999465942383,14.902111053466797,16.309999465942383,14.65999984741211,16.530000686645508,5.426665782928467,6.419544219970703,27.540000915527344,33.95000076293945,47.900001525878906,13.300000190734863,22.708332061767578,18.97267723083496,,27.81999969482422,12.12600040435791,15.789999961853027,14.912460327148438,11.300000190734863,16.0,6.110000133514404,26.170000076293945,5.807692050933838,10.949999809265137,10.323808670043945,29.5,,28.3700008392334,34.0,,10.56386947631836,,7.730000019073486,15.449999809265137,,17.350000381469727,17.100000381469727,20.010000228881836,18.81999969482422,27.8799991607666,4.95902681350708,12.83753776550293,9.287500381469727,19.733333587646484,,0.3973039984703064,10.859999656677246,22.491453170776367,26.1299991607666,4.079999923706055,,10.045573234558105,13.399999618530273,21.399999618530273,,4.739999771118164,,,10.279999732971191,6.400000095367432,2.7200000286102295,8.140000343322754,25.260000228881836,59589.0
23.299999237060547,26.170000076293945,15.523033142089844,16.639999389648438,15.5,17.579999923706055,5.650000095367432,6.701035022735596,28.799999237060547,34.5,49.5,13.960000038146973,23.341665267944336,19.554813385009766,,28.809999465942383,12.59000015258789,16.389999389648438,15.5075101852417,11.449999809265137,16.360000610351562,6.179999828338623,26.899999618530273,6.099999904632568,10.928000450134277,10.619047164916992,30.549999237060547,,28.700000762939453,35.939998626708984,,11.00831413269043,,8.069999694824219,16.309999465942383,,17.260000228881836,17.530000686645508,20.010000228881836,19.639999389648438,28.959999084472656,5.0682291984558105,13.377599716186523,9.720000267028809,20.396665573120117,,0.3960930109024048,11.420000076293945,22.331514358520508,26.0,4.289999961853027,,10.272848129272461,13.449999809265137,21.440000534057617,,4.900000095367432,,,11.149999618530273,6.460000038146973,2.9230000972747803,8.510000228881836,25.31999969482422,61814.0
23.399999618530273,25.700000762939453,15.42471981048584,16.510000228881836,15.5,17.3700008392334,5.75666618347168,6.7401299476623535,28.649999618530273,33.95000076293945,48.90999984741211,13.880000114440918,23.008333206176758,19.382631301879883,,29.719999313354492,12.411999702453613,16.5,15.502334594726562,11.449999809265137,16.170000076293945,6.179999828338623,27.059999465942383,5.953845977783203,10.970000267028809,10.495238304138184,30.690000534057617,,29.530000686645508,35.33000183105469,,11.183672904968262,,8.229999542236328,16.229999542236328,,17.645000457763672,16.8799991607666,20.010000228881836,19.809999465942383,28.591999053955078,4.92690896987915,13.08543586730957,9.725000381469727,20.706666946411133,,0.375,11.3100004196167,22.581418991088867,25.790000915527344,4.550000190734863,,10.272848129272461,13.529999732971191,21.25,,4.949999809265137,,,11.5600004196167,6.599999904632568,2.8940000534057617,8.579999923706055,25.260000228881836,61589.0
23.719999313354492,26.68000030517578,15.595473289489746,16.600000381469727,15.75,17.760000228881836,5.686666011810303,6.8026838302612305,28.579999923706055,34.150001525878906,48.529998779296875,13.699999809265137,22.758333206176758,19.202253341674805,,29.1200008392334,12.22599983215332,16.469999313354492,15.590298652648926,11.420000076293945,16.5,6.190000057220459,27.040000915527344,5.938460826873779,10.949999809265137,11.2380952835083,29.459999084472656,,29.610000610351562,35.75,,11.014361381530762,,8.329999923706055,15.970000267028809,,18.0,16.729999542236328,20.010000228881836,19.690000534057617,28.384000778198242,4.849825859069824,13.740592956542969,9.707500457763672,20.793333053588867,,0.3878900110721588,11.699999809265137,22.491453170776367,25.829999923706055,4.599999904632568,,10.318303108215332,13.5,21.350000381469727,,5.190000057220459,,,11.40999984741211,6.579999923706055,2.8540000915527344,8.5,25.209999084472656,62071.0
23.799999237060547,25.969999313354492,15.693785667419434,16.459999084472656,15.65999984741211,17.489999771118164,5.683332920074463,6.779225826263428,28.889999389648438,34.0,46.220001220703125,13.600000381469727,22.808332443237305,18.980876922607422,,28.670000076293945,12.251999855041504,16.229999542236328,15.709308624267578,11.5,16.579999923706055,6.349999904632568,26.829999923706055,5.988461017608643,10.899999618530273,11.171427726745605,29.329999923706055,,29.18000030517578,35.04999923706055,,11.011337280273438,,8.229999542236328,15.850000381469727,,18.0,16.649999618530273,20.010000228881836,19.489999771118164,28.031999588012695,4.785590171813965,13.501548767089844,9.482500076293945,20.663333892822266,,0.3853900134563446,11.279999732971191,22.461463928222656,25.760000228881836,4.46999979019165,,10.327393531799316,13.149999618530273,21.170000076293945,,5.190000057220459,,,11.34000015258789,6.329999923706055,2.8959999084472656,8.350000381469727,25.229999542236328,61665.0
23.913333892822266,26.5,15.714483261108398,16.530000686645508,15.329999923706055,17.31999969482422,5.683332920074463,6.8495988845825195,27.799999237060547,33.875,45.70000076293945,13.510000228881836,22.91666603088379,18.816896438598633,,29.31999969482422,12.232000350952148,16.399999618530273,15.781749725341797,11.600000381469727,16.6200008392334,6.449999809265137,26.770000457763672,5.923076152801514,10.829999923706055,11.180952072143555,29.729999542236328,,29.309999465942383,35.16999816894531,,11.141345024108887,,8.220000267028809,15.770000457763672,,17.93000030517578,16.299999237060547,20.010000228881836,19.709999084472656,28.055999755859375,4.856249809265137,13.829127311706543,9.6274995803833,20.760000228881836,,0.36785098910331726,11.449999809265137,22.071611404418945,25.25,4.5,,10.418304443359375,13.1899995803833,20.790000915527344,,5.230000019073486,,,11.75,6.059999942779541,2.865000009536743,8.5,25.229999542236328,61700.0
23.833332061767578,28.540000915527344,15.714483261108398,16.34000015258789,15.479999542236328,17.610000610351562,5.789999961853027,6.8026838302612305,28.18000030517578,33.959999084472656,45.91999816894531,13.390000343322754,22.149999618530273,18.77589988708496,,29.559999465942383,12.008000373840332,16.43000030517578,15.781749725341797,12.050000190734863,16.450000762939453,6.559999942779541,26.59000015258789,5.857691764831543,10.699999809265137,11.409523010253906,29.68000030517578,,29.25,35.4900016784668,,11.050642013549805,,8.300000190734863,15.739999771118164,,17.905000686645508,16.40999984741211,20.010000228881836,19.219999313354492,28.040000915527344,4.785590171813965,14.59052562713623,9.395000457763672,20.303333282470703,,0.3766010105609894,11.699999809265137,21.971649169921875,24.989999771118164,4.519999980926514,,10.491032600402832,13.300000190734863,21.3700008392334,,5.289999961853027,,,11.579999923706055,6.159999847412109,2.869999885559082,8.420000076293945,25.239999771118164,62132.0
23.8799991607666,29.1299991607666,15.83349323272705,16.40999984741211,15.65999984741211,18.049999237060547,5.816666126251221,6.8495988845825195,28.479999542236328,33.849998474121094,45.86000061035156,13.180000305175781,21.816665649414062,18.784099578857422,,28.709999084472656,12.1899995803833,15.850000381469727,15.626519203186035,11.979999542236328,16.75,6.590000152587891,26.34000015258789,5.757691860198975,10.644000053405762,12.0,29.8700008392334,,29.420000076293945,35.849998474121094,,11.002266883850098,,8.260000228881836,15.550000190734863,,17.979999542236328,16.25,20.010000228881836,19.860000610351562,27.84000015258789,4.952603816986084,15.095173835754395,9.489999771118164,20.306665420532227,,0.38085898756980896,11.850000381469727,21.521820068359375,24.690000534057617,4.429999828338623,,10.463760375976562,13.220000267028809,21.059999465942383,,5.550000190734863,,,11.699999809265137,6.130000114440918,3.003000020980835,8.34000015258789,25.25,62446.0
24.486665725708008,30.06999969482422,16.206045150756836,16.93000030517578,15.899999618530273,18.350000381469727,5.96999979019165,7.037259101867676,29.200000762939453,33.75,47.04999923706055,13.729999542236328,21.475000381469727,20.038558959960938,,28.399999618530273,12.543999671936035,16.15999984741211,15.999072074890137,12.039999961853027,16.489999771118164,6.889999866485596,26.65999984741211,5.953845977783203,10.934000015258789,12.190476417541504,31.3700008392334,,31.139999389648438,36.41999816894531,,11.791382789611816,,8.34000015258789,16.100000381469727,,17.875,16.639999389648438,20.010000228881836,20.079999923706055,28.239999771118164,5.550000190734863,15.75033187866211,9.635000228881836,21.616666793823242,,0.40625,12.380000114440918,23.191186904907227,26.079999923706055,4.539999961853027,,10.518305778503418,13.529999732971191,21.579999923706055,,5.579999923706055,,,12.050000190734863,6.130000114440918,3.1449999809265137,8.829999923706055,25.31999969482422,63954.0
23.986665725708008,30.979999542236328,16.07668685913086,17.110000610351562,15.680000305175781,18.219999313354492,5.960000038146973,6.9668869972229,28.440000534057617,33.564998626708984,45.790000915527344,14.029999732971191,21.649999618530273,19.767988204956055,,27.25,12.553999900817871,16.139999389648438,15.916282653808594,11.789999961853027,16.799999237060547,6.75,26.09000015258789,5.82692289352417,11.039999961853027,12.438095092773438,31.270000457763672,,30.860000610351562,35.540000915527344,,11.552532196044922,,8.40999984741211,16.5,,17.899999618530273,16.43000030517578,20.010000228881836,19.299999237060547,28.304000854492188,5.492187023162842,16.201858520507812,9.654999732971191,21.54666519165039,,0.4140619933605194,12.220000267028809,23.181190490722656,26.399999618530273,4.550000190734863,,10.527397155761719,13.350000381469727,21.940000534057617,,5.630000114440918,,,12.109999656677246,6.190000057220459,3.128999948501587,8.829999923706055,25.18000030517578,63652.0
