ITUB4.SA,BBDC4.SA,ABEV3.SA,PETR4.SA,ITSA4.SA,CIEL3.SA,BRFS3.SA,VALE5.SA,PETR3.SA,UGPA3.SA,JBSS3.SA,BBSE3.SA,VALE3.SA,B3SA3.SA,BBAS3.SA,PCAR4.SA,EMBR3.SA,COGN3.SA,CCRO3.SA,BBDC3.SA,VIVT4.SA,LREN3.SA,CMIG4.SA,FIBR3.SA,CRUZ3.SA,GGBR4.SA,TIMS3.SA,CTIP3.SA,BRML3.SA,HYPE3.SA,EGIE3.SA,LAME4.SA,KLBN11.SA,SUZB5.SA,SBSP3.SA,CPFE3.SA,SANB11.SA,RENT3.SA,YDUQ3.SA,QUAL3.SA,NATU3.SA,CESP6.SA,MULT3.SA,CSNA3.SA,BRPR3.SA,CSAN3.SA,CPLE6.SA,CYRE3.SA,GOAU4.SA,BRKM5.SA,ENBR3.SA,USIM5.SA,DXCO3.SA,BRAP4.SA,MRVE3.SA,HGTX3.SA,OIBR4.SA,ECOR3.SA,RUMO3.SA,ELET6.SA,LIGT3.SA,MRFG3.SA,ELET3.SA,POMO4.SA,EVEN3.SA,GFSA3.SA,GOLL4.SA,PDGR3.SA,^BVSP
17.10493278503418,12.347867012023926,17.098426818847656,15.8100004196167,5.491872787475586,21.0648136138916,45.45000076293945,,15.050000190734863,27.829999923706055,7.550000190734863,25.299999237060547,31.360000610351562,3.619999885559082,22.780000686645508,,20.3700008392334,12.2475004196167,16.950000762939453,13.162674903869629,,10.42103385925293,9.661110877990723,,,13.419047355651855,11.829999923706055,,,16.079999923706055,27.84000015258789,,11.579999923706055,,21.510000228881836,17.432043075561523,12.520000457763672,9.826151847839355,22.75,22.959999084472656,,,16.01333236694336,9.6899995803833,744.0,7.798709869384766,2.9649999141693115,13.59000015258789,17.100000381469727,17.290000915527344,9.88958740234375,9.9399995803833,8.474274635314941,17.450199127197266,7.245540142059326,,288.0,13.369999885559082,,10.869999885559082,18.5,4.429999828338623,6.747435092926025,4.445304870605469,7.599999904632568,205.6602020263672,11.010000228881836,645.41650390625,50270.0
17.65589714050293,12.661462783813477,17.168420791625977,15.5600004196167,5.673567771911621,21.26736068725586,46.349998474121094,,15.119999885559082,28.350000381469727,7.920000076293945,25.489999771118164,32.529998779296875,3.7566659450531006,23.729999542236328,,20.270000457763672,12.449999809265137,17.200000762939453,13.65018081665039,,10.544020652770996,10.059374809265137,,,13.69523811340332,12.0,,,16.350000381469727,28.31999969482422,,11.970000267028809,,21.68000030517578,17.819631576538086,12.859999656677246,9.83824634552002,23.3799991607666,23.5,,,16.333332061767578,9.880000114440918,754.4000244140625,8.074219703674316,3.055000066757202,14.010000228881836,17.520000457763672,17.59000015258789,10.22482681274414,10.239999771118164,8.688719749450684,18.41522789001465,7.390995979309082,,308.0,13.739999771118164,,11.510000228881836,18.950000762939453,4.590000152587891,7.047321796417236,4.544530868530273,7.730000019073486,219.66259765625,11.699999809265137,672.4969482421875,51701.0
17.450538635253906,12.594823837280273,17.17841911315918,15.399999618530273,5.655984878540039,21.325231552124023,46.130001068115234,,15.050000190734863,27.700000762939453,7.75,25.290000915527344,32.90999984741211,3.75333309173584,23.360000610351562,,20.260000228881836,12.227499961853027,17.5,13.342077255249023,,10.47842788696289,9.982291221618652,,,13.638094902038574,11.9399995803833,,,16.100000381469727,27.639999389648438,,12.0,,21.969999313354492,17.77236557006836,12.699999809265137,9.947089195251465,23.049999237060547,23.3799991607666,,,16.17333221435547,9.800000190734863,738.7999877929688,8.069775581359863,3.0,13.319999694824219,17.489999771118164,17.469999313354492,10.244546890258789,10.0600004196167,8.681325912475586,18.592296600341797,7.090991973876953,,309.0,13.5,,11.75,18.799999237060547,4.599999904632568,7.317218780517578,4.356001853942871,7.619999885559082,216.1619873046875,12.399999618530273,654.4432983398438,51408.0
17.20009994506836,12.445865631103516,16.89844512939453,15.4399995803833,5.58565092086792,20.688657760620117,45.95000076293945,,14.899999618530273,27.80500030517578,7.739999771118164,25.149999618530273,32.47999954223633,3.7799999713897705,23.56999969482422,,19.889999389648438,12.162500381469727,16.90999984741211,12.916972160339355,,10.535821914672852,9.963021278381348,,,13.285714149475098,11.640000343322754,,,16.200000762939453,27.29599952697754,,12.09000015258789,,22.049999237060547,17.70619010925293,12.600000381469727,10.098260879516602,23.030000686645508,23.0,,,16.316665649414062,9.970000267028809,740.0,8.194199562072754,3.0309998989105225,13.180000305175781,16.969999313354492,17.530000686645508,9.88958740234375,10.170000076293945,8.466880798339844,18.583444595336914,7.090991973876953,,297.0,13.399999618530273,,11.800000190734863,18.829999923706055,4.579999923706055,7.177271842956543,4.395692825317383,7.599999904632568,213.5365447998047,12.229999542236328,667.9835205078125,51082.0
17.590782165527344,12.947620391845703,16.89844512939453,16.459999084472656,5.673567771911621,21.151620864868164,46.54999923706055,,15.850000381469727,28.225000381469727,7.869999885559082,25.760000228881836,33.34000015258789,3.890000104904175,24.899999618530273,,19.34000015258789,11.949999809265137,16.799999237060547,13.654081344604492,,10.768675804138184,10.187847137451172,,,13.152379989624023,11.220000267028809,,,16.420000076293945,27.3439998626709,,12.180000305175781,,20.639999389648438,17.602203369140625,13.0600004196167,10.43386173248291,23.1200008392334,22.84000015258789,,,16.266666412353516,9.829999923706055,750.0,8.22974967956543,3.009999990463257,13.149999618530273,16.889999389648438,17.530000686645508,9.761406898498535,10.210000038146973,8.725693702697754,18.919876098632812,7.063718795776367,,297.0,13.40999984741211,,11.979999542236328,18.6299991607666,4.599999904632568,7.397189140319824,4.455227851867676,7.630000114440918,212.66139221191406,12.25,686.037109375,52155.0
17.335336685180664,12.69282341003418,16.818452835083008,15.989999771118164,5.562207221984863,20.949073791503906,46.95000076293945,,15.399999618530273,27.899999618530273,7.949999809265137,25.059999465942383,33.2599983215332,3.863332986831665,24.190000534057617,,19.229999542236328,11.75,17.079999923706055,13.240675926208496,,10.57681655883789,10.194271087646484,,,13.285714149475098,11.0600004196167,,,16.649999618530273,27.200000762939453,,11.979999542236328,,20.049999237060547,17.602203369140625,12.619999885559082,10.279666900634766,23.100000381469727,22.93000030517578,,,16.54666519165039,9.609999656677246,749.2000122070312,8.06088924407959,3.010999917984009,13.59000015258789,16.940000534057617,16.979999542236328,9.534626960754395,9.59000015258789,8.903164863586426,18.840194702148438,7.109173774719238,,313.0,13.5600004196167,,11.819999694824219,18.270000457763672,4.5,7.297226905822754,4.336156845092773,7.690000057220459,221.4128875732422,12.319999694824219,740.1979370117188,51629.0
17.10493278503418,12.586983680725098,16.79845428466797,15.850000381469727,5.474289894104004,21.122684478759766,47.5099983215332,,15.229999542236328,28.100000381469727,7.849999904632568,25.1200008392334,32.97999954223633,3.9066660404205322,23.40999984741211,,19.350000381469727,11.699999809265137,17.389999389648438,13.076873779296875,,10.650609016418457,9.950173377990723,,,12.942856788635254,11.350000381469727,,,16.56999969482422,26.479999542236328,,11.729999542236328,,20.389999389648438,17.432043075561523,12.350000381469727,10.040816307067871,23.219999313354492,22.709999084472656,,,16.583332061767578,9.109999656677246,732.0,7.97645902633667,2.930000066757202,13.40999984741211,16.700000762939453,16.229999542236328,9.514906883239746,8.989999771118164,8.762666702270508,18.919876098632812,6.900081157684326,,330.0,13.550000190734863,,11.0,17.729999542236328,4.46999979019165,6.817409038543701,4.187318801879883,7.670000076293945,217.91229248046875,12.399999618530273,722.1443481445312,51185.0
17.29025650024414,12.669302940368652,16.978437423706055,15.680000305175781,5.532900810241699,21.26736068725586,47.459999084472656,,15.170000076293945,28.184999465942383,7.900000095367432,25.049999237060547,32.79999923706055,3.813333034515381,23.450000762939453,,19.260000228881836,11.699999809265137,17.200000762939453,13.092473983764648,,10.621091842651367,10.072221755981445,,,12.942856788635254,11.170000076293945,,,16.299999237060547,26.799999237060547,,11.5,,20.899999618530273,17.602203369140625,12.449999809265137,10.125472068786621,22.899999618530273,23.149999618530273,,,16.56333351135254,9.119999885559082,736.0,8.214197158813477,2.9860000610351562,13.4399995803833,16.520000457763672,15.760000228881836,9.485326766967773,9.100000381469727,8.503853797912598,18.937583923339844,6.727352142333984,,306.0,13.710000038146973,,11.079999923706055,18.010000228881836,4.309999942779541,6.997341156005859,4.246853828430176,7.639999866485596,218.78744506835938,12.149999618530273,704.0907592773438,51127.0
17.70097541809082,13.0024995803833,17.398399353027344,16.190000534057617,5.638401031494141,21.302082061767578,48.79999923706055,,15.609999656677246,28.600000381469727,8.140000343322754,25.700000762939453,32.970001220703125,3.819999933242798,23.829999923706055,,19.31999969482422,12.244999885559082,17.75,13.416177749633789,,10.55713939666748,10.219964981079102,,,12.838094711303711,10.949999809265137,,,16.260000228881836,26.583999633789062,,11.300000190734863,,19.739999771118164,17.96143341064453,12.59000015258789,10.279666900634766,23.5,23.350000381469727,,,16.52666664123535,9.15999984741211,740.0,8.5541410446167,3.072999954223633,13.729999542236328,16.450000762939453,15.699999809265137,9.59378719329834,9.300000190734863,8.318987846374512,18.946435928344727,6.727352142333984,,301.0,13.699999809265137,,11.279999732971191,18.09000015258789,4.420000076293945,7.087306022644043,4.3460798263549805,7.610000133514404,219.66259765625,12.119999885559082,663.4701538085938,51867.0
17.475582122802734,12.841780662536621,17.3684024810791,15.930000305175781,5.579790115356445,21.302082061767578,49.0,,15.359999656677246,28.350000381469727,8.039999961853027,25.959999084472656,32.7599983215332,3.799999952316284,23.469999313354492,,18.950000762939453,11.949999809265137,17.489999771118164,13.283576965332031,,10.412835121154785,10.23281192779541,,,12.828571319580078,10.65999984741211,,,16.360000610351562,26.93600082397461,,11.350000381469727,,20.15999984741211,18.16940689086914,12.550000190734863,10.418745040893555,23.68000030517578,23.260000228881836,,,16.50666618347168,9.34000015258789,734.0,8.454156875610352,3.1530001163482666,13.619999885559082,16.540000915527344,15.729999542236328,9.751546859741211,9.380000114440918,8.599984169006348,18.97299575805664,6.718260765075684,,285.0,13.5,,11.430000305175781,18.010000228881836,4.429999828338623,7.257242202758789,4.395692825317383,7.420000076293945,212.66139221191406,12.420000076293945,649.929931640625,51596.0
