ITUB4.SA,BBDC4.SA,VALE3.SA,ABEV3.SA,PETR4.SA,B3SA3.SA,PETR3.SA,BBAS3.SA,ITSA4.SA,BRFS3.SA,UGPA3.SA,COGN3.SA,LREN3.SA,CIEL3.SA,VIVT4.SA,CCRO3.SA,BBSE3.SA,BBDC3.SA,RADL3.SA,EMBR3.SA,JBSS3.SA,LAME4.SA,HYPE3.SA,CPFE3.SA,WEGE3.SA,EQTL3.SA,BRML3.SA,PCAR4.SA,SBSP3.SA,BRKM5.SA,GGBR4.SA,SANB11.SA,RAIL3.SA,FIBR3.SA,YDUQ3.SA,RENT3.SA,KLBN11.SA,TIMS3.SA,QUAL3.SA,SUZB5.SA,EGIE3.SA,CMIG4.SA,MULT3.SA,CSNA3.SA,CSAN3.SA,NATU3.SA,BRAP4.SA,ELET3.SA,ELET6.SA,SMLS3.SA,ENBR3.SA,TAEE11.SA,USIM5.SA,MRVE3.SA,CYRE3.SA,GOAU4.SA,CPLE6.SA,MRFG3.SA,ECOR3.SA,^BVSP
22.030302047729492,15.4143705368042,18.100000381469727,19.75,13.970000267028809,5.800000190734863,15.59000015258789,23.34000015258789,6.638481140136719,56.099998474121094,35.79499816894531,15.1899995803833,20.47311019897461,27.924999237060547,,17.190000534057617,30.450000762939453,14.700311660766602,13.333999633789062,14.15999984741211,12.100000381469727,,28.649999618530273,24.229999542236328,6.811538219451904,10.26200008392334,,,30.799999237060547,25.8700008392334,8.571428298950195,22.110000610351562,6.289999961853027,,18.200000762939453,12.37490463256836,17.440000534057617,8.010000228881836,19.979999542236328,,31.29599952697754,5.652777194976807,21.549999237060547,9.510000228881836,9.577500343322754,,9.119078636169434,19.492591857910156,24.149999618530273,,14.399999618530273,20.899999618530273,3.569999933242798,10.863763809204102,10.460000038146973,3.5299999713897705,3.377000093460083,5.360000133514404,9.029999732971191,59461.0
22.224241256713867,15.626519203186035,17.649999618530273,19.540000915527344,14.020000457763672,5.75,15.609999656677246,23.399999618530273,6.544651031494141,55.970001220703125,35.86000061035156,15.279999732971191,19.890975952148438,27.899999618530273,,17.290000915527344,30.559999465942383,14.850367546081543,13.494000434875488,14.1899995803833,12.109999656677246,,28.68000030517578,24.200000762939453,6.7961530685424805,10.244000434875488,,,30.5,23.540000915527344,8.428570747375488,21.979999542236328,6.179999828338623,,17.860000610351562,12.365835189819336,17.25,8.029999732971191,19.670000076293945,,30.895999908447266,5.556423187255859,21.476665496826172,9.420000076293945,9.524999618530273,,8.959715843200684,19.002777099609375,23.75,,14.260000228881836,20.920000076293945,3.5799999237060547,10.800127029418945,10.380000114440918,3.4800000190734863,3.3519999980926514,5.360000133514404,9.069999694824219,59339.0
22.660606384277344,15.750703811645508,17.860000610351562,19.59000015258789,14.579999923706055,5.813333034515381,16.100000381469727,23.93000030517578,6.630661964416504,56.900001525878906,36.04499816894531,15.649999618530273,20.44851303100586,27.674999237060547,,17.3700008392334,30.110000610351562,15.072864532470703,13.75,14.449999809265137,12.859999656677246,,29.079999923706055,24.139999389648438,6.865384101867676,10.289999961853027,,,30.899999618530273,24.15999984741211,8.647619247436523,22.350000381469727,6.170000076293945,,18.350000381469727,12.471654891967773,17.299999237060547,8.15999984741211,20.510000228881836,,31.256000518798828,5.736283779144287,21.530000686645508,9.65999984741211,9.920000076293945,,9.251880645751953,18.962793350219727,23.90999984741211,,14.4399995803833,20.809999465942383,3.7200000286102295,10.98194694519043,10.510000228881836,3.609999895095825,3.4000000953674316,5.400000095367432,9.380000114440918,60254.0
22.84848403930664,15.750703811645508,17.799999237060547,19.649999618530273,15.100000381469727,5.8333330154418945,16.799999237060547,24.68000030517578,6.7401299476623535,57.31999969482422,36.20500183105469,15.869999885559082,20.49770736694336,27.333332061767578,,17.079999923706055,30.06999969482422,15.140130996704102,13.527999877929688,14.800000190734863,12.529999732971191,,28.829999923706055,24.219999313354492,6.923076152801514,10.312000274658203,,,30.75,24.350000381469727,8.866665840148926,22.299999237060547,6.179999828338623,,18.760000228881836,12.396068572998047,17.219999313354492,8.109999656677246,20.43000030517578,,31.1200008392334,5.6463541984558105,21.333332061767578,9.829999923706055,10.107500076293945,,9.251880645751953,19.552570343017578,24.100000381469727,,14.710000038146973,20.860000610351562,3.6500000953674316,10.972855567932129,10.59000015258789,3.75,3.4100000858306885,5.460000038146973,9.170000076293945,60644.0
23.060606002807617,15.973200798034668,18.0,19.649999618530273,15.260000228881836,5.936666011810303,16.950000762939453,25.280000686645508,6.81832218170166,57.61000061035156,36.5,15.699999809265137,20.989652633666992,27.54166603088379,,17.34000015258789,30.40999984741211,15.372977256774902,13.670000076293945,14.5,12.350000381469727,,28.600000381469727,24.1299991607666,6.915383815765381,10.163999557495117,,,30.649999618530273,24.389999389648438,9.20952320098877,22.799999237060547,6.190000057220459,,18.90999984741211,12.544217109680176,16.639999389648438,8.3100004196167,21.0,,31.27199935913086,5.697742938995361,21.676666259765625,9.949999809265137,10.100000381469727,,9.561752319335938,19.622543334960938,23.940000534057617,,14.569999694824219,20.90999984741211,3.75,11.072857856750488,10.6899995803833,3.859999895095825,3.371999979019165,5.630000114440918,9.229999542236328,61109.0
23.09090805053711,15.968026161193848,19.049999237060547,19.68000030517578,15.729999542236328,5.97333288192749,17.489999771118164,25.450000762939453,6.919971942901611,57.97999954223633,36.57500076293945,16.0,21.15363311767578,28.108333587646484,,17.200000762939453,30.84000015258789,15.46094036102295,13.5,14.279999732971191,12.539999961853027,,28.649999618530273,24.290000915527344,6.988461017608643,10.28600025177002,,,30.979999542236328,24.8700008392334,9.285714149475098,22.729999542236328,6.139999866485596,,19.010000228881836,12.432350158691406,16.850000381469727,8.350000381469727,20.520000457763672,,31.239999771118164,5.691318988800049,21.69333267211914,10.199999809265137,10.0024995803833,,9.880477905273438,20.532197952270508,24.520000457763672,,14.850000381469727,21.25,3.7799999713897705,11.072857856750488,10.850000381469727,3.869999885559082,3.430999994277954,5.659999847412109,9.210000038146973,61668.0
23.012121200561523,15.911108016967773,18.600000381469727,19.450000762939453,15.390000343322754,5.829999923706055,17.079999923706055,24.8700008392334,6.8495988845825195,56.97999954223633,35.75,15.949999809265137,20.90766143798828,27.53333282470703,,17.270000457763672,30.450000762939453,15.471288681030273,13.420000076293945,14.010000228881836,12.569999694824219,,28.579999923706055,24.18000030517578,6.8461527824401855,10.119999885559082,,,30.889999389648438,26.100000381469727,9.047618865966797,22.420000076293945,6.519999980926514,,19.1200008392334,12.426302909851074,16.510000228881836,8.399999618530273,20.3799991607666,,31.040000915527344,5.556423187255859,21.219999313354492,10.199999809265137,10.102499961853027,,9.508631706237793,20.832082748413086,24.829999923706055,,15.140000343322754,21.290000915527344,3.7100000381469727,11.145586013793945,10.850000381469727,3.799999952316284,3.4570000171661377,5.679999828338623,9.039999961853027,61022.0
23.27272605895996,15.931805610656738,17.75,19.229999542236328,15.760000228881836,5.863333225250244,17.5,25.299999237060547,6.8495988845825195,55.27000045776367,36.005001068115234,15.550000190734863,21.301218032836914,27.641666412353516,,16.8700008392334,30.899999618530273,15.497160911560059,13.732000350952148,14.359999656677246,12.5,,27.59000015258789,24.1200008392334,6.861537933349609,10.470000267028809,,,31.049999237060547,26.239999771118164,8.914284706115723,23.329999923706055,6.519999980926514,,18.989999771118164,12.577474594116211,16.700000762939453,8.350000381469727,20.31999969482422,,31.520000457763672,5.736283779144287,21.16666603088379,9.880000114440918,10.369999885559082,,9.207612991333008,21.171953201293945,24.889999389648438,,15.369999885559082,21.399999618530273,3.549999952316284,10.891036987304688,10.75,3.7200000286102295,3.5,5.989999771118164,9.15999984741211,61119.0
23.715150833129883,16.06116485595703,18.020000457763672,19.530000686645508,16.260000228881836,5.900000095367432,17.899999618530273,25.959999084472656,6.959066867828369,55.0,35.70000076293945,15.779999732971191,21.563589096069336,26.66666603088379,,16.850000381469727,31.530000686645508,15.60582160949707,13.789999961853027,14.779999732971191,12.6899995803833,,27.940000534057617,24.209999084472656,6.699999809265137,10.465999603271484,,,30.5,27.219999313354492,8.99047565460205,23.739999771118164,6.579999923706055,,19.0,12.335599899291992,16.5,8.380000114440918,20.700000762939453,,31.559999465942383,5.78125,21.31333351135254,10.220000267028809,10.362500190734863,,9.508631706237793,21.09198570251465,25.049999237060547,,15.40999984741211,21.049999237060547,3.559999942779541,10.936491966247559,10.8100004196167,3.799999952316284,3.5329999923706055,6.059999942779541,9.079999923706055,61767.0
24.23636245727539,16.381973266601562,18.239999771118164,19.559999465942383,16.899999618530273,5.933332920074463,18.40999984741211,27.479999542236328,7.021621227264404,54.349998474121094,36.474998474121094,15.899999618530273,21.809560775756836,26.591665267944336,,17.5,31.920000076293945,15.771401405334473,14.0,15.300000190734863,12.699999809265137,,27.959999084472656,24.260000228881836,6.823075771331787,10.616000175476074,,,31.479999542236328,27.780000686645508,9.085714340209961,24.25,6.559999942779541,,19.010000228881836,12.214662551879883,16.399999618530273,8.399999618530273,19.850000381469727,,32.040000915527344,5.78125,21.363332748413086,10.300000190734863,10.425000190734863,,9.517484664916992,21.281911849975586,25.280000686645508,,15.619999885559082,21.0,3.5799999237060547,11.154677391052246,10.609999656677246,3.8399999141693115,3.615000009536743,5.929999828338623,9.100000381469727,62696.0
