ITUB4.SA,ABEV3.SA,BBDC4.SA,PETR4.SA,BRFS3.SA,PETR3.SA,B3SA3.SA,CIEL3.SA,ITSA4.SA,UGPA3.SA,VALE5.SA,VALE3.SA,COGN3.SA,VIVT4.SA,BBAS3.SA,BBSE3.SA,BBDC3.SA,JBSS3.SA,LREN3.SA,CCRO3.SA,EMBR3.SA,RADL3.SA,CTIP3.SA,SBSP3.SA,EQTL3.SA,HYPE3.SA,LAME4.SA,KLBN11.SA,WEGE3.SA,EGIE3.SA,BRML3.SA,PCAR4.SA,SANB11.SA,CPFE3.SA,TIMS3.SA,CMIG4.SA,FIBR3.SA,GGBR4.SA,CSNA3.SA,RENT3.SA,CSAN3.SA,BRKM5.SA,MULT3.SA,SUZB5.SA,NATU3.SA,YDUQ3.SA,ENBR3.SA,QUAL3.SA,RUMO3.SA,MRVE3.SA,CPLE6.SA,SMLS3.SA,CYRE3.SA,CESP6.SA,MRFG3.SA,BRAP4.SA,ECOR3.SA,GOAU4.SA,USIM5.SA,^BVSP
19.20661163330078,19.040000915527344,13.594412803649902,12.350000381469727,65.37999725341797,13.640000343322754,3.8499999046325684,31.19444465637207,6.4259419441223145,32.96500015258789,,18.06999969482422,11.8100004196167,,23.899999618530273,34.439998626708984,13.010573387145996,16.25,19.308841705322266,15.270000457763672,23.350000381469727,8.387999534606934,,16.56999969482422,7.239999771118164,22.1200008392334,,18.889999389648438,7.526923179626465,27.559999465942383,,,16.799999237060547,18.340103149414062,10.359999656677246,7.560589790344238,,6.561903953552246,4.949999809265137,9.27286434173584,6.025000095367432,12.850000381469727,15.936665534973145,,,17.799999237060547,11.3685884475708,21.190000534057617,,7.090991973876953,3.4860000610351562,,9.920000076293945,,5.46999979019165,9.092517852783203,7.71999979019165,5.800000190734863,4.110000133514404,53106.0
19.013774871826172,19.149999618530273,13.439183235168457,11.760000228881836,65.5,12.949999809265137,3.813333034515381,31.125,6.319316864013672,32.73500061035156,,17.68000030517578,11.789999961853027,,23.670000076293945,33.959999084472656,13.048012733459473,16.0,19.349836349487305,15.279999732971191,23.25,8.579999923706055,,16.200000762939453,7.2820000648498535,21.729999542236328,,19.040000915527344,7.626923084259033,27.68000030517578,,,16.56999969482422,18.379125595092773,10.199999809265137,7.4578118324279785,,6.3428568840026855,4.760000228881836,9.176114082336426,5.947500228881836,12.430000305175781,15.866665840148926,,,17.68000030517578,11.348868370056152,21.389999389648438,,7.054627895355225,3.5299999713897705,,9.8100004196167,,5.300000190734863,8.906595230102539,7.599999904632568,5.570000171661377,4.03000020980835,52519.0
18.688705444335938,19.219999313354492,13.175762176513672,11.510000228881836,65.62999725341797,12.850000381469727,3.846666097640991,31.03472137451172,6.262450218200684,33.0,,17.649999618530273,11.699999809265137,,23.850000381469727,33.93000030517578,12.795289993286133,16.049999237060547,19.146499633789062,15.130000114440918,23.399999618530273,8.52400016784668,,16.489999771118164,7.28000020980835,21.399999618530273,,18.850000381469727,7.619229793548584,27.847999572753906,,,16.700000762939453,18.223039627075195,10.3100004196167,7.406423091888428,,6.52380895614624,4.880000114440918,9.230536460876465,5.75,12.829999923706055,15.636666297912598,,,17.549999237060547,11.47704792022705,22.510000228881836,,7.0819010734558105,3.4149999618530273,,9.729999542236328,,5.480000019073486,8.80920696258545,7.46999979019165,5.610000133514404,4.179999828338623,52149.0
18.760330200195312,19.309999465942383,13.058162689208984,11.770000457763672,69.06999969482422,13.15999984741211,3.913332939147949,30.90972137451172,6.226908206939697,32.9900016784668,,17.93000030517578,11.25,,23.420000076293945,33.79999923706055,12.814009666442871,16.049999237060547,18.7677001953125,15.1899995803833,23.40999984741211,8.847999572753906,,16.850000381469727,7.315999984741211,21.729999542236328,,18.75,7.692306995391846,28.079999923706055,,,16.899999618530273,18.827871322631836,10.199999809265137,7.162325859069824,,6.704761028289795,4.929999828338623,9.076340675354004,5.702499866485596,12.84000015258789,15.899999618530273,,,17.190000534057617,11.753129005432129,21.700000762939453,,6.981900215148926,3.447999954223633,,9.670000076293945,,5.369999885559082,8.906595230102539,7.309999942779541,5.489999771118164,4.170000076293945,52344.0
18.545454025268555,19.100000381469727,12.8558931350708,11.460000038146973,69.5999984741211,12.979999542236328,3.856666088104248,30.40972137451172,6.226908206939697,32.5099983215332,,17.15999984741211,11.300000190734863,,23.15999984741211,33.099998474121094,12.631487846374512,15.850000381469727,18.49713134765625,15.199999809265137,23.989999771118164,8.416000366210938,,17.100000381469727,7.289999961853027,21.229999542236328,,18.860000610351562,7.603846073150635,28.479999542236328,,,16.360000610351562,18.564477920532227,9.760000228881836,7.040277004241943,,6.514285087585449,4.659999847412109,9.097504615783691,5.670000076293945,13.140000343322754,15.483332633972168,,,17.5,11.47704792022705,21.700000762939453,,7.181902885437012,3.450000047683716,,9.529999732971191,,5.539999961853027,8.50818920135498,7.449999809265137,5.320000171661377,4.03000020980835,51782.0
19.107437133789062,19.43000030517578,13.406254768371582,11.8100004196167,69.26000213623047,13.270000457763672,3.930000066757202,30.6875,6.383292198181152,33.3849983215332,,17.110000610351562,11.710000038146973,,23.760000228881836,33.650001525878906,12.945052146911621,15.899999618530273,18.967758178710938,15.529999732971191,23.639999389648438,8.288000106811523,,16.799999237060547,7.3480000495910645,21.100000381469727,,19.5,7.5346150398254395,28.88800048828125,,,16.700000762939453,18.69129753112793,9.550000190734863,7.1880202293396,,6.419046878814697,4.519999980926514,9.055176734924316,5.855000019073486,13.300000190734863,15.966666221618652,,,18.239999771118164,11.486907958984375,22.0,,7.154630184173584,3.5350000858306885,,9.529999732971191,,5.570000171661377,8.623284339904785,7.289999961853027,5.0,4.099999904632568,52591.0
19.28374671936035,19.540000915527344,13.64145278930664,11.789999961853027,69.4000015258789,13.270000457763672,3.9433329105377197,30.1875,6.390399932861328,33.55500030517578,,18.5,11.84000015258789,,23.899999618530273,33.939998626708984,13.090133666992188,15.899999618530273,18.97267723083496,15.300000190734863,23.700000762939453,8.380000114440918,,17.290000915527344,7.335999965667725,20.75,,19.81999969482422,7.561538219451904,29.31999969482422,,,17.06999969482422,19.01322364807129,9.859999656677246,7.143054962158203,,6.704761028289795,4.849999904632568,8.919122695922852,5.894999980926514,12.899999618530273,15.84000015258789,,,18.600000381469727,11.753129005432129,21.760000228881836,,7.181902885437012,3.558000087738037,,9.479999542236328,,5.579999923706055,9.119078636169434,7.170000076293945,5.210000038146973,4.329999923706055,53119.0
19.296968460083008,19.649999618530273,13.726123809814453,11.989999771118164,69.0999984741211,13.510000228881836,4.013332843780518,30.75694465637207,6.390399932861328,33.89500045776367,,17.81999969482422,11.9399995803833,,23.93000030517578,33.79999923706055,13.253935813903809,15.760000228881836,18.69390869140625,15.569999694824219,24.280000686645508,8.37600040435791,,17.809999465942383,7.380000114440918,21.190000534057617,,19.8700008392334,7.5961527824401855,29.68000030517578,,,17.5,19.01322364807129,9.8100004196167,7.1815972328186035,,6.199999809265137,4.789999961853027,9.079364776611328,5.962500095367432,13.050000190734863,15.733332633972168,,,18.75,11.989768981933594,22.469999313354492,,7.263721942901611,3.61299991607666,,9.399999618530273,,5.519999980926514,8.756086349487305,7.510000228881836,4.679999828338623,4.269999980926514,53239.0
18.96363639831543,19.75,13.660268783569336,11.779999732971191,68.69999694824219,13.180000305175781,3.950000047683716,31.11111068725586,6.347750186920166,34.25,,17.110000610351562,12.010000228881836,,23.93000030517578,33.95000076293945,13.324136734008789,15.510000228881836,18.82509422302246,15.619999885559082,24.06999969482422,8.600000381469727,,18.049999237060547,7.446000099182129,21.600000381469727,,19.969999313354492,7.592307090759277,29.559999465942383,,,17.559999465942383,19.481481552124023,9.75,7.1302080154418945,,6.199999809265137,4.639999866485596,9.082387924194336,5.78000020980835,13.180000305175781,15.739999771118164,,,18.860000610351562,11.97990894317627,22.1200008392334,,7.363722801208496,3.6070001125335693,,9.460000038146973,,5.559999942779541,8.57901668548584,7.369999885559082,4.539999961853027,4.300000190734863,52902.0
19.01818084716797,19.729999542236328,13.594412803649902,11.989999771118164,69.01000213623047,13.270000457763672,3.990000009536743,31.076387405395508,6.347750186920166,34.099998474121094,,17.639999389648438,11.699999809265137,,23.149999618530273,33.56999969482422,13.16501522064209,15.850000381469727,18.80377769470215,15.739999771118164,24.040000915527344,8.555999755859375,,18.969999313354492,7.480000019073486,21.610000610351562,,20.260000228881836,7.611537933349609,29.719999313354492,,,17.200000762939453,19.07175636291504,9.329999923706055,7.021007061004639,,6.2095232009887695,4.590000152587891,9.188207626342773,5.6875,13.199999809265137,15.829999923706055,,,19.040000915527344,12.246129035949707,22.299999237060547,,7.4273600578308105,3.5899999141693115,,9.420000076293945,,5.579999923706055,8.702964782714844,7.28000020980835,4.659999847412109,4.150000095367432,53070.0
