ITUB4.SA,BBDC4.SA,ABEV3.SA,PETR4.SA,VALE5.SA,VALE3.SA,BBAS3.SA,PETR3.SA,B3SA3.SA,ITSA4.SA,BRFS3.SA,UGPA3.SA,CIEL3.SA,CCRO3.SA,BBSE3.SA,VIVT4.SA,COGN3.SA,BBDC3.SA,LREN3.SA,JBSS3.SA,EMBR3.SA,RADL3.SA,HYPE3.SA,EQTL3.SA,SBSP3.SA,LAME4.SA,SANB11.SA,WEGE3.SA,GGBR4.SA,PCAR4.SA,CMIG4.SA,BRKM5.SA,BRML3.SA,CPFE3.SA,TIMS3.SA,EGIE3.SA,KLBN11.SA,FIBR3.SA,RAIL3.SA,RENT3.SA,CSAN3.SA,MULT3.SA,CSNA3.SA,SUZB5.SA,NATU3.SA,YDUQ3.SA,BRAP4.SA,QUAL3.SA,ELET3.SA,MRVE3.SA,SMLS3.SA,CPLE6.SA,ENBR3.SA,CYRE3.SA,GOAU4.SA,USIM5.SA,MRFG3.SA,ECOR3.SA,^BVSP
19.03636360168457,12.98289966583252,18.829999923706055,8.359999656677246,,15.510000228881836,19.770000457763672,10.529999732971191,5.199999809265137,5.807516098022461,51.599998474121094,34.755001068115234,25.125,14.329999923706055,29.399999618530273,,11.819999694824219,14.450531959533691,17.382055282592773,10.770000457763672,23.420000076293945,10.569999694824219,28.309999465942383,8.104000091552734,23.950000762939453,,17.34000015258789,5.507691860198975,6.704761028289795,,5.093923091888428,24.170000076293945,,19.179065704345703,8.050000190734863,29.76799964904785,19.3799991607666,,3.4600000381469727,9.16099739074707,7.962500095367432,18.273332595825195,7.349999904632568,,,12.069999694824219,5.728198051452637,15.460000038146973,6.857394218444824,10.909218788146973,,2.9649999141693115,12.3250093460083,10.449999809265137,2.509999990463257,1.7899999618530273,6.699999809265137,6.099999904632568,50562.0
18.36969566345215,12.446649551391602,18.510000228881836,7.539999961853027,,14.789999961853027,18.649999618530273,9.600000381469727,5.096665859222412,5.615591049194336,49.9900016784668,33.810001373291016,24.895832061767578,14.010000228881836,28.43000030517578,,11.520000457763672,14.07421588897705,16.881912231445312,9.970000267028809,23.139999389648438,10.265999794006348,27.950000762939453,7.8480000495910645,23.299999237060547,,16.649999618530273,5.330769062042236,6.133333206176758,,4.785590171813965,22.25,,18.681541442871094,7.710000038146973,29.0,18.729999542236328,,3.5999999046325684,9.076340675354004,7.340000152587891,17.873332977294922,6.949999809265137,,,11.649999618530273,5.39176607131958,15.050000190734863,6.597492218017578,10.745580673217773,,2.743000030517578,12.167248725891113,10.210000038146973,2.4100000858306885,1.649999976158142,6.420000076293945,5.96999979019165,48780.0
18.40605926513672,12.503096580505371,18.709999084472656,7.800000190734863,,15.289999961853027,18.350000381469727,9.819999694824219,5.190000057220459,5.587156772613525,50.15999984741211,34.220001220703125,25.17361068725586,14.119999885559082,28.559999465942383,,11.59000015258789,14.078920364379883,16.783523559570312,9.819999694824219,22.989999771118164,10.034000396728516,27.739999771118164,7.828000068664551,23.520000457763672,,16.979999542236328,5.323075771331787,6.2095232009887695,,4.625,22.93000030517578,,18.51569938659668,7.46999979019165,28.775999069213867,18.299999237060547,,3.2300000190734863,9.41496467590332,7.367499828338623,17.736665725708008,7.599999904632568,,,11.729999542236328,5.462594032287598,15.609999656677246,6.597492218017578,10.663762092590332,,2.7219998836517334,12.226408958435059,10.170000076293945,2.390000104904175,1.600000023841858,6.349999904632568,5.929999828338623,49054.0
17.878786087036133,12.173821449279785,18.6299991607666,7.579999923706055,,15.069999694824219,18.18000030517578,9.729999542236328,4.926665782928467,5.437881946563721,50.0099983215332,34.8849983215332,24.8125,13.130000114440918,28.360000610351562,,11.6899995803833,13.6743803024292,16.25058364868164,9.920000076293945,22.31999969482422,10.052000045776367,27.75,7.765999794006348,22.770000457763672,,16.8700008392334,5.419229984283447,5.971427917480469,,4.355207920074463,23.15999984741211,,18.125484466552734,7.420000076293945,28.288000106811523,17.899999618530273,,3.2300000190734863,9.484503746032715,7.272500038146973,17.463333129882812,7.679999828338623,,,11.65999984741211,5.444887161254883,15.6899995803833,6.157660007476807,10.927400588989258,,2.6659998893737793,11.970048904418945,9.850000381469727,2.3299999237060547,1.4500000476837158,6.53000020980835,5.699999809265137,48096.0
18.07272720336914,12.267900466918945,18.549999237060547,7.699999809265137,,15.010000228881836,18.739999771118164,9.9399995803833,5.043333053588867,5.516074180603027,50.04999923706055,35.380001068115234,25.208332061767578,13.149999618530273,29.09000015258789,,11.579999923706055,13.84372329711914,16.71792984008789,10.229999542236328,22.709999084472656,10.534000396728516,27.729999542236328,7.868000030517578,22.90999984741211,,16.81999969482422,5.384614944458008,5.84761905670166,,4.310243129730225,23.25,,18.17426109313965,7.489999771118164,28.472000122070312,17.540000915527344,,2.700000047683716,9.523809432983398,7.400000095367432,17.66666603088379,7.590000152587891,,,11.779999732971191,5.3209381103515625,15.640000343322754,6.187647819519043,10.827400207519531,,2.6619999408721924,11.960188865661621,9.800000190734863,2.2200000286102295,1.4700000286102295,6.639999866485596,5.679999828338623,48513.0
19.212120056152344,12.893525123596191,18.56999969482422,8.260000228881836,,16.239999771118164,20.899999618530273,10.489999771118164,5.300000190734863,5.843058109283447,49.650001525878906,35.79999923706055,26.458332061767578,13.699999809265137,30.8799991607666,,11.90999984741211,14.441123962402344,17.382055282592773,9.619999885559082,22.190000534057617,10.803999900817871,28.049999237060547,7.960000038146973,23.799999237060547,,16.8700008392334,5.338460922241211,6.485713958740234,,4.560762882232666,23.200000762939453,,18.583986282348633,7.53000020980835,28.920000076293945,16.5,,3.1500000953674316,9.780800819396973,7.527500152587891,18.663333892822266,8.25,,,12.279999732971191,5.710491180419922,16.18000030517578,6.337591171264648,10.98194694519043,,2.7860000133514404,12.186968803405762,10.3100004196167,2.4600000381469727,1.6799999475479126,6.429999828338623,5.949999809265137,50293.0
19.30908966064453,13.109907150268555,18.200000762939453,8.390000343322754,,16.969999313354492,21.540000915527344,10.420000076293945,5.22666597366333,5.857274055480957,48.380001068115234,35.349998474121094,25.91666603088379,13.859999656677246,30.6299991607666,,11.449999809265137,14.64809799194336,16.742528915405273,9.149999618530273,21.059999465942383,10.663999557495117,28.18000030517578,7.895999908447266,24.0,,16.579999923706055,5.134614944458008,6.895237922668457,,4.8177080154418945,23.280000686645508,,18.369369506835938,7.28000020980835,28.959999084472656,15.75,,3.3499999046325684,9.69916820526123,7.449999809265137,18.26333236694336,8.989999771118164,,,12.050000190734863,6.14431095123291,16.149999618530273,6.417561054229736,10.872855186462402,,2.7049999237060547,12.058789253234863,10.069999694824219,2.5,1.7899999618530273,6.360000133514404,6.059999942779541,50165.0
20.18181800842285,13.726123809814453,18.399999618530273,9.039999961853027,,18.739999771118164,22.100000381469727,11.350000381469727,5.349999904632568,6.1273908615112305,48.290000915527344,35.94499969482422,26.558332443237305,14.319999694824219,31.940000534057617,,11.869999885559082,15.06674861907959,17.152481079101562,9.15999984741211,21.079999923706055,10.710000038146973,28.610000610351562,8.095999717712402,25.0,,17.25,5.180768966674805,7.361904144287109,,5.003993034362793,23.40999984741211,,18.964447021484375,7.489999771118164,29.20800018310547,16.280000686645508,,3.640000104904175,10.068026542663574,7.565000057220459,18.270000457763672,10.779999732971191,,,12.539999961853027,6.826028823852539,15.680000305175781,6.807413101196289,10.754672050476074,,2.7809998989105225,12.285569190979004,10.430000305175781,2.630000114440918,1.9900000095367432,6.440000057220459,6.510000228881836,52002.0
20.4303035736084,15.098735809326172,18.299999237060547,9.489999771118164,,19.56999969482422,22.329999923706055,11.829999923706055,5.533332824707031,6.155825138092041,48.06999969482422,35.630001068115234,27.483333587646484,14.850000381469727,32.119998931884766,,12.09000015258789,15.245499610900879,17.841205596923828,9.079999923706055,21.389999389648438,10.567999839782715,28.309999465942383,8.01200008392334,25.049999237060547,,16.940000534057617,5.330769062042236,7.933332920074463,,5.106770038604736,24.299999237060547,,19.03273582458496,7.480000019073486,29.600000381469727,16.239999771118164,,3.369999885559082,9.871503829956055,7.822500228881836,18.336666107177734,13.0,,,12.220000267028809,7.109340190887451,15.680000305175781,7.027328968048096,10.736490249633789,,2.9079999923706055,12.492629051208496,10.600000381469727,2.9800000190734863,2.2200000286102295,6.460000038146973,6.849999904632568,53150.0
19.836362838745117,13.500333786010742,18.739999771118164,9.15999984741211,,18.200000762939453,21.93000030517578,11.470000267028809,5.666666030883789,6.027873992919922,48.040000915527344,36.0,27.774999618530273,14.819999694824219,32.400001525878906,,11.880000114440918,14.98678207397461,17.767412185668945,9.75,21.81999969482422,10.684000015258789,29.200000762939453,8.03600025177002,24.469999313354492,,16.729999542236328,5.361537933349609,7.114284992218018,,4.907638072967529,24.459999084472656,,18.681541442871094,7.25,29.760000228881836,16.100000381469727,,3.9000000953674316,9.910807609558105,7.824999809265137,18.766666412353516,11.460000038146973,,,11.5,6.790615081787109,15.649999618530273,6.687458038330078,10.845582008361816,,2.7679998874664307,11.832009315490723,10.199999809265137,2.630000114440918,2.0,6.5,6.96999979019165,52411.0
