ITUB4.SA,BBDC4.SA,ABEV3.SA,PETR4.SA,PETR3.SA,VALE5.SA,BRFS3.SA,VALE3.SA,BBAS3.SA,ITSA4.SA,B3SA3.SA,UGPA3.SA,CIEL3.SA,BBSE3.SA,COGN3.SA,VIVT4.SA,JBSS3.SA,BBDC3.SA,LREN3.SA,CCRO3.SA,RADL3.SA,EMBR3.SA,CTIP3.SA,SANB11.SA,EQTL3.SA,HYPE3.SA,SBSP3.SA,GGBR4.SA,BRKM5.SA,LAME4.SA,WEGE3.SA,PCAR4.SA,CPFE3.SA,KLBN11.SA,FIBR3.SA,EGIE3.SA,BRML3.SA,CSNA3.SA,CMIG4.SA,TIMS3.SA,ELET3.SA,CSAN3.SA,SUZB5.SA,RENT3.SA,YDUQ3.SA,MULT3.SA,RUMO3.SA,QUAL3.SA,NATU3.SA,BRAP4.SA,ENBR3.SA,MRVE3.SA,GOAU4.SA,CPLE6.SA,SMLS3.SA,CYRE3.SA,MRFG3.SA,USIM5.SA,ECOR3.SA,^BVSP
15.230302810668945,8.93750286102295,17.209999084472656,6.869999885559082,8.670000076293945,,54.220001220703125,12.6899995803833,14.239999771118164,4.6915059089660645,3.483333110809326,28.75,22.36805534362793,22.829999923706055,9.420000076293945,,12.050000190734863,9.50197696685791,13.2415189743042,12.149999618530273,7.0320000648498535,29.31999969482422,,14.649999618530273,6.599999904632568,21.09000015258789,18.149999618530273,4.3238091468811035,27.100000381469727,,5.630768775939941,,14.437952995300293,21.940000534057617,,26.128000259399414,,3.859999895095825,3.635762929916382,6.789999961853027,5.427937030792236,6.0,,7.059711933135986,13.899999618530273,12.529999732971191,,13.75,,4.1611328125,11.112228393554688,7.572815895080566,1.600000023841858,2.299999952316284,,7.28000020980835,6.230000019073486,1.4600000381469727,4.769999980926514,42141.0
15.357575416564941,8.961023330688477,17.479999542236328,6.679999828338623,8.449999809265137,,55.25,12.520000457763672,14.289999961853027,4.769698143005371,3.616666078567505,29.40999984741211,23.4375,24.290000915527344,9.199999809265137,,11.449999809265137,9.567832946777344,14.18441390991211,12.460000038146973,7.360000133514404,29.31999969482422,,14.430000305175781,6.920000076293945,21.34000015258789,18.350000381469727,4.123808860778809,25.93000030517578,,5.90384578704834,,14.633061408996582,21.8799991607666,,26.440000534057617,,3.6700000762939453,3.5329859256744385,6.739999771118164,5.547891139984131,6.03000020980835,,7.235071182250977,12.460000038146973,12.733332633972168,,14.119999885559082,,4.205399990081787,11.693968772888184,7.718273162841797,1.4700000286102295,2.249000072479248,,7.610000133514404,5.949999809265137,1.340000033378601,4.699999809265137,42419.0
15.296969413757324,8.834016799926758,17.309999465942383,6.400000095367432,8.0600004196167,,54.150001525878906,11.600000381469727,14.289999961853027,4.812347888946533,3.613332986831665,29.200000762939453,23.79861068725586,24.100000381469727,9.369999885559082,,10.399999618530273,9.398489952087402,14.102422714233398,12.289999961853027,7.427999973297119,28.899999618530273,,14.100000381469727,6.960000038146973,21.459999084472656,17.75,3.790476083755493,27.75,,5.769229888916016,,14.486729621887207,21.940000534057617,,26.04800033569336,,3.380000114440918,3.3531250953674316,6.730000019073486,5.4479289054870605,5.914999961853027,,7.301587104797363,13.520000457763672,12.733332633972168,,14.050000190734863,,3.9132349491119385,11.772849082946777,7.536451816558838,1.2799999713897705,2.240000009536743,,7.320000171661377,5.920000076293945,1.2200000286102295,4.800000190734863,41773.0
15.006059646606445,8.655265808105469,16.850000381469727,6.260000228881836,7.829999923706055,,52.02000045776367,10.90999984741211,13.949999809265137,4.7412638664245605,3.4633328914642334,28.024999618530273,23.888887405395508,23.149999618530273,9.270000457763672,,11.0,9.097437858581543,13.872847557067871,11.550000190734863,7.52400016784668,28.270000457763672,,13.710000038146973,6.76800012588501,21.110000610351562,16.6200008392334,3.619046926498413,27.0,,5.603846073150635,,13.901408195495605,21.149999618530273,,25.440000534057617,,3.299999952316284,3.166840076446533,6.559999942779541,5.178031921386719,5.849999904632568,,7.256235122680664,13.449999809265137,12.399999618530273,,13.75,,3.6653380393981934,11.043208122253418,7.500088214874268,1.2000000476837158,2.131999969482422,,7.360000133514404,5.670000076293945,1.149999976158142,4.539999961853027,40695.0
15.012121200561523,8.485923767089844,17.06999969482422,6.269999980926514,7.860000133514404,,53.02000045776367,10.539999961853027,13.949999809265137,4.7412638664245605,3.5066659450531006,28.475000381469727,24.30555534362793,23.59000015258789,8.75,,11.199999809265137,9.078621864318848,13.840051651000977,11.5,7.464000225067139,28.3700008392334,,13.710000038146973,6.860000133514404,21.100000381469727,16.81999969482422,3.742856979370117,27.06999969482422,,5.57692289352417,,13.862385749816895,20.780000686645508,,25.079999923706055,,3.4200000762939453,3.019097089767456,6.199999809265137,5.038084983825684,5.849999904632568,,7.256235122680664,12.649999618530273,12.483332633972168,,13.670000076293945,,3.6210711002349854,11.437607765197754,7.50917911529541,1.25,2.0339999198913574,,7.5,5.900000095367432,1.1799999475479126,4.320000171661377,40612.0
14.836362838745117,8.246023178100586,16.799999237060547,6.090000152587891,7.579999923706055,,51.779998779296875,10.239999771118164,13.550000190734863,4.684398174285889,3.5,27.725000381469727,23.15972137451172,22.850000381469727,8.699999809265137,,11.420000076293945,8.904576301574707,13.44649600982666,11.369999885559082,7.453999996185303,28.260000228881836,,13.739999771118164,6.8480000495910645,20.979999542236328,17.25,3.5999999046325684,27.760000228881836,,5.449999809265137,,13.911163330078125,19.75,,25.1200008392334,,3.369999885559082,3.057637929916382,6.0,4.9980998039245605,5.860000133514404,,7.26832914352417,13.0,12.813332557678223,,14.149999618530273,,3.479414939880371,11.47704792022705,7.645544052124023,1.2200000286102295,2.055000066757202,,7.489999771118164,6.0,1.2000000476837158,4.329999923706055,39950.0
14.903030395507812,8.198983192443848,16.979999542236328,5.53000020980835,7.0,,50.27000045776367,9.40999984741211,13.079999923706055,4.627531051635742,3.47666597366333,27.920000076293945,23.24305534362793,23.229999542236328,8.420000076293945,,11.100000381469727,8.965726852416992,13.758061408996582,11.699999809265137,7.570000171661377,28.899999618530273,,13.90999984741211,6.895999908447266,21.649999618530273,17.649999618530273,3.4952380657196045,26.6200008392334,,5.692306995391846,,13.725811004638672,20.0,,25.20800018310547,,3.2799999713897705,3.1154510974884033,6.070000171661377,5.128050804138184,5.547500133514404,,6.826908111572266,12.550000190734863,12.733332633972168,,14.1899995803833,,3.1783969402313232,11.417887687683105,7.809183120727539,1.1799999475479126,2.053999900817871,,7.539999961853027,5.840000152587891,1.149999976158142,4.420000076293945,39514.0
14.67272663116455,8.081384658813477,16.829999923706055,5.269999980926514,6.800000190734863,,49.58000183105469,9.0,12.84000015258789,4.641747951507568,3.4700000286102295,27.5049991607666,22.80555534362793,23.040000915527344,8.170000076293945,,10.859999656677246,8.932799339294434,13.807255744934082,11.65999984741211,7.564000129699707,28.25,,13.779999732971191,6.920000076293945,21.700000762939453,18.1200008392334,3.2666659355163574,25.989999771118164,,5.480769157409668,,13.901408195495605,19.649999618530273,,25.079999923706055,,3.200000047683716,3.0126729011535645,6.050000190734863,5.048080921173096,5.75,,6.866212844848633,12.5,12.84000015258789,,14.050000190734863,,2.974766969680786,11.043208122253418,7.636453151702881,1.090000033378601,1.9950000047683716,,7.590000152587891,5.730000019073486,1.0299999713897705,4.28000020980835,38944.0
14.884847640991211,8.325989723205566,16.850000381469727,5.690000057220459,7.230000019073486,,49.5099983215332,9.649999618530273,13.5600004196167,4.6630730628967285,3.543333053588867,28.084999084472656,22.638887405395508,23.799999237060547,8.59000015258789,,10.649999618530273,9.03158187866211,13.717065811157227,11.649999618530273,7.619999885559082,28.110000610351562,,13.479999542236328,6.769999980926514,21.200000762939453,18.229999542236328,3.3619039058685303,25.200000762939453,,5.484614849090576,,13.87214183807373,19.8700008392334,,24.600000381469727,,3.299999952316284,2.967708110809326,6.150000095367432,4.948119163513184,5.78000020980835,,6.987150192260742,12.479999542236328,12.920000076293945,,13.989999771118164,,3.0987160205841064,11.102368354797363,7.636453151702881,1.1200000047683716,1.9479999542236328,,7.449999809265137,5.769999980926514,1.0399999618530273,4.199999809265137,39500.0
14.496969223022461,8.114312171936035,16.59000015258789,5.170000076293945,6.710000038146973,,48.04999923706055,9.369999885559082,13.039999961853027,4.584880828857422,3.4700000286102295,27.899999618530273,22.75,22.799999237060547,8.520000457763672,,10.359999656677246,8.641155242919922,13.602278709411621,11.300000190734863,7.630000114440918,27.0,,13.050000190734863,6.650000095367432,20.969999313354492,17.700000762939453,3.2857139110565186,25.139999389648438,,5.430768966674805,,13.81360912322998,19.75,,23.799999237060547,,3.1700000762939453,2.890625,5.940000057220459,5.008096218109131,5.699999809265137,,6.766438961029053,12.300000190734863,12.949999809265137,,13.890000343322754,,3.010180950164795,11.112228393554688,7.545543193817139,1.100000023841858,1.909999966621399,,7.25,5.599999904632568,0.9599999785423279,4.070000171661377,38569.0
