ITUB4.SA,PETR4.SA,ABEV3.SA,BBDC4.SA,VALE5.SA,PETR3.SA,BRFS3.SA,VALE3.SA,ITSA4.SA,CIEL3.SA,COGN3.SA,BBSE3.SA,UGPA3.SA,BBAS3.SA,B3SA3.SA,EMBR3.SA,PCAR4.SA,BBDC3.SA,JBSS3.SA,SANB11.SA,CCRO3.SA,VIVT4.SA,CMIG4.SA,GGBR4.SA,TIMS3.SA,LREN3.SA,BRML3.SA,CTIP3.SA,YDUQ3.SA,CRUZ3.SA,EGIE3.SA,SBSP3.SA,HYPE3.SA,NATU3.SA,FIBR3.SA,CSNA3.SA,LAME4.SA,OIBR4.SA,CPFE3.SA,RENT3.SA,QUAL3.SA,CESP6.SA,KLBN11.SA,SUZB5.SA,BRKM5.SA,CSAN3.SA,BRAP4.SA,GOAU4.SA,BRPR3.SA,CPLE6.SA,USIM5.SA,CYRE3.SA,HGTX3.SA,ALLL3.SA,ECOR3.SA,ENBR3.SA,DXCO3.SA,MRVE3.SA,MRFG3.SA,ELET6.SA,POMO4.SA,LIGT3.SA,ELET3.SA,PDGR3.SA,GOLL4.SA,GFSA3.SA,EVEN3.SA,ELPL4.SA,RSID3.SA,^BVSP
15.90282917022705,18.65999984741211,17.062429428100586,12.069549560546875,,17.34000015258789,55.099998474121094,34.5,5.306646823883057,17.638887405395508,7.772500038146973,22.459999084472656,28.4950008392334,26.09000015258789,4.266665935516357,18.479999542236328,,13.642380714416504,7.679999828338623,15.050000190734863,17.940000534057617,,9.539454460144043,15.69523811340332,10.710000038146973,10.798192024230957,,,17.149999618530273,,29.312000274658203,21.799999237060547,18.15999984741211,,,9.399999618530273,,422.0,18.159954071044922,10.001510620117188,20.5,,,,17.989999771118164,9.807267189025879,21.79725456237793,20.81999969482422,790.0,3.121999979019165,10.90999984741211,16.979999542236328,,,15.510000228881836,11.841869354248047,9.716577529907227,8.318280220031738,6.0,10.75,6.439740180969238,18.75,6.377575874328613,1092.2432861328125,10.859999656677246,218.78744506835938,8.649999618530273,,80.0,53179.0
15.837716102600098,18.780000686645508,16.962438583374023,12.093069076538086,,17.280000686645508,55.08000183105469,34.5099983215332,5.265780925750732,17.792245864868164,7.699999809265137,22.100000381469727,28.829999923706055,26.139999389648438,4.173333168029785,18.280000686645508,,13.751583099365234,7.699999809265137,15.34000015258789,17.950000762939453,,9.416646003723145,15.80952262878418,10.760000228881836,10.658807754516602,,,16.81999969482422,,29.327999114990234,21.649999618530273,18.170000076293945,,,9.390000343322754,,444.0,18.434101104736328,10.034769058227539,20.600000381469727,,,,18.309999465942383,9.733945846557617,21.823814392089844,21.229999542236328,782.7999877929688,3.0999999046325684,11.140000343322754,16.829999923706055,,,15.5,12.019349098205566,9.686999320983887,8.545555114746094,5.909999847412109,10.6899995803833,6.479430198669434,18.479999542236328,6.487534046173096,1110.2969970703125,10.800000190734863,220.53775024414062,8.649999618530273,,82.5,53100.0
15.877785682678223,18.540000915527344,16.922443389892578,12.05387020111084,,17.170000076293945,53.5,34.040000915527344,5.248268127441406,17.9398136138916,7.537499904632568,21.600000381469727,28.575000762939453,26.149999618530273,4.150000095367432,18.299999237060547,,13.747682571411133,7.650000095367432,15.149999618530273,17.610000610351562,,9.455944061279297,15.609522819519043,10.75,10.388237953186035,,,16.479999542236328,,28.92799949645996,22.100000381469727,18.1299991607666,,,9.470000267028809,,385.0,18.292301177978516,9.962206840515137,20.639999389648438,,,,17.959999084472656,9.649515151977539,21.4254093170166,20.959999084472656,776.0,3.0910000801086426,11.010000228881836,16.549999237060547,,,15.550000190734863,12.02920913696289,9.709182739257812,8.472826957702637,5.840000152587891,10.960000038146973,6.409972190856934,18.489999771118164,6.667466163635254,1065.1629638671875,10.819999694824219,217.91229248046875,8.529999732971191,,79.75,52490.0
15.90282917022705,18.670000076293945,17.09642791748047,11.995071411132812,,17.389999389648438,54.72999954223633,34.38999938964844,5.254106044769287,18.171295166015625,7.75,21.600000381469727,28.799999237060547,26.25,4.216666221618652,18.579999923706055,,13.763282775878906,7.679999828338623,15.149999618530273,17.860000610351562,,9.750683784484863,16.133333206176758,10.989999771118164,10.314446449279785,,,16.739999771118164,,29.200000762939453,22.18000030517578,18.100000381469727,,,9.779999732971191,,364.0,18.19776725769043,9.90476131439209,20.75,,,,18.0,9.693951606750488,21.823814392089844,21.549999237060547,778.0,3.1070001125335693,11.149999618530273,16.399999618530273,,,15.5,11.989768981933594,9.650026321411133,8.463735580444336,5.860000133514404,10.84000015258789,6.459585189819336,18.3799991607666,6.627480983734131,1074.189697265625,11.149999618530273,216.1619873046875,8.40999984741211,,79.5,52849.0
15.832707405090332,18.6200008392334,16.958438873291016,12.05387020111084,,17.299999237060547,54.91999816894531,34.09000015258789,5.271618843078613,18.460647583007812,7.775000095367432,21.989999771118164,28.8799991607666,26.31999969482422,4.216666221618652,18.75,,13.786683082580566,7.570000171661377,15.279999732971191,17.850000381469727,,9.578753471374512,16.314285278320312,11.020000457763672,10.509584426879883,,,16.799999237060547,,29.200000762939453,21.979999542236328,18.399999618530273,,,9.859999656677246,,356.0,18.093780517578125,10.068026542663574,20.84000015258789,,,,18.1200008392334,9.687287330627441,21.24833869934082,21.770000457763672,766.4000244140625,3.075000047683716,11.390000343322754,16.610000610351562,,,15.600000381469727,11.999629020690918,9.479948997497559,8.600101470947266,5.739999771118164,10.949999809265137,6.588578224182129,18.049999237060547,6.717446804046631,1038.08251953125,10.720000267028809,207.41049194335938,8.649999618530273,,80.0,52417.0
15.777609825134277,18.309999465942383,16.718460083007812,12.038189888000488,,16.920000076293945,54.25,33.61000061035156,5.254106044769287,18.156827926635742,7.730000019073486,22.3799991607666,28.625,26.030000686645508,4.210000038146973,18.809999465942383,,13.7086820602417,7.510000228881836,15.149999618530273,17.899999618530273,,9.637701034545898,16.36190414428711,10.899999618530273,10.544020652770996,,,16.65999984741211,,29.440000534057617,21.450000762939453,18.389999389648438,,,9.949999809265137,,370.0,18.055965423583984,10.234314918518066,20.799999237060547,,,,17.899999618530273,9.8006010055542,21.274900436401367,21.760000228881836,767.5999755859375,2.999000072479248,11.40999984741211,16.610000610351562,,,15.680000305175781,12.02920913696289,9.768340110778809,8.718283653259277,5.760000228881836,10.859999656677246,6.499275207519531,17.850000381469727,6.597492218017578,1074.189697265625,10.079999923706055,202.1595916748047,8.699999809265137,,80.5,52312.0
15.947908401489258,18.06999969482422,16.69046401977539,12.238107681274414,,16.829999923706055,54.439998626708984,33.20000076293945,5.300808906555176,18.22916603088379,7.952499866485596,22.84000015258789,28.985000610351562,26.479999542236328,4.1966657638549805,18.440000534057617,,13.95828628540039,7.599999904632568,15.449999809265137,18.030000686645508,,9.578753471374512,16.542856216430664,11.630000114440918,10.744077682495117,,,17.06999969482422,,29.440000534057617,21.399999618530273,18.6299991607666,,,9.920000076293945,,379.0,18.292301177978516,10.491307258605957,20.780000686645508,,,,18.280000686645508,9.92502498626709,20.7879581451416,21.950000762939453,760.0,2.993000030517578,11.350000381469727,17.0,,,15.600000381469727,12.088369369506836,9.98278522491455,9.072834014892578,5.610000133514404,10.880000114440918,6.519120216369629,18.15999984741211,6.427556991577148,1078.703125,10.180000305175781,203.90989685058594,8.899999618530273,,83.75,52548.0
16.2283992767334,18.149999618530273,16.86844825744629,12.406665802001953,,17.020000457763672,55.38999938964844,33.45000076293945,5.3533501625061035,18.171295166015625,7.949999809265137,23.399999618530273,28.915000915527344,26.799999237060547,4.163332939147949,18.649999618530273,,14.14158821105957,7.730000019073486,15.300000190734863,18.09000015258789,,9.721209526062012,16.4761905670166,11.520000457763672,10.871983528137207,,,17.3700008392334,,29.440000534057617,22.0,19.100000381469727,,,10.390000343322754,,400.0,18.717702865600586,10.34013557434082,20.899999618530273,,,,18.350000381469727,9.671733856201172,20.717130661010742,21.799999237060547,756.0,3.0280001163482666,11.279999732971191,17.18000030517578,,,15.630000114440918,12.27570915222168,10.019758224487305,9.045560836791992,5.320000171661377,11.119999885559082,6.509197235107422,18.479999542236328,6.767427921295166,1056.1361083984375,10.0600004196167,207.41049194335938,9.029999732971191,,84.5,52997.0
16.07312774658203,18.100000381469727,16.938440322875977,12.367466926574707,,17.0,55.849998474121094,33.77000045776367,5.306646823883057,18.735532760620117,8.147500038146973,23.329999923706055,29.170000076293945,26.68000030517578,4.190000057220459,19.049999237060547,,14.028486251831055,8.050000190734863,15.369999885559082,18.1299991607666,,9.672086715698242,16.80952262878418,11.850000381469727,11.068761825561523,,,17.479999542236328,,29.84000015258789,21.8799991607666,19.399999618530273,,,10.609999656677246,,409.0,18.793331146240234,10.566892623901367,20.950000762939453,,,,18.489999771118164,9.61396598815918,21.071269989013672,22.510000228881836,752.0,3.0299999713897705,11.630000114440918,17.15999984741211,,,15.680000305175781,12.305289268493652,10.093705177307129,8.96374225616455,5.460000038146973,10.960000038146973,6.578654766082764,18.5,6.727443218231201,1006.4887084960938,10.5,206.5353546142578,8.949999809265137,,83.5,53150.0
16.188329696655273,18.270000457763672,17.05643081665039,12.637944221496582,,17.06999969482422,55.52000045776367,35.34000015258789,5.324160099029541,18.981481552124023,8.21500015258789,23.59000015258789,29.5,27.059999465942383,4.22666597366333,19.010000228881836,,14.317090034484863,8.25,15.5,17.989999771118164,,9.79980754852295,17.0,11.920000076293945,11.093358993530273,,,17.450000762939453,,29.944000244140625,22.450000762939453,19.8799991607666,,,11.09000015258789,,433.0,18.84059715270996,10.672713279724121,20.920000076293945,,,,18.81999969482422,9.74727725982666,22.177953720092773,22.709999084472656,750.0,3.015000104904175,12.100000381469727,16.989999771118164,,,15.670000076293945,12.3250093460083,10.315545082092285,9.481929779052734,5.449999809265137,11.34000015258789,6.707649230957031,18.600000381469727,7.027328968048096,1024.5423583984375,10.850000381469727,212.66139221191406,8.760000228881836,,84.75,54171.0
