VALE3.SA,ITUB4.SA,PETR4.SA,B3SA3.SA,BBDC4.SA,PETR3.SA,ABEV3.SA,MGLU3.SA,WEGE3.SA,ITSA4.SA,BBAS3.SA,GNDI3.SA,NTCO3.SA,SUZB3.SA,RENT3.SA,JBSS3.SA,LREN3.SA,BBDC3.SA,RADL3.SA,UGPA3.SA,VBBR3.SA,VIIA3.SA,GGBR4.SA,RAIL3.SA,EQTL3.SA,BPAC11.SA,LAME4.SA,KLBN11.SA,VIVT3.SA,CSNA3.SA,BBSE3.SA,BRFS3.SA,ENEV3.SA,HAPV3.SA,SANB11.SA,AMER3.SA,SBSP3.SA,CCRO3.SA,BRAP4.SA,CMIG4.SA,HYPE3.SA,TOTS3.SA,ELET3.SA,ENGI11.SA,AZUL4.SA,SULA11.SA,TIMS3.SA,PCAR3.SA,EGIE3.SA,IRBR3.SA,QUAL3.SA,YDUQ3.SA,CSAN3.SA,CPLE6.SA,LCAM3.SA,PRIO3.SA,ELET6.SA,COGN3.SA,BRML3.SA,CYRE3.SA,FLRY3.SA,GOAU4.SA,CRFB3.SA,USIM5.SA,TAEE11.SA,EMBR3.SA,MULT3.SA,BRKM5.SA,CPFE3.SA,MRVE3.SA,MRFG3.SA,ENBR3.SA,CIEL3.SA,EZTC3.SA,CVCB3.SA,GOLL4.SA,IGTA3.SA,BEEF3.SA,ECOR3.SA,JHSF3.SA,HGTX3.SA,^BVSP
54.33000183105469,38.029998779296875,30.700000762939453,15.036665916442871,28.18181800842285,32.79999923706055,19.200000762939453,12.332500457763672,17.6200008392334,12.42424201965332,53.79999923706055,,38.33000183105469,40.790000915527344,49.619998931884766,27.200000762939453,57.04512023925781,26.626596450805664,22.965999603271484,25.600000381469727,30.739999771118164,11.729999542236328,19.771427154541016,26.399999618530273,23.549999237060547,18.952499389648438,,18.489999771118164,48.2400016784668,14.6899995803833,38.099998474121094,35.880001068115234,10.96500015258789,13.288000106811523,51.040000915527344,65.18000030517578,60.54999923706055,19.0,33.66976547241211,9.197671890258789,36.0,23.049999237060547,38.18000030517578,53.290000915527344,58.79999923706055,,15.770000457763672,88.87999725341797,52.0,917.580810546875,39.20000076293945,46.75,17.927499771118164,6.868000030517578,,7.156000137329102,38.709999084472656,12.199999809265137,,31.110000610351562,31.020000457763672,9.680000305175781,23.93000030517578,9.699999809265137,30.84000015258789,20.200000762939453,33.54999923706055,30.399999618530273,35.209999084472656,22.200000762939453,10.0600004196167,21.90999984741211,8.569999694824219,52.83000183105469,44.709999084472656,37.16999816894531,,12.360014915466309,16.299999237060547,7.599999904632568,,118573.0
53.93000030517578,37.630001068115234,30.450000762939453,14.603333473205566,28.18181800842285,31.989999771118164,18.93000030517578,12.22249984741211,17.395000457763672,12.242424011230469,53.709999084472656,,41.0,40.650001525878906,48.900001525878906,27.469999313354492,56.648284912109375,26.198347091674805,22.45400047302246,25.299999237060547,30.559999465942383,11.479999542236328,19.44761848449707,25.6299991607666,23.270000457763672,19.00749969482422,,18.940000534057617,48.79999923706055,14.579999923706055,37.68000030517578,35.939998626708984,11.067500114440918,13.850000381469727,51.0099983215332,64.30000305175781,59.5099983215332,18.790000915527344,34.14785385131836,9.098274230957031,36.7400016784668,23.540000915527344,37.599998474121094,54.209999084472656,56.7599983215332,,15.800000190734863,88.87999725341797,52.29999923706055,910.449951171875,40.0099983215332,45.77000045776367,18.274999618530273,6.86299991607666,,7.570000171661377,38.54999923706055,12.149999618530273,,32.79999923706055,30.110000610351562,9.699999809265137,24.549999237060547,9.600000381469727,30.799999237060547,20.40999984741211,33.54999923706055,31.75,34.9900016784668,22.200000762939453,10.279999732971191,22.049999237060547,8.460000038146973,53.25,44.20000076293945,35.900001525878906,,12.684501647949219,16.170000076293945,8.119999885559082,,117707.0
53.61000061035156,37.06999969482422,30.809999465942383,14.463333129882812,27.678436279296875,33.029998779296875,19.020000457763672,12.232500076293945,17.440000534057617,12.216449737548828,53.0,,40.130001068115234,40.58000183105469,48.33000183105469,26.81999969482422,56.59868240356445,26.048084259033203,22.011999130249023,24.75,29.030000686645508,11.479999542236328,19.399999618530273,24.899999618530273,23.299999237060547,18.979999542236328,,19.110000610351562,48.33000183105469,14.220000267028809,38.29999923706055,35.56999969482422,11.350000381469727,13.392000198364258,47.5099983215332,63.900001525878906,58.599998474121094,18.309999465942383,34.30721664428711,9.224178314208984,35.900001525878906,23.003332138061523,37.779998779296875,54.380001068115234,55.0,,15.779999732971191,88.87999725341797,51.86000061035156,901.93896484375,41.650001525878906,46.650001525878906,18.167499542236328,6.874000072479248,,7.7179999351501465,38.61000061035156,11.989999771118164,,32.5,31.0,9.649999618530273,23.479999542236328,9.420000076293945,30.989999771118164,20.3799991607666,33.4900016784668,33.400001525878906,35.31999969482422,21.899999618530273,10.09000015258789,21.8799991607666,8.25,53.5,43.81999969482422,34.25,,12.674670219421387,16.079999923706055,8.15999984741211,,116878.0
54.0,36.209999084472656,30.690000534057617,14.930000305175781,27.197595596313477,32.58000183105469,19.059999465942383,12.197500228881836,17.575000762939453,12.051947593688965,52.599998474121094,,40.779998779296875,41.099998474121094,48.79999923706055,27.299999237060547,56.56892013549805,25.604808807373047,21.709999084472656,25.299999237060547,28.989999771118164,11.649999618530273,19.704761505126953,25.270000457763672,23.18000030517578,18.899999618530273,,19.170000076293945,49.400001525878906,14.220000267028809,38.31999969482422,35.15999984741211,11.265000343322754,13.02400016784668,47.40999984741211,63.7400016784668,57.599998474121094,18.719999313354492,34.457725524902344,9.562132835388184,35.54999923706055,23.100000381469727,38.75,53.7400016784668,56.81999969482422,,15.949999809265137,88.87999725341797,51.970001220703125,907.919677734375,40.59000015258789,45.779998779296875,18.4950008392334,6.908999919891357,,7.728000164031982,39.20000076293945,12.079999923706055,,32.599998474121094,31.31999969482422,9.720000267028809,23.34000015258789,9.510000228881836,30.6200008392334,20.5,33.58000183105469,32.529998779296875,34.90999984741211,22.0,10.399999618530273,21.75,8.010000228881836,54.2400016784668,44.400001525878906,34.45000076293945,,13.254813194274902,16.440000534057617,8.229999542236328,,116662.0
54.0099983215332,35.619998931884766,30.5,14.890000343322754,26.776859283447266,32.04999923706055,18.969999313354492,12.572500228881836,16.90999984741211,11.870128631591797,52.119998931884766,,40.9900016784668,43.150001525878906,48.560001373291016,27.969999313354492,56.93599319458008,25.21412467956543,22.0,25.100000381469727,28.850000381469727,11.600000381469727,19.78095245361328,25.600000381469727,23.34000015258789,18.732500076293945,,19.3799991607666,49.900001525878906,14.199999809265137,38.29999923706055,36.5099983215332,11.212499618530273,12.755999565124512,47.040000915527344,64.58999633789062,56.75,18.59000015258789,34.44887161254883,9.82719612121582,35.09000015258789,22.790000915527344,39.310001373291016,53.70000076293945,56.91999816894531,,16.1200008392334,87.0,51.45000076293945,911.3700561523438,39.810001373291016,45.5099983215332,18.190000534057617,6.801000118255615,,7.570000171661377,39.529998779296875,12.0,,31.59000015258789,31.1299991607666,9.65999984741211,22.899999618530273,9.390000343322754,30.309999465942383,20.329999923706055,33.709999084472656,34.15999984741211,34.689998626708984,21.6200008392334,10.65999984741211,21.719999313354492,7.829999923706055,54.79999923706055,44.34000015258789,35.810001373291016,,13.402308464050293,16.479999542236328,8.100000381469727,,116247.0
53.29999923706055,34.90999984741211,30.399999618530273,14.883333206176758,26.348609924316406,32.22999954223633,18.81999969482422,13.020000457763672,16.65999984741211,11.63636302947998,51.060001373291016,,42.0,43.040000915527344,48.81999969482422,28.309999465942383,56.499473571777344,24.966190338134766,22.66200065612793,25.149999618530273,28.09000015258789,11.65999984741211,19.676189422607422,25.93000030517578,23.6200008392334,18.860000610351562,,19.260000228881836,49.060001373291016,14.050000190734863,38.189998626708984,36.84000015258789,11.375,12.680000305175781,46.150001525878906,68.04000091552734,57.619998931884766,18.139999389648438,34.00619888305664,9.747676849365234,35.84000015258789,23.16666603088379,39.349998474121094,54.720001220703125,57.279998779296875,,15.899999618530273,91.16000366210938,51.599998474121094,946.5643310546875,40.099998474121094,45.90999984741211,17.9950008392334,7.001999855041504,,7.28000020980835,40.11000061035156,12.100000381469727,,31.43000030517578,31.709999084472656,9.670000076293945,23.399999618530273,9.329999923706055,29.93000030517578,20.190000534057617,33.5,34.849998474121094,35.31999969482422,21.459999084472656,10.90999984741211,22.260000228881836,7.349999904632568,55.599998474121094,43.38999938964844,36.650001525878906,,13.195816040039062,16.43000030517578,8.130000114440918,,115947.0
53.36000061035156,34.599998474121094,30.270000457763672,14.766666412353516,25.867767333984375,32.099998474121094,18.889999389648438,12.949999809265137,17.0,11.558441162109375,49.86000061035156,,42.88999938964844,43.11000061035156,47.849998474121094,28.15999984741211,56.67804718017578,24.530427932739258,21.959999084472656,25.09000015258789,28.200000762939453,11.699999809265137,19.94285774230957,25.670000076293945,23.899999618530273,19.125,,19.760000228881836,50.279998779296875,14.210000038146973,36.400001525878906,36.34000015258789,11.420000076293945,12.40999984741211,45.95000076293945,66.77999877929688,57.40999984741211,18.170000076293945,33.89995574951172,9.893461227416992,36.029998779296875,22.99333381652832,40.099998474121094,55.060001373291016,57.5,,16.31999969482422,90.9000015258789,52.369998931884766,947.0243530273438,40.650001525878906,46.11000061035156,18.262500762939453,7.195000171661377,,7.443999767303467,40.650001525878906,12.199999809265137,,31.649999618530273,31.149999618530273,9.880000114440918,23.639999389648438,9.140000343322754,30.450000762939453,20.110000610351562,33.150001525878906,34.45000076293945,35.9900016784668,21.25,10.75,22.670000076293945,7.400000095367432,56.0,42.040000915527344,37.2400016784668,,13.136817932128906,16.3700008392334,8.15999984741211,,115503.0
55.29999923706055,35.060001373291016,30.329999923706055,14.783332824707031,26.145755767822266,32.09000015258789,19.209999084472656,13.557499885559082,17.15999984741211,11.714284896850586,50.41999816894531,,43.72999954223633,44.70000076293945,48.0,28.729999542236328,57.90823745727539,24.83095359802246,22.474000930786133,25.31999969482422,28.790000915527344,12.699999809265137,20.799999237060547,25.950000762939453,23.889999389648438,19.174999237060547,,20.239999771118164,51.79999923706055,15.069999694824219,36.130001068115234,36.70000076293945,11.399999618530273,12.477999687194824,46.52000045776367,69.16999816894531,59.90999984741211,18.299999237060547,35.32536315917969,10.17177677154541,37.189998626708984,23.216665267944336,40.20000076293945,55.16999816894531,58.29999923706055,,16.329999923706055,90.9000015258789,53.36000061035156,955.0753784179688,41.95000076293945,47.70000076293945,18.729999542236328,7.420000076293945,,7.763999938964844,40.790000915527344,12.550000190734863,,32.25,31.0,10.399999618530273,23.43000030517578,9.539999961853027,30.600000381469727,20.459999084472656,33.5,34.0,35.86000061035156,21.56999969482422,11.050000190734863,22.670000076293945,7.429999828338623,56.150001525878906,41.599998474121094,38.0,,14.3167724609375,16.649999618530273,8.399999618530273,,117325.0
55.63999938964844,35.060001373291016,30.0,14.883333206176758,26.11570167541504,31.829999923706055,19.100000381469727,13.5,17.5,11.844155311584473,50.150001525878906,,44.2599983215332,44.25,48.20000076293945,28.700000762939453,57.17409133911133,24.883546829223633,22.809999465942383,25.600000381469727,28.799999237060547,13.350000381469727,20.399999618530273,25.799999237060547,24.450000762939453,18.809999465942383,,20.920000076293945,52.939998626708984,14.829999923706055,36.560001373291016,36.54999923706055,11.452500343322754,12.5,45.880001068115234,68.3499984741211,61.209999084472656,18.90999984741211,35.66179656982422,10.277802467346191,37.810001373291016,23.216665267944336,39.5,54.5,59.189998626708984,,16.399999618530273,87.0999984741211,54.099998474121094,948.6345825195312,42.959999084472656,48.70000076293945,19.327499389648438,7.443999767303467,,8.222000122070312,40.150001525878906,12.789999961853027,,32.5,31.459999084472656,10.149999618530273,23.399999618530273,9.579999923706055,30.540000915527344,20.3700008392334,34.0,34.27000045776367,35.59000015258789,22.049999237060547,11.359999656677246,22.670000076293945,7.489999771118164,57.43000030517578,42.5,37.9900016784668,,14.208608627319336,17.360000610351562,8.609999656677246,,117632.0
55.459999084472656,34.630001068115234,29.549999237060547,14.483332633972168,25.657400131225586,31.1200008392334,18.760000228881836,13.414999961853027,17.614999771118164,11.653678894042969,49.22999954223633,,44.58000183105469,44.939998626708984,48.209999084472656,28.610000610351562,56.79710006713867,24.312545776367188,22.878000259399414,25.3700008392334,28.440000534057617,13.550000190734863,20.095237731933594,24.969999313354492,24.25,18.649999618530273,,20.670000076293945,52.9900016784668,14.630000114440918,36.599998474121094,36.470001220703125,11.625,12.20199966430664,45.2599983215332,70.11000061035156,60.900001525878906,18.510000228881836,35.75033187866211,10.21153736114502,37.31999969482422,23.273332595825195,39.31999969482422,54.709999084472656,59.29999923706055,,16.40999984741211,87.0999984741211,53.45000076293945,970.947265625,42.38999938964844,48.27000045776367,19.010000228881836,7.464000225067139,,8.260000228881836,40.02000045776367,12.350000381469727,,32.0,31.229999542236328,10.170000076293945,22.850000381469727,9.390000343322754,30.760000228881836,20.0,33.970001220703125,33.619998931884766,35.849998474121094,21.700000762939453,11.90999984741211,22.200000762939453,7.269999980926514,57.880001068115234,41.38999938964844,36.970001220703125,,14.399999618530273,17.5,8.75,,116414.0
