VALE5.SA,PETR4.SA,ITUB4.SA,BBDC4.SA,OGXP3.SA,BBAS3.SA,B3SA3.SA,PETR3.SA,ITSA4.SA,VALE3.SA,PDGR3.SA,GGBR4.SA,USIM5.SA,CSNA3.SA,CMIG4.SA,ABEV3.SA,BRML3.SA,GFSA3.SA,CIEL3.SA,CCRO3.SA,OIBR4.SA,MRVE3.SA,HYPE3.SA,BRFS3.SA,CYRE3.SA,TIMS3.SA,NATU3.SA,SANB11.SA,HGTX3.SA,RSID3.SA,LREN3.SA,JBSS3.SA,VIVT4.SA,BBDC3.SA,LAME4.SA,SUZB5.SA,SBSP3.SA,GOLL4.SA,BRPR3.SA,CTIP3.SA,PCAR4.SA,UGPA3.SA,CSAN3.SA,FIBR3.SA,ELET6.SA,KLBN4.SA,ELET3.SA,BRKM5.SA,EMBR3.SA,BRAP4.SA,ENBR3.SA,ALLL3.SA,ELPL4.SA,MRFG3.SA,CRUZ3.SA,RENT3.SA,DASA3.SA,COGN3.SA,DXCO3.SA,AEDU3.SA,PRML3.SA,BISA3.SA,GOAU4.SA,CESP6.SA,MMXM3.SA,CPFE3.SA,CPLE6.SA,LIGT3.SA,OIBR3.SA,AMER3.SA,TRPL4.SA,TESA3.SA,USIM3.SA,^BVSP
37.20000076293945,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.84000015258789,,,,,,,,,16.290000915527344,,,,,,,,23.96064567565918,,,,,,,,,,,,,
36.810001373291016,,,,478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.690000534057617,,,,,,,,,15.59000015258789,,,,,,,,23.27605438232422,,,,,,,,,,,,,
36.060001373291016,,,,477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6299991607666,,,,,,,,,14.8100004196167,,,,,,,,23.86284637451172,,,,,,,,,,,,,
36.33000183105469,,,,485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,14.359999656677246,,,,,,,,23.47165298461914,,,,,,,,,,,,,
36.029998779296875,,,,490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.309999465942383,,,,,,,,,14.180000305175781,,,,,,,,22.9826602935791,,,,,,,,,,,,,
36.29999923706055,,,,478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.43000030517578,,,,,,,,,14.5,,,,,,,,22.3958683013916,,,,,,,,,,,,,
35.630001068115234,,,,460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.239999771118164,,,,,,,,,14.010000228881836,,,,,,,,21.320083618164062,,,,,,,,,,,,,
35.630001068115234,,,,460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.239999771118164,,,,,,,,,14.010000228881836,,,,,,,,21.320083618164062,,,,,,,,,,,,,
34.650001525878906,,,,455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.239999771118164,,,,,,,,,14.0,,,,,,,,20.537696838378906,,,,,,,,,,,,,
35.06999969482422,,,,489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.719999313354492,,,,,,,,,14.15999984741211,,,,,,,,20.831092834472656,,,,,,,,,,,,,
35.06999969482422,,,,489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.719999313354492,,,,,,,,,14.15999984741211,,,,,,,,20.831092834472656,,,,,,,,,,,,,
35.439998626708984,,,,465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1299991607666,,,,,,,,,13.84000015258789,,,,,,,,19.657508850097656,,,,,,,,,,,,,
35.90999984741211,,,,487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6299991607666,,,,,,,,,13.720000267028809,,,,,,,,18.679523468017578,,,,,,,,,,,,,
35.72999954223633,,,,461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.799999237060547,,,,,,,,,13.520000457763672,,,,,,,,18.386127471923828,,,,,,,,,,,,,
35.72999954223633,,,,444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.420000076293945,,,,,,,,,13.350000381469727,,,,,,,,17.89713478088379,,,,,,,,,,,,,
35.220001220703125,,,,441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.790000915527344,,,,,,,,,13.399999618530273,,,,,,,,17.016948699951172,,,,,,,,,,,,,
36.599998474121094,,,,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.440000534057617,,,,,,,,,13.670000076293945,,,,,,,,21.711278915405273,,,,,,,,,,,,,
36.70000076293945,,,,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.010000228881836,,,,,,,,,13.59000015258789,,,,,,,,21.124486923217773,,,,,,,,,,,,,
36.68000030517578,,,,435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.850000381469727,,,,,,,,,13.699999809265137,,,,,,,,21.124486923217773,,,,,,,,,,,,,
36.060001373291016,,,,429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,,,,,,,,,13.489999771118164,,,,,,,,20.831092834472656,,,,,,,,,,,,,
